datetime,value
2022-08-28 12:36:29,65.0
2022-08-28 12:36:49,66.0
2022-08-28 12:37:10,66.0
2022-08-28 12:37:31,68.0
2022-08-28 12:37:58,71.0
2022-08-28 12:38:19,75.0
2022-08-28 12:38:40,82.0
2022-08-28 12:39:00,76.0
2022-08-28 12:39:20,76.0
2022-08-28 12:39:40,74.0
2022-08-28 12:40:07,69.0
2022-08-28 12:40:26,65.0
2022-08-28 12:40:45,64.0
2022-08-28 12:41:10,68.0
2022-08-28 12:41:34,67.0
2022-08-28 12:41:55,70.0
2022-08-28 12:42:16,69.0
2022-08-28 12:42:36,72.0
2022-08-28 12:42:55,71.0
2022-08-28 12:43:21,74.0
2022-08-28 12:43:43,71.0
2022-08-28 12:44:03,71.0
2022-08-28 12:44:24,68.0
2022-08-28 12:44:44,66.0
2022-08-28 12:45:04,68.0
2022-08-28 12:45:24,68.0
2022-08-28 12:45:50,67.0
2022-08-28 12:46:11,66.0
2022-08-28 12:46:30,65.0
2022-08-28 12:46:51,65.0
2022-08-28 12:47:17,64.0
2022-08-28 12:47:37,63.0
2022-08-28 12:47:57,65.0
2022-08-28 12:48:18,65.0
2022-08-28 12:48:38,64.0
2022-08-28 12:49:00,62.0
2022-08-28 12:49:20,68.0
2022-08-28 12:49:46,72.0
2022-08-28 12:50:06,70.0
2022-08-28 12:50:26,62.0
2022-08-28 12:50:46,62.0
2022-08-28 12:51:09,64.0
2022-08-28 12:51:30,62.0
2022-08-28 12:51:52,66.0
2022-08-28 12:52:15,68.0
2022-08-28 12:52:37,69.0
2022-08-28 12:52:56,66.0
2022-08-28 12:53:16,67.0
2022-08-28 12:53:42,66.0
2022-08-28 12:54:02,64.0
2022-08-28 12:54:21,63.0
2022-08-28 12:54:40,67.0
2022-08-28 12:55:07,69.0
2022-08-28 12:55:27,67.0
2022-08-28 12:55:47,67.0
2022-08-28 12:56:06,64.0
2022-08-28 12:56:33,67.0
2022-08-28 12:56:53,64.0
2022-08-28 12:57:14,66.0
2022-08-28 12:57:34,66.0
2022-08-28 12:57:54,65.0
2022-08-28 12:58:21,71.0
2022-08-28 12:58:40,71.0
2022-08-28 12:59:01,71.0
2022-08-28 12:59:20,73.0
2022-08-28 12:59:46,69.0
2022-08-28 13:00:06,72.0
2022-08-28 13:00:25,71.0
2022-08-28 13:00:46,70.0
2022-08-28 13:01:11,71.0
2022-08-28 13:01:31,71.0
2022-08-28 13:01:52,71.0
2022-08-28 13:02:12,68.0
2022-08-28 13:02:33,70.0
2022-08-28 13:02:53,69.0
2022-08-28 13:03:20,68.0
2022-08-28 13:03:40,68.0
2022-08-28 13:04:01,68.0
2022-08-28 13:04:21,67.0
2022-08-28 13:04:40,69.0
2022-08-28 13:05:06,68.0
2022-08-28 13:05:27,70.0
2022-08-28 13:05:46,69.0
2022-08-28 13:06:07,71.0
2022-08-28 13:06:33,68.0
2022-08-28 13:06:53,67.0
