datetime,value
2022-09-12 08:58:12,-11.0
2022-09-12 08:58:35,724.0
2022-09-12 08:58:59,289.0
2022-09-12 08:59:16,-594.0
2022-09-12 08:59:39,-404.0
2022-09-12 09:00:03,-221.0
2022-09-12 09:00:18,-140.0
2022-09-12 09:00:42,-850.0
2022-09-12 09:01:06,940.0
2022-09-12 09:01:22,-508.0
2022-09-12 09:01:43,-372.0
2022-09-12 09:02:12,1329.0
2022-09-12 09:02:36,670.0
2022-09-12 09:02:53,-663.0
2022-09-12 09:03:17,633.0
2022-09-12 09:03:40,323.0
2022-09-12 09:03:57,75.0
2022-09-12 09:04:21,-97.0
2022-09-12 09:04:39,189.0
2022-09-12 09:05:03,419.0
2022-09-12 09:05:30,114.0
2022-09-12 09:05:47,77.0
2022-09-12 09:06:12,146.0
2022-09-12 09:06:27,230.0
2022-09-12 09:06:52,215.0
2022-09-12 09:07:16,213.0
2022-09-12 09:07:40,-42.0
2022-09-12 09:07:56,24.0
2022-09-12 09:08:19,-168.0
2022-09-12 09:08:43,-586.0
2022-09-12 09:09:06,-529.0
2022-09-12 09:09:29,-569.0
2022-09-12 09:09:44,372.0
2022-09-12 09:10:08,181.0
2022-09-12 09:10:31,144.0
2022-09-12 09:10:54,148.0
2022-09-12 09:11:15,93.0
2022-09-12 09:11:38,159.0
2022-09-12 09:12:01,-738.0
2022-09-12 09:12:24,-622.0
2022-09-12 09:12:40,-516.0
2022-09-12 09:13:02,-606.0
2022-09-12 09:13:26,-351.0
2022-09-12 09:13:51,-87.0
2022-09-12 09:14:10,2.0
2022-09-12 09:14:28,87.0
2022-09-12 09:14:50,18.0
2022-09-12 09:15:13,4.0
2022-09-12 09:15:36,-28.0
2022-09-12 09:15:59,-138.0
2022-09-12 09:16:17,-95.0
2022-09-12 09:16:42,20.0
2022-09-12 09:17:00,-111.0
2022-09-12 09:17:26,-136.0
2022-09-12 09:17:42,-140.0
2022-09-12 09:18:06,-83.0
2022-09-12 09:18:30,-101.0
2022-09-12 09:18:53,-69.0
2022-09-12 09:19:15,-85.0
2022-09-12 09:19:31,-136.0
2022-09-12 09:19:54,-69.0
2022-09-12 09:20:17,-109.0
2022-09-12 09:20:41,-46.0
2022-09-12 09:21:05,-148.0
2022-09-12 09:21:21,-117.0
2022-09-12 09:21:44,42.0
2022-09-12 09:22:07,-154.0
2022-09-12 09:22:30,-113.0
2022-09-12 09:22:52,-28.0
2022-09-12 09:23:15,-62.0
2022-09-12 09:23:37,-36.0
2022-09-12 09:23:53,-97.0
2022-09-12 09:24:16,-146.0
2022-09-12 09:24:40,-119.0
2022-09-12 09:25:04,-66.0
2022-09-12 09:25:19,-121.0
2022-09-12 09:25:44,228.0
2022-09-12 09:26:07,-1052.0
2022-09-12 09:26:30,2.0
2022-09-12 09:26:54,30.0
2022-09-12 09:27:11,89.0
2022-09-12 09:27:34,-18.0
2022-09-12 09:27:59,-14.0
2022-09-12 09:28:14,146.0
2022-09-12 09:28:38,51.0
2022-09-12 09:29:02,85.0
2022-09-12 09:29:18,24.0
2022-09-12 09:29:42,6.0
2022-09-12 09:30:04,246.0
2022-09-12 09:30:27,315.0
2022-09-12 09:30:49,91.0
2022-09-12 09:31:12,102.0
2022-09-12 09:31:35,118.0
2022-09-12 09:31:52,77.0
2022-09-12 09:32:17,120.0
2022-09-12 09:32:34,81.0
2022-09-12 09:32:57,-28.0
2022-09-12 09:33:20,89.0
2022-09-12 09:33:43,49.0
2022-09-12 09:34:06,30.0
2022-09-12 09:34:27,34.0
2022-09-12 09:34:50,205.0
2022-09-12 09:35:12,61.0
2022-09-12 09:35:36,10.0
2022-09-12 09:35:51,101.0
2022-09-12 09:36:13,89.0
2022-09-12 09:36:36,97.0
2022-09-12 09:37:00,140.0
