datetime,value
2022-08-28 12:36:28,102.0
2022-08-28 12:36:49,6.0
2022-08-28 12:37:10,25.0
2022-08-28 12:37:37,665.0
2022-08-28 12:37:58,893.0
2022-08-28 12:38:18,744.0
2022-08-28 12:38:39,319.0
2022-08-28 12:39:00,604.0
2022-08-28 12:39:20,508.0
2022-08-28 12:39:46,515.0
2022-08-28 12:40:07,677.0
2022-08-28 12:40:25,504.0
2022-08-28 12:40:51,510.0
2022-08-28 12:41:09,504.0
2022-08-28 12:41:33,573.0
2022-08-28 12:41:55,582.0
2022-08-28 12:42:16,598.0
2022-08-28 12:42:35,441.0
2022-08-28 12:42:55,510.0
2022-08-28 12:43:21,708.0
2022-08-28 12:43:42,677.0
2022-08-28 12:44:03,704.0
2022-08-28 12:44:23,681.0
2022-08-28 12:44:43,730.0
2022-08-28 12:45:04,728.0
2022-08-28 12:45:30,661.0
2022-08-28 12:45:50,675.0
2022-08-28 12:46:10,685.0
2022-08-28 12:46:30,710.0
2022-08-28 12:46:50,716.0
2022-08-28 12:47:17,726.0
2022-08-28 12:47:37,634.0
2022-08-28 12:47:57,636.0
2022-08-28 12:48:17,700.0
2022-08-28 12:48:38,697.0
2022-08-28 12:48:59,704.0
2022-08-28 12:49:26,718.0
2022-08-28 12:49:46,704.0
2022-08-28 12:50:06,657.0
2022-08-28 12:50:26,543.0
2022-08-28 12:50:46,541.0
2022-08-28 12:51:09,393.0
2022-08-28 12:51:30,531.0
2022-08-28 12:51:52,797.0
2022-08-28 12:52:14,527.0
2022-08-28 12:52:36,588.0
2022-08-28 12:52:55,600.0
2022-08-28 12:53:15,620.0
2022-08-28 12:53:42,636.0
2022-08-28 12:54:01,472.0
2022-08-28 12:54:21,492.0
2022-08-28 12:54:47,535.0
2022-08-28 12:55:07,496.0
2022-08-28 12:55:26,498.0
2022-08-28 12:55:46,488.0
2022-08-28 12:56:13,437.0
2022-08-28 12:56:33,535.0
2022-08-28 12:56:52,494.0
2022-08-28 12:57:13,578.0
2022-08-28 12:57:33,504.0
2022-08-28 12:58:00,618.0
2022-08-28 12:58:21,515.0
2022-08-28 12:58:40,435.0
2022-08-28 12:59:00,541.0
2022-08-28 12:59:19,573.0
2022-08-28 12:59:46,677.0
2022-08-28 13:00:06,724.0
2022-08-28 13:00:25,687.0
2022-08-28 13:00:51,578.0
2022-08-28 13:01:11,649.0
2022-08-28 13:01:31,541.0
2022-08-28 13:01:51,665.0
2022-08-28 13:02:12,685.0
2022-08-28 13:02:33,620.0
2022-08-28 13:02:59,700.0
2022-08-28 13:03:19,449.0
2022-08-28 13:03:40,460.0
2022-08-28 13:04:01,468.0
2022-08-28 13:04:20,488.0
2022-08-28 13:04:46,480.0
2022-08-28 13:05:05,492.0
2022-08-28 13:05:26,391.0
2022-08-28 13:05:46,687.0
2022-08-28 13:06:12,797.0
2022-08-28 13:06:32,773.0
2022-08-28 13:06:52,754.0
2022-08-28 13:07:12,783.0
2022-08-28 13:07:38,795.0
2022-08-28 13:07:58,791.0
2022-08-28 13:08:19,732.0
2022-08-28 13:08:39,728.0
2022-08-28 13:09:00,704.0
2022-08-28 13:09:19,742.0
2022-08-28 13:09:45,763.0
2022-08-28 13:10:05,663.0
2022-08-28 13:10:25,-153.0
2022-08-28 13:10:45,-100.0
2022-08-28 13:11:04,1023.0
2022-08-28 13:11:29,1008.0
2022-08-28 13:11:47,350.0
2022-08-28 13:12:14,653.0
2022-08-28 13:12:31,65.0
2022-08-28 13:12:57,998.0
2022-08-28 13:13:14,990.0
2022-08-28 13:13:39,1002.0
2022-08-28 13:14:03,1008.0
2022-08-28 13:14:20,974.0
2022-08-28 13:14:46,986.0
2022-08-28 13:15:02,1010.0
2022-08-28 13:15:28,687.0
2022-08-28 13:15:46,614.0
2022-08-28 13:16:03,616.0
2022-08-28 13:16:32,626.0
2022-08-28 13:16:49,620.0
2022-08-28 13:17:08,659.0
2022-08-28 13:17:36,653.0
2022-08-28 13:17:53,667.0
2022-08-28 13:18:19,767.0
2022-08-28 13:18:36,157.0
2022-08-28 13:19:02,1035.0
2022-08-28 13:19:19,636.0
2022-08-28 13:19:25,488.0
2022-08-28 13:20:04,834.0
2022-08-28 13:20:25,622.0
2022-08-28 13:20:45,504.0
2022-08-28 13:21:06,756.0
2022-08-28 13:21:27,409.0
2022-08-28 13:21:50,-281.0
2022-08-28 13:22:10,909.0
2022-08-28 13:22:32,907.0
2022-08-28 13:22:54,628.0
2022-08-28 13:23:16,594.0
2022-08-28 13:23:36,917.0
2022-08-28 13:23:59,348.0
2022-08-28 13:24:21,441.0
2022-08-28 13:24:42,439.0
2022-08-28 13:25:04,445.0
2022-08-28 13:25:26,-584.0
2022-08-28 13:25:48,655.0
2022-08-28 13:26:11,661.0
2022-08-28 13:26:32,828.0
2022-08-28 13:26:53,645.0
2022-08-28 13:27:03,116.0
2022-08-28 13:27:17,120.0
2022-08-28 13:34:44,130.0
2022-08-28 13:35:06,346.0
2022-08-28 13:35:27,510.0
2022-08-28 13:35:49,803.0
2022-08-28 13:36:11,620.0
2022-08-28 13:36:32,921.0
2022-08-28 13:36:54,893.0
2022-08-28 13:37:09,746.0
2022-08-28 13:37:37,817.0
2022-08-28 13:37:59,809.0
2022-08-28 13:38:14,1006.0
2022-08-28 13:38:37,659.0
2022-08-28 13:46:53,616.0
2022-08-28 13:47:11,580.0
2022-08-28 13:47:34,614.0
2022-08-28 13:47:55,681.0
2022-08-28 13:48:18,941.0
2022-08-28 13:48:41,206.0
2022-08-28 13:48:56,427.0
2022-08-28 13:49:19,-80.0
2022-08-28 13:49:44,1157.0
2022-08-28 13:50:01,836.0
2022-08-28 13:50:23,-186.0
2022-08-28 13:50:47,610.0
2022-08-28 13:51:10,293.0
2022-08-28 13:51:33,-186.0
2022-08-28 13:51:52,114.0
2022-08-28 13:52:09,78.0
2022-08-28 13:52:33,2.0
2022-08-28 13:52:59,-90.0
2022-08-28 13:53:14,-98.0
2022-08-28 13:53:36,-115.0
2022-08-28 13:54:00,82.0
2022-08-28 13:54:23,533.0
2022-08-28 13:54:44,206.0
2022-08-28 13:55:04,234.0
2022-08-28 13:55:26,199.0
2022-08-28 13:55:49,293.0
2022-08-28 13:56:11,283.0
2022-08-28 13:56:32,240.0
2022-08-28 13:56:47,183.0
2022-08-28 13:57:13,254.0
2022-08-28 13:57:35,277.0
2022-08-28 13:57:57,73.0
2022-08-28 13:58:18,104.0
2022-08-28 13:58:39,-169.0
2022-08-28 13:58:59,-188.0
