datetime,value
2022-10-16 11:21:13,79
2022-10-16 11:21:14,79
2022-10-16 11:21:15,79
2022-10-16 11:21:16,80
2022-10-16 11:21:16,79
2022-10-16 11:21:17,80
2022-10-16 11:21:18,79
2022-10-16 11:21:19,79
2022-10-16 11:21:20,79
2022-10-16 11:21:21,82
2022-10-16 11:21:21,82
2022-10-16 11:21:23,82
2022-10-16 11:21:23,84
2022-10-16 11:21:24,84
2022-10-16 11:21:25,82
2022-10-16 11:21:26,82
2022-10-16 11:21:26,84
2022-10-16 11:21:28,84
2022-10-16 11:21:30,83
2022-10-16 11:21:30,83
2022-10-16 11:21:31,83
2022-10-16 11:21:32,81
2022-10-16 11:21:32,84
2022-10-16 11:21:33,84
2022-10-16 11:21:34,84
2022-10-16 11:21:35,84
2022-10-16 11:21:36,84
2022-10-16 11:21:36,84
2022-10-16 11:21:37,84
2022-10-16 11:21:38,83
2022-10-16 11:21:39,83
2022-10-16 11:21:40,83
2022-10-16 11:21:41,82
2022-10-16 11:21:41,82
2022-10-16 11:21:43,83
2022-10-16 11:21:43,83
2022-10-16 11:21:45,83
2022-10-16 11:21:45,83
2022-10-16 11:21:46,83
2022-10-16 11:21:47,83
2022-10-16 11:21:48,83
2022-10-16 11:21:48,82
2022-10-16 11:21:50,84
2022-10-16 11:21:50,82
2022-10-16 11:21:52,81
2022-10-16 11:21:52,81
2022-10-16 11:21:53,81
2022-10-16 11:21:54,81
2022-10-16 11:21:55,83
2022-10-16 11:21:55,83
2022-10-16 11:21:56,83
2022-10-16 11:21:58,83
2022-10-16 11:21:58,82
2022-10-16 11:21:59,82
2022-10-16 11:22:00,82
2022-10-16 11:22:01,81
2022-10-16 11:22:02,81
2022-10-16 11:22:03,81
2022-10-16 11:22:03,81
2022-10-16 11:22:04,81
2022-10-16 11:22:05,82
2022-10-16 11:22:06,83
2022-10-16 11:22:07,82
2022-10-16 11:22:08,82
2022-10-16 11:22:09,82
2022-10-16 11:22:10,81
2022-10-16 11:22:10,80
2022-10-16 11:22:11,80
2022-10-16 11:22:12,80
2022-10-16 11:22:13,79
2022-10-16 11:22:14,77
2022-10-16 11:22:15,77
2022-10-16 11:22:16,74
2022-10-16 11:22:17,79
2022-10-16 11:22:17,79
2022-10-16 11:22:18,79
2022-10-16 11:22:19,78
2022-10-16 11:22:20,78
2022-10-16 11:22:21,79
2022-10-16 11:22:22,80
2022-10-16 11:22:23,79
2022-10-16 11:22:24,80
2022-10-16 11:22:25,81
2022-10-16 11:22:26,81
2022-10-16 11:22:26,81
2022-10-16 11:22:27,80
2022-10-16 11:22:28,81
2022-10-16 11:22:29,81
2022-10-16 11:22:30,79
2022-10-16 11:22:31,81
2022-10-16 11:22:32,82
2022-10-16 11:22:33,83
2022-10-16 11:22:33,83
2022-10-16 11:22:35,82
2022-10-16 11:22:36,82
2022-10-16 11:22:37,81
2022-10-16 11:22:38,81
2022-10-16 11:22:39,81
2022-10-16 11:22:40,81
2022-10-16 11:22:40,81
2022-10-16 11:22:41,81
2022-10-16 11:22:42,81
2022-10-16 11:22:43,81
2022-10-16 11:22:44,80
2022-10-16 11:22:44,81
2022-10-16 11:22:45,81
2022-10-16 11:22:46,80
2022-10-16 11:22:47,81
2022-10-16 11:22:48,79
2022-10-16 11:22:49,79
2022-10-16 11:22:49,81
2022-10-16 11:22:50,78
2022-10-16 11:22:51,78
2022-10-16 11:22:52,80
2022-10-16 11:22:53,81
2022-10-16 11:22:54,81
2022-10-16 11:22:55,81
2022-10-16 11:22:56,82
2022-10-16 11:22:57,82
2022-10-16 11:22:58,81
2022-10-16 11:22:59,81
2022-10-16 11:23:00,81
2022-10-16 11:23:00,81
2022-10-16 11:23:01,82
2022-10-16 11:23:02,84
2022-10-16 11:23:03,84
2022-10-16 11:23:05,83
2022-10-16 11:23:05,84
2022-10-16 11:23:07,86
2022-10-16 11:23:08,85
2022-10-16 11:23:08,84
2022-10-16 11:23:09,84
2022-10-16 11:23:10,87
2022-10-16 11:23:11,87
2022-10-16 11:23:12,90
2022-10-16 11:23:14,91
2022-10-16 11:23:15,90
2022-10-16 11:23:16,89
2022-10-16 11:23:17,89
2022-10-16 11:23:18,88
2022-10-16 11:23:19,88
2022-10-16 11:23:20,89
2022-10-16 11:23:22,89
2022-10-16 11:23:22,89
2022-10-16 11:23:23,87
2022-10-16 11:23:24,89
2022-10-16 11:23:26,86
2022-10-16 11:23:27,87
2022-10-16 11:23:28,87
2022-10-16 11:23:29,87
2022-10-16 11:23:29,84
2022-10-16 11:23:30,84
2022-10-16 11:23:31,84
2022-10-16 11:23:32,84
2022-10-16 11:23:33,84
2022-10-16 11:23:35,85
2022-10-16 11:23:35,84
2022-10-16 11:23:36,83
2022-10-16 11:23:38,85
2022-10-16 11:23:39,85
2022-10-16 11:23:40,86
2022-10-16 11:23:41,86
2022-10-16 11:23:42,86
2022-10-16 11:23:43,86
2022-10-16 11:23:44,84
2022-10-16 11:23:45,83
2022-10-16 11:23:46,85
2022-10-16 11:23:47,86
2022-10-16 11:23:48,84
2022-10-16 11:23:49,85
2022-10-16 11:23:51,86
2022-10-16 11:23:52,86
2022-10-16 11:23:53,85
2022-10-16 11:23:53,88
2022-10-16 11:23:55,85
2022-10-16 11:23:56,84
2022-10-16 11:23:57,82
2022-10-16 11:23:58,84
2022-10-16 11:23:59,83
2022-10-16 11:24:00,83
2022-10-16 11:24:01,84
2022-10-16 11:24:02,85
2022-10-16 11:24:02,83
2022-10-16 11:24:04,85
2022-10-16 11:24:05,84
2022-10-16 11:24:06,83
2022-10-16 11:24:06,83
2022-10-16 11:24:07,83
2022-10-16 11:24:08,84
2022-10-16 11:24:09,83
2022-10-16 11:24:09,83
2022-10-16 11:24:10,83
