datetime,value
2022-10-16 11:21:13,-404
2022-10-16 11:21:13,-50
2022-10-16 11:21:14,-553
2022-10-16 11:21:15,-852
2022-10-16 11:21:16,-856
2022-10-16 11:21:16,-848
2022-10-16 11:21:18,-907
2022-10-16 11:21:18,-936
2022-10-16 11:21:19,-928
2022-10-16 11:21:20,-928
2022-10-16 11:21:21,-919
2022-10-16 11:21:22,-915
2022-10-16 11:21:23,-812
2022-10-16 11:21:24,-862
2022-10-16 11:21:25,-848
2022-10-16 11:21:26,-867
2022-10-16 11:21:27,-439
2022-10-16 11:21:29,-233
2022-10-16 11:21:30,-250
2022-10-16 11:21:31,-288
2022-10-16 11:21:31,-297
2022-10-16 11:21:32,-284
2022-10-16 11:21:33,-268
2022-10-16 11:21:34,-297
2022-10-16 11:21:35,-286
2022-10-16 11:21:36,-254
2022-10-16 11:21:36,-278
2022-10-16 11:21:37,-284
2022-10-16 11:21:38,-270
2022-10-16 11:21:39,-111
2022-10-16 11:21:40,-105
2022-10-16 11:21:41,-109
2022-10-16 11:21:42,-132
2022-10-16 11:21:43,-73
2022-10-16 11:21:44,-89
2022-10-16 11:21:44,-81
2022-10-16 11:21:45,-97
2022-10-16 11:21:46,-101
2022-10-16 11:21:47,-93
2022-10-16 11:21:48,-89
2022-10-16 11:21:49,-470
2022-10-16 11:21:49,-109
2022-10-16 11:21:50,-223
2022-10-16 11:21:52,-238
2022-10-16 11:21:52,-191
2022-10-16 11:21:53,-213
2022-10-16 11:21:53,-217
2022-10-16 11:21:55,-213
2022-10-16 11:21:55,-209
2022-10-16 11:21:56,-217
2022-10-16 11:21:57,-207
2022-10-16 11:21:58,-219
2022-10-16 11:21:59,-237
2022-10-16 11:22:00,-217
2022-10-16 11:22:01,-221
2022-10-16 11:22:02,-221
2022-10-16 11:22:03,-297
2022-10-16 11:22:04,-284
2022-10-16 11:22:05,-282
2022-10-16 11:22:06,-274
2022-10-16 11:22:06,-268
2022-10-16 11:22:08,-272
2022-10-16 11:22:09,-262
2022-10-16 11:22:09,-260
2022-10-16 11:22:10,-264
2022-10-16 11:22:11,-260
2022-10-16 11:22:12,-260
2022-10-16 11:22:13,-258
2022-10-16 11:22:14,-260
2022-10-16 11:22:15,-250
2022-10-16 11:22:16,-256
2022-10-16 11:22:16,-248
2022-10-16 11:22:18,-244
2022-10-16 11:22:18,-231
2022-10-16 11:22:19,-237
2022-10-16 11:22:20,-238
2022-10-16 11:22:21,-244
2022-10-16 11:22:21,-237
2022-10-16 11:22:23,-237
2022-10-16 11:22:24,-240
2022-10-16 11:22:25,-235
2022-10-16 11:22:26,-240
2022-10-16 11:22:27,-238
2022-10-16 11:22:27,-235
2022-10-16 11:22:28,-231
2022-10-16 11:22:29,-238
2022-10-16 11:22:30,-240
2022-10-16 11:22:31,-244
2022-10-16 11:22:32,-260
2022-10-16 11:22:33,-221
2022-10-16 11:22:34,-227
2022-10-16 11:22:34,-213
2022-10-16 11:22:35,-219
2022-10-16 11:22:36,-219
2022-10-16 11:22:37,-215
2022-10-16 11:22:38,-242
2022-10-16 11:22:39,-242
2022-10-16 11:22:39,-246
2022-10-16 11:22:41,-240
2022-10-16 11:22:41,-238
2022-10-16 11:22:42,-199
2022-10-16 11:22:43,-193
2022-10-16 11:22:44,-417
2022-10-16 11:22:44,-704
2022-10-16 11:22:45,-693
2022-10-16 11:22:46,-767
2022-10-16 11:22:47,-771
2022-10-16 11:22:48,-779
2022-10-16 11:22:48,-771
2022-10-16 11:22:49,-777
2022-10-16 11:22:50,-779
2022-10-16 11:22:51,-771
2022-10-16 11:22:52,-769
2022-10-16 11:22:53,-775
2022-10-16 11:22:54,-773
2022-10-16 11:22:55,-773
2022-10-16 11:22:56,-779
2022-10-16 11:22:56,-763
2022-10-16 11:22:58,-767
2022-10-16 11:22:58,-767
2022-10-16 11:22:59,-761
2022-10-16 11:23:00,-763
2022-10-16 11:23:01,-759
2022-10-16 11:23:03,-757
2022-10-16 11:23:03,-761
2022-10-16 11:23:04,-765
2022-10-16 11:23:05,-844
2022-10-16 11:23:06,-818
2022-10-16 11:23:07,-810
2022-10-16 11:23:08,-812
2022-10-16 11:23:09,-812
2022-10-16 11:23:10,-812
2022-10-16 11:23:11,-816
2022-10-16 11:23:12,-812
2022-10-16 11:23:13,-812
