datetime,value
2022-11-17 14:36:40,484
2022-11-17 14:36:41,474
2022-11-17 14:36:42,433
2022-11-17 14:36:43,533
2022-11-17 14:36:44,423
2022-11-17 14:36:44,198
2022-11-17 14:36:45,-313
2022-11-17 14:36:46,-249
2022-11-17 14:36:47,-3
2022-11-17 14:36:48,25
2022-11-17 14:36:49,148
2022-11-17 14:36:51,-88
2022-11-17 14:36:52,430
2022-11-17 14:36:52,48
2022-11-17 14:36:54,-475
2022-11-17 14:36:55,2
2022-11-17 14:36:56,350
2022-11-17 14:36:57,390
2022-11-17 14:36:57,255
2022-11-17 14:36:58,228
2022-11-17 14:37:00,195
2022-11-17 14:37:00,-4
2022-11-17 14:37:01,-209
2022-11-17 14:37:03,-39
2022-11-17 14:37:04,614
2022-11-17 14:37:05,691
2022-11-17 14:37:05,464
2022-11-17 14:37:06,-305
2022-11-17 14:37:07,-260
2022-11-17 14:37:08,-39
2022-11-17 14:37:09,0
2022-11-17 14:37:10,25
2022-11-17 14:37:11,23
2022-11-17 14:37:12,9
2022-11-17 14:37:13,8
2022-11-17 14:37:15,0
2022-11-17 14:37:16,-6
2022-11-17 14:37:16,3
2022-11-17 14:37:18,7
2022-11-17 14:37:20,36
2022-11-17 14:37:21,27
2022-11-17 14:37:21,-39
2022-11-17 14:37:22,-269
2022-11-17 14:37:23,-465
2022-11-17 14:37:24,24
2022-11-17 14:37:26,12
2022-11-17 14:37:27,13
2022-11-17 14:37:28,30
2022-11-17 14:37:29,17
2022-11-17 14:37:30,31
2022-11-17 14:37:31,21
2022-11-17 14:37:33,11
2022-11-17 14:37:34,0
2022-11-17 14:37:35,13
2022-11-17 14:37:36,-12
2022-11-17 14:37:38,29
2022-11-17 14:37:39,30
2022-11-17 14:37:39,22
2022-11-17 14:37:40,-1
2022-11-17 14:37:41,20
2022-11-17 14:37:42,24
2022-11-17 14:37:43,26
2022-11-17 14:37:44,12
2022-11-17 14:37:45,9
2022-11-17 14:37:46,7
2022-11-17 14:37:47,38
2022-11-17 14:37:48,13
2022-11-17 14:37:49,-10
2022-11-17 14:37:50,-13
2022-11-17 14:37:51,-18
2022-11-17 14:37:52,-18
2022-11-17 14:37:53,-19
2022-11-17 14:37:54,-4
2022-11-17 14:37:55,10
2022-11-17 14:37:56,-1
2022-11-17 14:37:57,-1
2022-11-17 14:37:58,-11
2022-11-17 14:37:59,0
2022-11-17 14:38:00,2
2022-11-17 14:38:01,-21
2022-11-17 14:38:03,-1
2022-11-17 14:38:04,2
2022-11-17 14:38:05,-6
2022-11-17 14:38:06,-9
2022-11-17 14:38:07,-4
2022-11-17 14:38:08,-13
2022-11-17 14:38:09,-4
2022-11-17 14:38:10,-7
2022-11-17 14:38:11,-19
2022-11-17 14:38:13,-10
2022-11-17 14:38:14,0
2022-11-17 14:38:15,-2
2022-11-17 14:38:16,-2
2022-11-17 14:38:17,-13
2022-11-17 14:38:18,19
2022-11-17 14:38:20,21
2022-11-17 14:38:22,19
2022-11-17 14:38:23,18
2022-11-17 14:38:25,16
2022-11-17 14:38:26,16
2022-11-17 14:38:27,-2
2022-11-17 14:38:28,-7
2022-11-17 14:38:30,10
2022-11-17 14:38:31,25
2022-11-17 14:38:32,5
2022-11-17 14:38:33,30
2022-11-17 14:38:34,18
2022-11-17 14:38:35,30
2022-11-17 14:38:37,26
2022-11-17 14:38:38,17
2022-11-17 14:38:39,30
2022-11-17 14:38:40,30
2022-11-17 14:38:41,33
2022-11-17 14:38:43,26
2022-11-17 14:38:44,21
2022-11-17 14:38:44,32
2022-11-17 14:38:45,30
2022-11-17 14:38:46,29
2022-11-17 14:38:47,25
2022-11-17 14:38:48,30
2022-11-17 14:38:50,23
2022-11-17 14:38:51,23
2022-11-17 14:38:51,37
2022-11-17 14:38:52,18
2022-11-17 14:38:54,25
2022-11-17 14:38:56,37
2022-11-17 14:38:57,45
2022-11-17 14:38:58,36
2022-11-17 14:39:00,5
2022-11-17 14:39:01,18
2022-11-17 14:39:01,-4
2022-11-17 14:39:03,23
2022-11-17 14:39:03,26
2022-11-17 14:39:04,35
2022-11-17 14:39:05,50
2022-11-17 14:39:06,8
2022-11-17 14:39:07,28
2022-11-17 14:39:08,22
2022-11-17 14:39:09,9
2022-11-17 14:39:10,14
2022-11-17 14:39:11,7
2022-11-17 14:39:11,0
2022-11-17 14:39:13,29
2022-11-17 14:39:14,9
2022-11-17 14:39:15,10
2022-11-17 14:39:16,22
2022-11-17 14:39:16,14
2022-11-17 14:39:17,12
2022-11-17 14:39:19,27
2022-11-17 14:39:21,3
2022-11-17 14:39:21,-3
2022-11-17 14:39:22,8
2022-11-17 14:39:23,13
2022-11-17 14:39:24,-5
2022-11-17 14:39:26,3
2022-11-17 14:39:26,30
2022-11-17 14:39:27,4
2022-11-17 14:39:28,18
2022-11-17 14:39:29,15
2022-11-17 14:39:30,19
2022-11-17 14:39:31,27
2022-11-17 14:39:32,12
2022-11-17 14:39:33,8
2022-11-17 14:39:33,1
2022-11-17 14:39:34,15
2022-11-17 14:39:35,13
2022-11-17 14:39:37,11
2022-11-17 14:39:38,6
2022-11-17 14:39:40,9
2022-11-17 14:39:40,0
2022-11-17 14:39:42,19
2022-11-17 14:39:43,15
2022-11-17 14:39:44,24
2022-11-17 14:39:45,22
2022-11-17 14:39:46,34
2022-11-17 14:39:47,30
2022-11-17 14:39:48,9
2022-11-17 14:39:49,11
2022-11-17 14:39:50,11
2022-11-17 14:39:51,14
2022-11-17 14:39:52,10
2022-11-17 14:39:53,6
2022-11-17 14:39:54,27
2022-11-17 14:39:55,-14
2022-11-17 14:39:56,24
2022-11-17 14:39:57,7
2022-11-17 14:39:58,3
2022-11-17 14:40:00,41
2022-11-17 14:40:01,3
2022-11-17 14:40:02,10
2022-11-17 14:40:03,20
2022-11-17 14:40:04,-2
2022-11-17 14:40:05,-5
2022-11-17 14:40:06,22
2022-11-17 14:40:07,14
2022-11-17 14:40:08,8
2022-11-17 14:40:08,19
2022-11-17 14:40:10,35
2022-11-17 14:40:11,30
2022-11-17 14:40:11,20
2022-11-17 14:40:12,25
2022-11-17 14:40:13,22
2022-11-17 14:40:15,31
2022-11-17 14:40:15,29
2022-11-17 14:40:17,5
2022-11-17 14:40:18,17
2022-11-17 14:40:19,-5
2022-11-17 14:40:20,-5
2022-11-17 14:40:22,4
2022-11-17 14:40:22,-14
2022-11-17 14:40:23,-11
2022-11-17 14:40:24,-18
2022-11-17 14:40:26,-19
2022-11-17 14:40:27,-4
2022-11-17 14:40:27,-6
2022-11-17 14:40:29,-16
2022-11-17 14:40:30,-13
2022-11-17 14:40:32,-24
2022-11-17 14:40:33,0
2022-11-17 14:40:34,-11
2022-11-17 14:40:35,-9
2022-11-17 14:40:35,-6
2022-11-17 14:40:36,4
2022-11-17 14:40:37,0
2022-11-17 14:40:38,-20
2022-11-17 14:40:39,-18
2022-11-17 14:40:40,-13
2022-11-17 14:40:41,-33
2022-11-17 14:40:42,-17
2022-11-17 14:40:43,-2
2022-11-17 14:40:45,-12
2022-11-17 14:40:45,-21
2022-11-17 14:40:46,-1
2022-11-17 14:40:47,0
2022-11-17 14:40:49,8
2022-11-17 14:40:50,-14
2022-11-17 14:40:51,1
2022-11-17 14:40:52,20
2022-11-17 14:40:53,-12
2022-11-17 14:40:54,-10
2022-11-17 14:40:55,-9
2022-11-17 14:40:57,4
2022-11-17 14:40:58,16
2022-11-17 14:40:59,6
2022-11-17 14:41:00,-2
2022-11-17 14:41:01,4
2022-11-17 14:41:03,0
2022-11-17 14:41:04,-10
2022-11-17 14:41:05,1
2022-11-17 14:41:06,-13
2022-11-17 14:41:07,0
2022-11-17 14:41:09,-18
2022-11-17 14:41:10,3
2022-11-17 14:41:11,-11
2022-11-17 14:41:12,0
2022-11-17 14:41:14,0
2022-11-17 14:41:15,-31
2022-11-17 14:41:16,-14
2022-11-17 14:41:17,8
2022-11-17 14:41:18,-17
2022-11-17 14:41:18,-22
2022-11-17 14:41:20,-13
2022-11-17 14:41:21,-32
2022-11-17 14:41:23,-23
2022-11-17 14:41:24,-8
2022-11-17 14:41:25,-25
2022-11-17 14:41:26,-20
2022-11-17 14:41:27,-3
2022-11-17 14:41:28,-15
2022-11-17 14:41:29,-15
2022-11-17 14:41:30,-18
2022-11-17 14:41:31,-20
2022-11-17 14:41:32,0
2022-11-17 14:41:32,-13
2022-11-17 14:41:33,-25
2022-11-17 14:41:34,-2
2022-11-17 14:41:36,-43
2022-11-17 14:41:37,438
2022-11-17 14:41:38,-438
2022-11-17 14:41:39,-435
2022-11-17 14:41:40,45
2022-11-17 14:41:41,59
2022-11-17 14:41:42,48
2022-11-17 14:41:43,44
2022-11-17 14:41:44,35
2022-11-17 14:41:44,-51
2022-11-17 14:41:46,51
2022-11-17 14:41:48,22
2022-11-17 14:41:49,11
2022-11-17 14:41:50,-3
2022-11-17 14:41:51,15
2022-11-17 14:41:52,71
2022-11-17 14:41:53,49
2022-11-17 14:41:54,49
2022-11-17 14:41:55,28
2022-11-17 14:41:56,45
2022-11-17 14:41:57,63
2022-11-17 14:41:57,73
2022-11-17 14:41:58,35
2022-11-17 14:42:00,6
2022-11-17 14:42:01,-21
2022-11-17 14:42:01,82
2022-11-17 14:42:02,92
2022-11-17 14:42:04,75
2022-11-17 14:42:05,46
2022-11-17 14:42:05,129
2022-11-17 14:42:07,332
2022-11-17 14:42:09,734
2022-11-17 14:42:10,687
2022-11-17 14:42:11,608
2022-11-17 14:42:12,724
2022-11-17 14:42:14,498
2022-11-17 14:42:15,643
2022-11-17 14:42:17,287
