datetime,value
2022-11-17 14:36:40,191
2022-11-17 14:36:41,118
2022-11-17 14:36:42,-11
2022-11-17 14:36:43,228
2022-11-17 14:36:43,1386
2022-11-17 14:36:44,159
2022-11-17 14:36:45,397
2022-11-17 14:36:46,382
2022-11-17 14:36:47,441
2022-11-17 14:36:48,643
2022-11-17 14:36:49,352
2022-11-17 14:36:50,179
2022-11-17 14:36:51,573
2022-11-17 14:36:52,269
2022-11-17 14:36:52,1108
2022-11-17 14:36:55,-5
2022-11-17 14:36:56,925
2022-11-17 14:36:57,571
2022-11-17 14:36:59,949
2022-11-17 14:37:00,1025
2022-11-17 14:37:02,905
2022-11-17 14:37:02,854
2022-11-17 14:37:03,813
2022-11-17 14:37:05,366
2022-11-17 14:37:05,-182
2022-11-17 14:37:07,750
2022-11-17 14:37:08,777
2022-11-17 14:37:08,899
2022-11-17 14:37:09,960
2022-11-17 14:37:10,905
2022-11-17 14:37:11,864
2022-11-17 14:37:13,931
2022-11-17 14:37:14,905
2022-11-17 14:37:15,974
2022-11-17 14:37:16,889
2022-11-17 14:37:18,998
2022-11-17 14:37:18,844
2022-11-17 14:37:20,846
2022-11-17 14:37:21,958
2022-11-17 14:37:22,-442
2022-11-17 14:37:23,224
2022-11-17 14:37:24,748
2022-11-17 14:37:25,895
2022-11-17 14:37:26,915
2022-11-17 14:37:27,897
2022-11-17 14:37:29,876
2022-11-17 14:37:30,952
2022-11-17 14:37:32,966
2022-11-17 14:37:33,970
2022-11-17 14:37:34,972
2022-11-17 14:37:34,976
2022-11-17 14:37:36,986
2022-11-17 14:37:37,974
2022-11-17 14:37:38,982
2022-11-17 14:37:39,962
2022-11-17 14:37:41,978
2022-11-17 14:37:42,980
2022-11-17 14:37:43,978
2022-11-17 14:37:44,988
2022-11-17 14:37:45,996
2022-11-17 14:37:46,990
2022-11-17 14:37:47,982
2022-11-17 14:37:47,988
2022-11-17 14:37:48,844
2022-11-17 14:37:49,878
2022-11-17 14:37:50,864
2022-11-17 14:37:52,886
2022-11-17 14:37:53,889
2022-11-17 14:37:54,935
2022-11-17 14:37:55,917
2022-11-17 14:37:56,941
2022-11-17 14:37:59,933
2022-11-17 14:38:00,941
2022-11-17 14:38:01,937
2022-11-17 14:38:02,933
2022-11-17 14:38:03,931
2022-11-17 14:38:05,945
2022-11-17 14:38:06,937
2022-11-17 14:38:07,949
2022-11-17 14:38:07,937
2022-11-17 14:38:08,949
2022-11-17 14:38:09,941
2022-11-17 14:38:11,956
2022-11-17 14:38:12,956
2022-11-17 14:38:13,972
2022-11-17 14:38:15,966
2022-11-17 14:38:15,986
2022-11-17 14:38:17,998
2022-11-17 14:38:18,872
2022-11-17 14:38:19,905
2022-11-17 14:38:21,1002
2022-11-17 14:38:22,978
2022-11-17 14:38:23,972
2022-11-17 14:38:24,952
2022-11-17 14:38:25,956
2022-11-17 14:38:26,947
2022-11-17 14:38:27,949
2022-11-17 14:38:28,960
2022-11-17 14:38:29,976
2022-11-17 14:38:31,866
2022-11-17 14:38:32,909
2022-11-17 14:38:33,905
2022-11-17 14:38:34,905
2022-11-17 14:38:36,862
2022-11-17 14:38:36,850
2022-11-17 14:38:37,838
2022-11-17 14:38:38,1252
2022-11-17 14:38:40,1019
2022-11-17 14:38:41,882
2022-11-17 14:38:42,870
2022-11-17 14:38:43,870
2022-11-17 14:38:44,874
2022-11-17 14:38:45,844
2022-11-17 14:38:47,844
2022-11-17 14:38:48,842
2022-11-17 14:38:48,832
2022-11-17 14:38:50,836
2022-11-17 14:38:51,838
2022-11-17 14:38:52,836
2022-11-17 14:38:53,832
2022-11-17 14:38:54,840
2022-11-17 14:38:55,846
2022-11-17 14:38:56,840
2022-11-17 14:38:57,767
2022-11-17 14:38:58,903
