datetime,activity
2022/8/26 13:55,other
2022/8/26 13:58,walking
2022/8/26 14:14,standing
2022/8/26 14:21,walking
2022/8/26 14:27,sitting
2022/8/26 14:29,eating
2022/8/26 14:45,lying
2022/8/26 17:02,bathroom
2022/8/26 17:03,walking
2022/8/26 17:07,driving
2022/8/26 17:11,walking
2022/8/26 17:28,sitting
2022/8/26 20:51,eating
2022/8/26 21:00,bathroom
2022/8/26 21:08,eating
2022/8/26 21:27,lying
2022/8/28 12:37,sitting
2022/8/28 13:34,eating
2022/8/28 13:50,lying
2022/8/28 15:58,sitting
2022/8/28 16:00,walking
2022/8/28 16:03,using_computer
2022/8/28 16:14,walking
2022/8/28 16:18,driving
2022/8/28 16:44,walking
2022/8/28 16:47,sitting
2022/8/28 17:37,walking
2022/8/28 17:39,sitting
2022/8/28 17:40,eating
2022/8/28 17:55,sitting
2022/8/28 18:22,eating
2022/8/28 18:27,walking
2022/8/28 18:38,sitting
2022/8/28 19:01,other
2022/8/28 19:03,bathroom
2022/8/28 19:07,walking
2022/8/28 19:09,driving
2022/8/28 19:33,walking
2022/8/28 19:47,standing
2022/8/28 19:49,walking
2022/8/28 20:17,walking
2022/8/28 20:19,sitting
2022/8/28 21:37,lying
2022/8/28 22:41,other
2022/8/29 10:38,other
2022/8/29 10:58,walking
2022/8/29 11:07,riding
2022/8/29 11:24,walking
2022/8/29 11:37,other
2022/8/29 12:24,walking
2022/8/29 12:33,sitting
2022/8/29 12:45,other
2022/8/29 16:28,walking
2022/8/29 16:56,other
2022/8/29 17:12,walking
2022/8/29 17:43,sitting
2022/8/29 18:00,eating
2022/8/29 18:13,walking
2022/8/29 18:25,eating
2022/8/29 18:47,walking
2022/8/29 19:10,sitting
2022/8/29 19:15,walking
2022/8/29 20:30,sitting
2022/8/29 20:31,eating
2022/8/29 21:00,sitting
2022/9/1 20:05,using_computer
2022/9/2 15:38,lying
2022/9/2 16:15,walking
2022/9/2 16:19,driving
2022/9/2 17:10,walking
2022/9/2 17:15,riding
2022/9/2 17:27,walking
2022/9/2 17:29,bathroom
2022/9/2 17:32,walking
2022/9/2 17:34,sitting
2022/9/2 18:38,lying
2022/9/2 18:49,sitting
2022/9/2 18:52,walking
2022/9/2 18:53,bathroom
2022/9/2 19:08,walking
2022/9/2 19:09,other
2022/9/2 19:15,lying
2022/9/2 19:49,other
2022/9/2 19:57,eating
2022/9/2 20:15,sitting
2022/9/2 20:46,eating
2022/9/2 20:59,lying
2022/9/2 21:40,walking
2022/9/2 21:42,sitting
2022/9/2 22:27,using_computer
2022/9/4 11:45,walking
2022/9/4 11:52,other
2022/9/4 12:21,walking
2022/9/4 12:34,standing
2022/9/4 13:00,sitting
2022/9/4 13:26,walking
2022/9/4 13:48,other
2022/9/4 15:38,walking
2022/9/4 15:41,bathroom
2022/9/4 15:46,walking
2022/9/4 16:04,sitting
2022/9/4 16:06,using_computer
2022/9/4 16:22,walking
2022/9/4 16:35,driving
2022/9/4 16:58,walking
2022/9/4 17:05,sitting
2022/9/4 17:17,walking
2022/9/4 17:28,sitting
2022/9/4 18:34,walking
2022/9/4 18:36,eating
2022/9/4 18:52,sitting
2022/9/4 19:51,walking
