datetime,value
2022-09-18 14:03:11,80.0
2022-09-18 14:03:32,70.0
2022-09-18 14:03:55,76.0
2022-09-18 14:04:17,84.0
2022-09-18 14:04:41,88.0
2022-09-18 14:04:59,89.0
2022-09-18 14:05:23,87.0
2022-09-18 14:05:40,87.0
2022-09-18 14:06:03,87.0
2022-09-18 14:06:28,92.0
2022-09-18 14:06:44,87.0
2022-09-18 14:07:07,81.0
2022-09-18 14:07:30,71.0
2022-09-18 14:07:47,73.0
2022-09-18 14:08:13,69.0
2022-09-18 14:08:36,69.0
2022-09-18 14:08:51,70.0
2022-09-18 14:09:15,74.0
2022-09-18 14:09:38,76.0
2022-09-18 14:10:03,67.0
2022-09-18 14:10:19,70.0
2022-09-18 14:10:43,70.0
2022-09-18 14:11:07,64.0
2022-09-18 14:11:22,66.0
2022-09-18 14:11:47,65.0
2022-09-18 14:12:09,65.0
2022-09-18 14:12:32,63.0
2022-09-18 14:12:54,64.0
2022-09-18 14:13:15,70.0
2022-09-18 14:13:36,65.0
2022-09-18 14:13:59,71.0
2022-09-18 14:14:21,64.0
2022-09-18 14:14:42,61.0
2022-09-18 14:15:03,66.0
2022-09-18 14:15:24,65.0
2022-09-18 14:15:46,64.0
2022-09-18 14:16:07,64.0
2022-09-18 14:16:29,64.0
2022-09-18 14:16:50,64.0
2022-09-18 14:17:11,63.0
2022-09-18 14:17:33,72.0
2022-09-18 14:17:55,66.0
2022-09-18 14:18:16,68.0
2022-09-18 14:18:37,65.0
2022-09-18 14:18:59,67.0
2022-09-18 14:19:19,68.0
2022-09-18 14:19:41,67.0
2022-09-18 14:20:02,67.0
2022-09-18 14:20:24,67.0
2022-09-18 14:20:46,68.0
2022-09-18 14:21:07,66.0
2022-09-18 14:21:29,64.0
2022-09-18 14:21:50,66.0
2022-09-18 14:22:13,63.0
2022-09-18 14:22:34,67.0
2022-09-18 14:22:55,62.0
2022-09-18 14:23:16,66.0
2022-09-18 14:23:39,71.0
2022-09-18 14:23:53,67.0
2022-09-18 14:24:15,65.0
2022-09-18 14:24:43,65.0
2022-09-18 14:25:04,69.0
2022-09-18 14:25:25,70.0
2022-09-18 14:25:39,67.0
2022-09-18 14:30:01,66.0
2022-09-18 14:30:22,67.0
2022-09-18 14:30:42,68.0
2022-09-18 14:31:03,67.0
2022-09-18 14:31:24,69.0
2022-09-18 14:31:46,67.0
2022-09-18 14:32:06,71.0
2022-09-18 14:32:27,72.0
2022-09-18 14:32:48,71.0
2022-09-18 14:33:09,72.0
2022-09-18 14:33:30,75.0
2022-09-18 14:33:52,74.0
2022-09-18 14:34:13,73.0
2022-09-18 14:34:34,73.0
2022-09-18 14:35:02,73.0
2022-09-18 14:35:23,73.0
2022-09-18 14:35:44,73.0
2022-09-18 14:36:05,73.0
2022-09-18 14:36:26,76.0
2022-09-18 14:36:47,77.0
2022-09-18 14:37:08,81.0
2022-09-18 14:37:29,78.0
2022-09-18 14:37:51,78.0
2022-09-18 14:38:11,83.0
2022-09-18 14:38:33,84.0
2022-09-18 14:38:55,88.0
2022-09-18 14:39:18,87.0
2022-09-18 14:39:33,84.0
2022-09-18 14:39:56,86.0
2022-09-18 14:40:19,86.0
2022-09-18 14:40:42,94.0
2022-09-18 14:41:05,87.0
2022-09-18 14:41:27,92.0
2022-09-18 14:41:43,85.0
2022-09-18 14:42:05,87.0
2022-09-18 14:42:27,87.0
2022-09-18 14:42:51,83.0
2022-09-18 14:43:13,81.0
2022-09-18 14:43:28,78.0
2022-09-18 14:43:53,86.0
2022-09-18 14:44:16,89.0
2022-09-18 14:44:40,92.0
2022-09-18 14:44:56,88.0
2022-09-18 14:45:17,89.0
2022-09-18 14:45:34,89.0
2022-09-18 14:46:04,101.0
2022-09-18 14:46:27,102.0
2022-09-18 14:46:43,106.0
2022-09-18 14:47:05,93.0
