datetime,value
2022-09-21 12:47:52,-197.0
2022-09-21 12:48:10,661.0
2022-09-21 12:48:31,-512.0
2022-09-21 12:48:51,-490.0
2022-09-21 12:49:23,-1011.0
2022-09-21 12:49:44,450.0
2022-09-21 12:50:04,124.0
2022-09-21 12:50:25,-174.0
2022-09-21 12:50:46,-351.0
2022-09-21 12:51:08,-628.0
2022-09-21 12:51:31,-132.0
2022-09-21 12:51:51,124.0
2022-09-21 12:52:24,942.0
2022-09-21 12:52:45,-1015.0
2022-09-21 12:53:07,936.0
2022-09-21 12:53:28,112.0
2022-09-21 12:53:50,49.0
2022-09-21 12:54:10,1718.0
2022-09-21 12:54:31,995.0
2022-09-21 12:55:02,680.0
2022-09-21 12:55:23,-162.0
2022-09-21 12:55:43,-1093.0
2022-09-21 12:56:05,965.0
2022-09-21 12:56:26,961.0
2022-09-21 12:56:47,977.0
2022-09-21 12:57:18,981.0
2022-09-21 12:57:42,920.0
2022-09-21 12:57:55,507.0
2022-09-21 12:58:19,1268.0
2022-09-21 12:58:41,818.0
2022-09-21 12:59:12,674.0
2022-09-21 12:59:33,969.0
2022-09-21 12:59:54,918.0
2022-09-21 13:00:15,967.0
2022-09-21 13:00:38,971.0
2022-09-21 13:01:01,979.0
2022-09-21 13:01:22,-995.0
2022-09-21 13:01:45,720.0
2022-09-21 13:01:58,694.0
2022-09-21 13:02:20,-1056.0
2022-09-21 13:02:51,-867.0
2022-09-21 13:03:13,-209.0
2022-09-21 13:03:44,-69.0
2022-09-21 13:04:05,1054.0
2022-09-21 13:04:26,-852.0
2022-09-21 13:04:51,537.0
2022-09-21 13:05:11,608.0
2022-09-21 13:05:32,975.0
2022-09-21 13:06:02,777.0
2022-09-21 13:06:22,-390.0
2022-09-21 13:06:42,865.0
2022-09-21 13:07:02,1987.0
2022-09-21 13:07:23,2019.0
2022-09-21 13:07:54,-56.0
2022-09-21 13:08:14,246.0
2022-09-21 13:08:34,-303.0
2022-09-21 13:09:02,928.0
2022-09-21 13:09:23,-421.0
2022-09-21 13:09:42,-850.0
2022-09-21 13:10:02,-447.0
2022-09-21 13:10:32,-812.0
2022-09-21 13:10:52,-274.0
2022-09-21 13:11:11,-938.0
2022-09-21 13:11:42,122.0
2022-09-21 13:12:03,-905.0
2022-09-21 13:12:23,-476.0
2022-09-21 13:12:44,-117.0
2022-09-21 13:13:03,-284.0
2022-09-21 13:13:32,-111.0
2022-09-21 13:13:52,-166.0
2022-09-21 13:14:13,-734.0
2022-09-21 13:14:42,851.0
2022-09-21 13:15:02,952.0
2022-09-21 13:15:22,523.0
2022-09-21 13:15:52,-977.0
2022-09-21 13:16:12,621.0
2022-09-21 13:16:34,1628.0
2022-09-21 13:16:54,-311.0
2022-09-21 13:17:24,948.0
2022-09-21 13:17:45,1121.0
2022-09-21 13:18:06,952.0
2022-09-21 13:18:26,977.0
2022-09-21 13:18:46,948.0
2022-09-21 13:19:16,409.0
2022-09-21 13:19:36,1156.0
2022-09-21 13:19:56,767.0
2022-09-21 13:20:17,-280.0
2022-09-21 13:20:48,963.0
2022-09-21 13:21:09,1233.0
2022-09-21 13:21:30,790.0
2022-09-21 13:21:50,1201.0
2022-09-21 13:22:10,940.0
2022-09-21 13:22:41,362.0
2022-09-21 13:23:02,1494.0
2022-09-21 13:23:23,946.0
2022-09-21 13:23:44,187.0
2022-09-21 13:24:05,152.0
2022-09-21 13:24:36,-637.0
2022-09-21 13:24:57,-7.0
2022-09-21 13:25:17,-18.0
2022-09-21 13:25:38,-132.0
2022-09-21 13:26:08,-659.0
2022-09-21 13:26:29,327.0
2022-09-21 13:26:50,-1005.0
2022-09-21 13:27:11,-79.0
2022-09-21 13:27:31,551.0
2022-09-21 13:27:52,556.0
2022-09-21 13:28:23,496.0
2022-09-21 13:28:44,-952.0
2022-09-21 13:29:04,515.0
2022-09-21 13:29:25,533.0
2022-09-21 13:29:56,-109.0
2022-09-21 13:30:17,329.0
2022-09-21 13:30:38,954.0
2022-09-21 13:30:58,560.0
2022-09-21 13:31:28,702.0
2022-09-21 13:31:49,617.0
2022-09-21 13:32:09,942.0
2022-09-21 13:32:29,566.0
2022-09-21 13:32:50,596.0
2022-09-21 13:33:20,576.0
2022-09-21 13:33:40,450.0
2022-09-21 13:34:01,-335.0
2022-09-21 13:34:21,-455.0
2022-09-21 13:34:53,-305.0
2022-09-21 13:35:14,-402.0
2022-09-21 13:35:36,-272.0
2022-09-21 13:35:57,-303.0
2022-09-21 13:36:19,-455.0
2022-09-21 13:36:39,-569.0
2022-09-21 13:37:10,-404.0
2022-09-21 13:37:29,-720.0
2022-09-21 13:37:50,-744.0
2022-09-21 13:38:11,897.0
2022-09-21 13:38:31,-771.0
2022-09-21 13:39:00,-765.0
2022-09-21 13:39:19,-775.0
2022-09-21 13:39:42,-408.0
2022-09-21 13:40:05,-791.0
2022-09-21 13:40:34,-812.0
2022-09-21 13:40:53,-805.0
2022-09-21 13:41:13,-922.0
2022-09-21 13:41:42,-889.0
2022-09-21 13:42:02,-922.0
2022-09-21 13:42:22,-909.0
2022-09-21 13:42:51,-893.0
2022-09-21 13:43:10,-897.0
2022-09-21 13:43:30,-840.0
2022-09-21 13:43:59,-924.0
2022-09-21 13:44:17,-920.0
2022-09-21 13:44:46,-873.0
2022-09-21 13:45:04,-909.0
2022-09-21 13:45:23,-879.0
2022-09-21 13:45:52,-740.0
2022-09-21 13:46:13,-877.0
2022-09-21 13:46:31,-913.0
2022-09-21 13:47:00,-805.0
2022-09-21 13:47:18,-828.0
2022-09-21 13:47:39,-828.0
2022-09-21 13:48:12,-734.0
2022-09-21 13:48:24,-775.0
2022-09-21 13:48:59,-773.0
2022-09-21 13:49:18,-783.0
2022-09-21 13:49:37,-753.0
2022-09-21 13:50:05,-753.0
2022-09-21 13:50:24,-759.0
2022-09-21 13:50:53,-744.0
2022-09-21 13:51:12,-742.0
2022-09-21 13:51:31,-730.0
2022-09-21 13:51:59,-706.0
2022-09-21 13:52:18,-702.0
2022-09-21 13:52:47,-669.0
2022-09-21 13:53:06,-679.0
2022-09-21 13:53:24,-677.0
2022-09-21 13:53:53,-679.0
2022-09-21 13:54:11,-671.0
2022-09-21 13:54:39,-669.0
2022-09-21 13:54:58,-681.0
2022-09-21 13:55:26,-742.0
2022-09-21 13:55:46,-716.0
2022-09-21 13:56:06,-726.0
2022-09-21 13:56:35,-850.0
2022-09-21 13:56:54,-844.0
2022-09-21 13:57:13,-850.0
2022-09-21 13:57:41,-844.0
2022-09-21 13:58:00,-822.0
2022-09-21 13:58:29,-814.0
2022-09-21 13:58:49,-820.0
2022-09-21 13:59:11,-46.0
2022-09-21 13:59:31,-164.0
2022-09-21 13:59:50,-156.0
2022-09-21 14:16:21,521.0
2022-09-21 14:16:44,1083.0
2022-09-21 14:17:05,61.0
2022-09-21 14:54:46,0.0
2022-09-21 14:55:07,961.0
2022-09-21 14:55:37,761.0
2022-09-21 14:55:58,378.0
2022-09-21 14:56:19,515.0
2022-09-21 14:56:41,653.0
2022-09-21 14:57:12,376.0
2022-09-21 14:57:33,-404.0
2022-09-21 14:57:54,-618.0
2022-09-21 14:58:14,-246.0
2022-09-21 14:58:43,-885.0
2022-09-21 14:59:03,-848.0
2022-09-21 14:59:23,-791.0
2022-09-21 14:59:55,690.0
2022-09-21 15:00:16,-11.0
2022-09-21 15:00:37,-382.0
2022-09-21 15:00:58,-48.0
2022-09-21 15:01:28,73.0
2022-09-21 15:01:47,-64.0
2022-09-21 15:02:08,73.0
2022-09-21 15:02:29,-46.0
2022-09-21 15:07:48,224.0
2022-09-21 15:08:13,484.0
2022-09-21 15:08:34,790.0
2022-09-21 15:08:57,32.0
2022-09-21 15:09:20,-368.0
2022-09-21 15:09:42,-172.0
2022-09-21 15:10:14,140.0
2022-09-21 15:10:33,948.0
2022-09-21 15:10:53,-1017.0
2022-09-21 15:11:25,65.0
2022-09-21 15:11:46,386.0
2022-09-21 15:12:17,462.0
2022-09-21 15:12:30,-278.0
2022-09-21 15:12:55,-99.0
2022-09-21 15:13:27,165.0
2022-09-21 15:13:48,-594.0
2022-09-21 15:14:09,-626.0
2022-09-21 15:14:29,-740.0
2022-09-21 15:14:52,189.0
2022-09-21 15:15:02,-681.0
2022-09-21 15:15:41,-592.0
2022-09-21 15:16:02,-555.0
2022-09-21 15:16:33,-490.0
2022-09-21 15:16:54,-89.0
2022-09-21 15:17:15,-180.0
2022-09-21 15:17:37,-622.0
2022-09-21 15:18:07,-584.0
2022-09-21 15:18:26,-681.0
2022-09-21 15:18:48,83.0
2022-09-21 15:19:11,-863.0
2022-09-21 15:19:31,-777.0
2022-09-21 15:19:56,-502.0
2022-09-21 15:20:27,-571.0
2022-09-21 15:20:49,-698.0
