datetime,value
2022-09-18 14:03:10,834.0
2022-09-18 14:03:32,797.0
2022-09-18 14:03:55,-629.0
2022-09-18 14:04:17,769.0
2022-09-18 14:04:41,1008.0
2022-09-18 14:04:58,998.0
2022-09-18 14:05:22,1045.0
2022-09-18 14:05:39,362.0
2022-09-18 14:06:02,594.0
2022-09-18 14:06:27,529.0
2022-09-18 14:06:44,1291.0
2022-09-18 14:07:07,639.0
2022-09-18 14:07:29,-239.0
2022-09-18 14:07:55,-320.0
2022-09-18 14:08:13,949.0
2022-09-18 14:08:36,470.0
2022-09-18 14:08:59,454.0
2022-09-18 14:09:15,641.0
2022-09-18 14:09:38,486.0
2022-09-18 14:10:02,496.0
2022-09-18 14:10:26,614.0
2022-09-18 14:10:43,651.0
2022-09-18 14:11:06,573.0
2022-09-18 14:11:30,567.0
2022-09-18 14:11:46,903.0
2022-09-18 14:12:09,-450.0
2022-09-18 14:12:32,445.0
2022-09-18 14:12:53,441.0
2022-09-18 14:13:14,401.0
2022-09-18 14:13:36,641.0
2022-09-18 14:13:58,405.0
2022-09-18 14:14:20,515.0
2022-09-18 14:14:42,500.0
2022-09-18 14:15:02,893.0
2022-09-18 14:15:24,399.0
2022-09-18 14:15:45,419.0
2022-09-18 14:16:06,356.0
2022-09-18 14:16:28,386.0
2022-09-18 14:16:49,405.0
2022-09-18 14:17:11,321.0
2022-09-18 14:17:33,336.0
2022-09-18 14:17:54,374.0
2022-09-18 14:18:16,393.0
2022-09-18 14:18:37,336.0
2022-09-18 14:18:58,464.0
2022-09-18 14:19:18,348.0
2022-09-18 14:19:40,372.0
2022-09-18 14:20:02,-5.0
2022-09-18 14:20:24,452.0
2022-09-18 14:20:45,411.0
2022-09-18 14:21:07,362.0
2022-09-18 14:21:28,382.0
2022-09-18 14:21:50,330.0
2022-09-18 14:22:12,244.0
2022-09-18 14:22:33,669.0
2022-09-18 14:22:55,643.0
2022-09-18 14:23:16,535.0
2022-09-18 14:23:38,449.0
2022-09-18 14:24:00,515.0
2022-09-18 14:24:21,452.0
2022-09-18 14:24:42,273.0
2022-09-18 14:25:03,4.0
2022-09-18 14:25:25,323.0
2022-09-18 14:25:47,2.0
2022-09-18 14:30:00,553.0
2022-09-18 14:30:21,401.0
2022-09-18 14:30:42,378.0
2022-09-18 14:31:02,350.0
2022-09-18 14:31:24,334.0
2022-09-18 14:31:45,348.0
2022-09-18 14:32:05,409.0
2022-09-18 14:32:26,303.0
2022-09-18 14:32:48,543.0
2022-09-18 14:33:09,492.0
2022-09-18 14:33:37,561.0
2022-09-18 14:33:52,513.0
2022-09-18 14:34:19,559.0
2022-09-18 14:34:41,452.0
2022-09-18 14:35:02,517.0
2022-09-18 14:35:23,529.0
2022-09-18 14:35:44,494.0
2022-09-18 14:36:05,460.0
2022-09-18 14:36:25,508.0
2022-09-18 14:36:47,456.0
2022-09-18 14:37:08,504.0
2022-09-18 14:37:29,533.0
2022-09-18 14:37:50,537.0
2022-09-18 14:38:11,525.0
2022-09-18 14:38:32,-310.0
2022-09-18 14:38:55,655.0
2022-09-18 14:39:18,458.0
2022-09-18 14:39:40,370.0
2022-09-18 14:39:55,407.0
2022-09-18 14:40:18,728.0
2022-09-18 14:40:41,336.0
2022-09-18 14:41:04,838.0
2022-09-18 14:41:27,899.0
2022-09-18 14:41:49,895.0
2022-09-18 14:42:05,1023.0
2022-09-18 14:42:26,1023.0
2022-09-18 14:42:51,1013.0
2022-09-18 14:43:13,899.0
2022-09-18 14:43:36,346.0
2022-09-18 14:43:52,-33.0
2022-09-18 14:44:16,856.0
2022-09-18 14:44:40,793.0
2022-09-18 14:45:02,525.0
2022-09-18 14:45:17,289.0
2022-09-18 14:45:33,419.0
2022-09-18 14:46:04,313.0
2022-09-18 14:46:27,1096.0
2022-09-18 14:46:42,551.0
2022-09-18 14:47:04,582.0
2022-09-18 14:47:27,632.0
2022-09-18 14:47:49,636.0
2022-09-18 14:48:12,695.0
2022-09-18 14:48:34,693.0
2022-09-18 14:48:50,933.0
2022-09-18 14:49:12,657.0
2022-09-18 14:49:35,681.0
2022-09-18 14:49:58,348.0
2022-09-18 14:50:23,903.0
2022-09-18 14:50:44,590.0
2022-09-18 14:51:00,248.0
2022-09-18 14:51:22,126.0
2022-09-18 14:51:46,549.0
2022-09-18 14:52:10,323.0
2022-09-18 14:52:26,643.0
2022-09-18 14:52:52,-405.0
2022-09-18 14:53:09,706.0
2022-09-18 14:53:28,-287.0
2022-09-18 14:53:57,960.0
2022-09-18 14:54:15,921.0
2022-09-18 14:54:36,1019.0
2022-09-18 14:54:59,874.0
2022-09-18 14:55:18,328.0
2022-09-18 14:55:44,578.0
2022-09-18 14:56:01,616.0
2022-09-18 14:56:25,868.0
2022-09-18 14:56:48,889.0
2022-09-18 14:57:03,958.0
2022-09-18 14:57:26,966.0
2022-09-18 14:57:51,767.0
2022-09-18 14:58:08,907.0
2022-09-18 14:58:32,968.0
2022-09-18 14:58:56,909.0
2022-09-18 14:59:14,858.0
2022-09-18 14:59:40,891.0
2022-09-18 14:59:59,945.0
2022-09-18 15:00:20,964.0
2022-09-18 15:00:38,980.0
2022-09-18 15:01:02,551.0
2022-09-18 15:01:23,401.0
2022-09-18 15:01:46,492.0
2022-09-18 15:02:08,549.0
2022-09-18 15:02:30,602.0
2022-09-18 15:02:52,303.0
2022-09-18 15:03:14,-369.0
2022-09-18 15:03:36,452.0
2022-09-18 15:03:52,61.0
2022-09-18 15:04:15,-302.0
2022-09-18 15:04:40,-302.0
2022-09-18 15:04:56,-302.0
2022-09-18 15:05:21,960.0
2022-09-18 15:05:44,551.0
2022-09-18 15:05:59,886.0
2022-09-18 15:06:24,1013.0
2022-09-18 15:06:47,960.0
2022-09-18 15:07:03,990.0
2022-09-18 15:07:27,1033.0
2022-09-18 15:07:44,626.0
2022-09-18 15:08:06,917.0
2022-09-18 15:08:25,962.0
2022-09-18 15:08:57,980.0
2022-09-18 15:09:17,362.0
2022-09-18 15:09:37,834.0
2022-09-18 15:09:56,815.0
2022-09-18 15:10:20,307.0
2022-09-18 15:10:37,31.0
2022-09-18 15:11:00,972.0
2022-09-18 15:11:22,1010.0
2022-09-18 15:11:47,-92.0
2022-09-18 15:12:06,474.0
2022-09-18 15:12:24,441.0
2022-09-18 15:12:51,435.0
2022-09-18 15:13:09,437.0
2022-09-18 15:13:29,425.0
2022-09-18 15:13:56,419.0
2022-09-18 15:14:14,823.0
2022-09-18 15:14:39,738.0
2022-09-18 15:14:59,151.0
2022-09-18 15:15:14,1006.0
2022-09-18 15:15:32,-100.0
