datetime,value
2022-09-14 12:31:38,-291.0
2022-09-14 12:32:01,-321.0
2022-09-14 12:32:16,-313.0
2022-09-14 12:32:39,-427.0
2022-09-14 12:33:01,-353.0
2022-09-14 12:33:23,-388.0
2022-09-14 12:33:45,-373.0
2022-09-14 12:34:05,-304.0
2022-09-14 12:34:26,-455.0
2022-09-14 12:34:47,-470.0
2022-09-14 12:35:15,-446.0
2022-09-14 12:35:36,1.0
2022-09-14 12:35:51,-483.0
2022-09-14 12:36:13,-481.0
2022-09-14 12:36:36,-398.0
2022-09-14 12:37:01,-446.0
2022-09-14 12:37:22,-525.0
2022-09-14 12:37:43,-455.0
2022-09-14 12:38:04,-455.0
2022-09-14 12:38:24,-484.0
2022-09-14 12:38:45,-460.0
2022-09-14 12:39:06,-477.0
2022-09-14 12:39:27,-497.0
2022-09-14 12:39:55,-449.0
2022-09-14 12:40:16,-449.0
2022-09-14 12:40:37,-471.0
2022-09-14 12:40:59,-993.0
2022-09-14 12:41:21,-195.0
2022-09-14 12:41:43,-948.0
2022-09-14 12:42:04,-917.0
2022-09-14 12:42:26,-1066.0
2022-09-14 12:42:47,-962.0
2022-09-14 12:43:08,-1008.0
2022-09-14 12:43:30,-180.0
2022-09-14 12:43:51,-277.0
2022-09-14 12:44:13,-228.0
2022-09-14 12:44:34,-1009.0
2022-09-14 12:44:55,-445.0
2022-09-14 12:45:16,-281.0
2022-09-14 12:45:37,-465.0
2022-09-14 12:45:59,-492.0
2022-09-14 12:46:20,-486.0
2022-09-14 12:46:41,-509.0
2022-09-14 12:47:02,-454.0
2022-09-14 12:47:23,-452.0
2022-09-14 12:47:44,-419.0
2022-09-14 12:48:05,-526.0
2022-09-14 12:48:33,-484.0
2022-09-14 12:48:54,-491.0
2022-09-14 12:49:16,-490.0
2022-09-14 12:49:36,-442.0
2022-09-14 12:49:58,-440.0
2022-09-14 12:50:20,-986.0
2022-09-14 12:50:42,-909.0
2022-09-14 12:51:04,-119.0
2022-09-14 12:51:19,-654.0
2022-09-14 12:51:41,-679.0
2022-09-14 12:52:03,-867.0
2022-09-14 12:52:25,-656.0
2022-09-14 12:52:48,-611.0
2022-09-14 12:53:10,-986.0
2022-09-14 12:53:31,-985.0
2022-09-14 12:53:53,-965.0
2022-09-14 12:54:15,-476.0
2022-09-14 12:54:37,-918.0
2022-09-14 12:55:00,-444.0
2022-09-14 12:55:23,-302.0
2022-09-14 12:55:45,-398.0
2022-09-14 12:56:00,-456.0
2022-09-14 12:56:22,-452.0
2022-09-14 12:56:44,-1017.0
2022-09-14 12:57:06,-1003.0
2022-09-14 12:57:29,-369.0
2022-09-14 12:57:50,-329.0
2022-09-14 12:58:13,-335.0
2022-09-14 12:58:35,-384.0
2022-09-14 12:58:56,-302.0
2022-09-14 12:59:18,-958.0
2022-09-14 12:59:41,-566.0
2022-09-14 12:59:56,-511.0
2022-09-14 13:00:18,-653.0
2022-09-14 13:00:40,-580.0
2022-09-14 13:01:02,-929.0
2022-09-14 13:01:24,-488.0
2022-09-14 13:01:47,-482.0
