datetime,value
2022-09-21 12:47:49,-610.0
2022-09-21 12:48:05,-625.0
2022-09-21 12:48:36,-476.0
2022-09-21 12:48:57,-519.0
2022-09-21 12:49:18,-370.0
2022-09-21 12:49:39,121.0
2022-09-21 12:50:00,-387.0
2022-09-21 12:50:31,143.0
2022-09-21 12:50:52,-251.0
2022-09-21 12:51:14,431.0
2022-09-21 12:51:36,321.0
2022-09-21 12:51:57,339.0
2022-09-21 12:52:20,-787.0
2022-09-21 12:52:40,-689.0
2022-09-21 12:53:03,-799.0
2022-09-21 12:53:23,-779.0
2022-09-21 12:53:56,-522.0
2022-09-21 12:54:16,-658.0
2022-09-21 12:54:37,-740.0
2022-09-21 12:54:58,201.0
2022-09-21 12:55:18,289.0
2022-09-21 12:55:48,353.0
2022-09-21 12:56:10,168.0
2022-09-21 12:56:32,94.0
2022-09-21 12:56:53,-617.0
2022-09-21 12:57:13,96.0
2022-09-21 12:57:37,-269.0
2022-09-21 12:58:02,123.0
2022-09-21 12:58:24,386.0
2022-09-21 12:58:47,105.0
2022-09-21 12:59:01,221.0
2022-09-21 12:59:29,380.0
2022-09-21 12:59:49,220.0
2022-09-21 13:00:21,403.0
2022-09-21 13:00:31,321.0
2022-09-21 13:00:56,-743.0
2022-09-21 13:01:28,-376.0
2022-09-21 13:01:40,29.0
2022-09-21 13:02:06,114.0
2022-09-21 13:02:28,410.0
2022-09-21 13:02:56,207.0
2022-09-21 13:03:18,430.0
2022-09-21 13:03:39,141.0
2022-09-21 13:04:00,-669.0
2022-09-21 13:04:21,-697.0
2022-09-21 13:04:45,-565.0
2022-09-21 13:05:17,368.0
2022-09-21 13:05:38,-52.0
2022-09-21 13:05:57,425.0
2022-09-21 13:06:17,310.0
2022-09-21 13:06:48,-226.0
2022-09-21 13:07:08,-142.0
2022-09-21 13:07:28,21.0
2022-09-21 13:07:49,-515.0
2022-09-21 13:08:10,-188.0
2022-09-21 13:08:39,311.0
2022-09-21 13:08:58,-236.0
2022-09-21 13:09:18,-411.0
2022-09-21 13:09:48,-641.0
2022-09-21 13:10:08,124.0
2022-09-21 13:10:27,-453.0
2022-09-21 13:10:57,145.0
2022-09-21 13:11:17,-58.0
2022-09-21 13:11:37,-289.0
2022-09-21 13:11:58,-546.0
2022-09-21 13:12:28,397.0
2022-09-21 13:12:49,322.0
2022-09-21 13:13:09,364.0
2022-09-21 13:13:28,308.0
2022-09-21 13:13:57,-86.0
2022-09-21 13:14:18,-234.0
2022-09-21 13:14:38,-591.0
2022-09-21 13:14:58,-581.0
2022-09-21 13:15:28,-381.0
2022-09-21 13:15:48,-574.0
2022-09-21 13:16:07,-761.0
2022-09-21 13:16:28,-578.0
2022-09-21 13:16:59,-726.0
2022-09-21 13:17:19,-91.0
2022-09-21 13:17:40,-194.0
2022-09-21 13:18:01,-772.0
2022-09-21 13:18:32,-678.0
2022-09-21 13:18:51,402.0
2022-09-21 13:19:11,-982.0
2022-09-21 13:19:32,-155.0
2022-09-21 13:20:02,-776.0
2022-09-21 13:20:22,95.0
2022-09-21 13:20:43,144.0
2022-09-21 13:21:04,213.0
2022-09-21 13:21:25,192.0
2022-09-21 13:21:56,-180.0
2022-09-21 13:22:15,-658.0
2022-09-21 13:22:36,28.0
2022-09-21 13:22:58,84.0
2022-09-21 13:23:28,184.0
2022-09-21 13:23:50,-471.0
2022-09-21 13:24:10,280.0
2022-09-21 13:24:31,-9.0
2022-09-21 13:24:52,-553.0
2022-09-21 13:25:22,-460.0
2022-09-21 13:25:43,56.0
2022-09-21 13:26:03,219.0
2022-09-21 13:26:24,311.0
2022-09-21 13:26:45,193.0
2022-09-21 13:27:16,-61.0
2022-09-21 13:27:37,-118.0
2022-09-21 13:27:58,-86.0
2022-09-21 13:28:18,-89.0
2022-09-21 13:28:39,-118.0
2022-09-21 13:29:10,-303.0
2022-09-21 13:29:30,-649.0
2022-09-21 13:29:51,421.0
2022-09-21 13:30:11,215.0
2022-09-21 13:30:32,-490.0
2022-09-21 13:31:03,29.0
2022-09-21 13:31:23,-105.0
2022-09-21 13:31:44,-656.0
2022-09-21 13:32:04,41.0
2022-09-21 13:32:35,44.0
2022-09-21 13:32:55,-163.0
2022-09-21 13:33:16,-331.0
2022-09-21 13:33:35,158.0
2022-09-21 13:34:06,146.0
2022-09-21 13:34:26,133.0
2022-09-21 13:34:48,125.0
2022-09-21 13:35:09,139.0
2022-09-21 13:35:31,115.0
2022-09-21 13:35:53,108.0
2022-09-21 13:36:24,232.0
2022-09-21 13:36:45,204.0
2022-09-21 13:37:05,171.0
2022-09-21 13:37:24,173.0
2022-09-21 13:37:55,153.0
2022-09-21 13:38:16,-533.0
2022-09-21 13:38:36,-50.0
2022-09-21 13:38:56,-30.0
2022-09-21 13:39:25,89.0
2022-09-21 13:39:48,244.0
2022-09-21 13:40:10,25.0
2022-09-21 13:40:30,139.0
2022-09-21 13:40:58,181.0
2022-09-21 13:41:18,-18.0
2022-09-21 13:41:37,-62.0
2022-09-21 13:41:58,-53.0
2022-09-21 13:42:28,25.0
2022-09-21 13:42:47,-51.0
2022-09-21 13:43:15,-27.0
2022-09-21 13:43:35,-37.0
2022-09-21 13:43:55,-53.0
2022-09-21 13:44:23,-71.0
2022-09-21 13:44:41,175.0
2022-09-21 13:45:09,-57.0
2022-09-21 13:45:29,2.0
2022-09-21 13:45:47,20.0
2022-09-21 13:46:18,-78.0
2022-09-21 13:46:37,-507.0
2022-09-21 13:46:56,-41.0
2022-09-21 13:47:23,-47.0
2022-09-21 13:47:45,-4.0
2022-09-21 13:48:07,-53.0
2022-09-21 13:48:32,74.0
2022-09-21 13:48:55,71.0
2022-09-21 13:49:23,76.0
2022-09-21 13:49:42,67.0
2022-09-21 13:50:01,38.0
2022-09-21 13:50:30,123.0
2022-09-21 13:50:49,40.0
2022-09-21 13:51:17,47.0
2022-09-21 13:51:36,36.0
2022-09-21 13:51:55,49.0
2022-09-21 13:52:23,43.0
2022-09-21 13:52:43,47.0
2022-09-21 13:53:11,-79.0
2022-09-21 13:53:29,-77.0
2022-09-21 13:53:49,-70.0
2022-09-21 13:54:16,-61.0
2022-09-21 13:54:35,-99.0
2022-09-21 13:55:03,-24.0
2022-09-21 13:55:22,-367.0
2022-09-21 13:55:41,-511.0
2022-09-21 13:56:11,-106.0
2022-09-21 13:56:31,168.0
2022-09-21 13:56:50,80.0
2022-09-21 13:57:18,32.0
2022-09-21 13:57:37,81.0
2022-09-21 13:58:05,26.0
2022-09-21 13:58:24,57.0
2022-09-21 13:58:44,72.0
2022-09-21 13:59:06,511.0
2022-09-21 13:59:36,443.0
2022-09-21 13:59:46,478.0
2022-09-21 14:16:27,66.0
2022-09-21 14:16:50,-211.0
2022-09-21 14:17:01,-131.0
2022-09-21 14:54:51,416.0
2022-09-21 14:55:12,-753.0
2022-09-21 14:55:33,-262.0
2022-09-21 14:55:53,-779.0
2022-09-21 14:56:25,-713.0
2022-09-21 14:56:47,42.0
2022-09-21 14:57:07,-494.0
2022-09-21 14:57:28,203.0
2022-09-21 14:57:59,186.0
2022-09-21 14:58:19,-526.0
2022-09-21 14:58:38,-49.0
2022-09-21 14:59:08,-704.0
2022-09-21 14:59:28,-93.0
2022-09-21 14:59:49,-39.0
2022-09-21 15:00:11,-713.0
2022-09-21 15:00:32,-426.0
2022-09-21 15:01:03,-563.0
2022-09-21 15:01:23,-691.0
2022-09-21 15:01:43,-597.0
2022-09-21 15:02:14,-519.0
2022-09-21 15:02:34,-664.0
2022-09-21 15:07:54,436.0
2022-09-21 15:08:06,451.0
2022-09-21 15:08:40,17.0
2022-09-21 15:09:03,198.0
2022-09-21 15:09:27,271.0
2022-09-21 15:09:48,234.0
2022-09-21 15:10:09,-246.0
2022-09-21 15:10:39,-363.0
2022-09-21 15:10:59,25.0
2022-09-21 15:11:20,-594.0
2022-09-21 15:11:52,32.0
2022-09-21 15:12:12,-428.0
2022-09-21 15:12:38,-224.0
2022-09-21 15:13:01,-70.0
2022-09-21 15:13:22,-416.0
