datetime,value
2022-09-21 12:47:46,84.0
2022-09-21 12:48:12,80.0
2022-09-21 12:48:32,77.0
2022-09-21 12:48:53,82.0
2022-09-21 12:49:14,89.0
2022-09-21 12:49:35,95.0
2022-09-21 12:50:06,101.0
2022-09-21 12:50:27,104.0
2022-09-21 12:50:48,108.0
2022-09-21 12:51:10,106.0
2022-09-21 12:51:32,110.0
2022-09-21 12:51:53,106.0
2022-09-21 12:52:15,109.0
2022-09-21 12:52:36,106.0
2022-09-21 12:53:09,100.0
2022-09-21 12:53:30,98.0
2022-09-21 12:53:51,99.0
2022-09-21 12:54:12,96.0
2022-09-21 12:54:33,101.0
2022-09-21 12:54:54,105.0
2022-09-21 12:55:25,110.0
2022-09-21 12:55:44,111.0
2022-09-21 12:56:06,107.0
2022-09-21 12:56:28,107.0
2022-09-21 12:56:49,107.0
2022-09-21 12:57:09,100.0
2022-09-21 12:57:31,94.0
2022-09-21 12:57:56,92.0
2022-09-21 12:58:20,90.0
2022-09-21 12:58:42,88.0
2022-09-21 12:58:57,93.0
2022-09-21 12:59:35,99.0
2022-09-21 12:59:55,96.0
2022-09-21 13:00:16,98.0
2022-09-21 13:00:39,98.0
2022-09-21 13:01:03,97.0
2022-09-21 13:01:24,98.0
2022-09-21 13:01:48,105.0
2022-09-21 13:02:00,106.0
2022-09-21 13:02:22,103.0
2022-09-21 13:02:52,98.0
2022-09-21 13:03:14,102.0
2022-09-21 13:03:35,103.0
2022-09-21 13:04:06,100.0
2022-09-21 13:04:28,102.0
2022-09-21 13:04:52,109.0
2022-09-21 13:05:13,112.0
2022-09-21 13:05:34,111.0
2022-09-21 13:05:54,103.0
2022-09-21 13:06:24,102.0
2022-09-21 13:06:44,103.0
2022-09-21 13:07:04,110.0
2022-09-21 13:07:24,112.0
2022-09-21 13:07:45,107.0
2022-09-21 13:08:16,103.0
2022-09-21 13:08:35,99.0
2022-09-21 13:08:54,95.0
2022-09-21 13:09:24,102.0
2022-09-21 13:09:44,100.0
2022-09-21 13:10:04,95.0
2022-09-21 13:10:23,92.0
2022-09-21 13:10:53,100.0
2022-09-21 13:11:13,98.0
2022-09-21 13:11:33,100.0
2022-09-21 13:12:04,99.0
2022-09-21 13:12:24,100.0
2022-09-21 13:12:45,100.0
2022-09-21 13:13:05,97.0
2022-09-21 13:13:34,94.0
2022-09-21 13:13:53,93.0
2022-09-21 13:14:14,93.0
2022-09-21 13:14:34,96.0
2022-09-21 13:15:04,99.0
2022-09-21 13:15:24,97.0
2022-09-21 13:15:44,97.0
2022-09-21 13:16:13,104.0
2022-09-21 13:16:35,109.0
2022-09-21 13:16:55,106.0
2022-09-21 13:17:16,111.0
2022-09-21 13:17:36,109.0
2022-09-21 13:18:07,103.0
2022-09-21 13:18:28,105.0
2022-09-21 13:18:47,104.0
2022-09-21 13:19:17,104.0
2022-09-21 13:19:38,105.0
2022-09-21 13:19:57,110.0
2022-09-21 13:20:18,109.0
2022-09-21 13:20:39,107.0
2022-09-21 13:21:10,111.0
2022-09-21 13:21:31,110.0
2022-09-21 13:21:52,113.0
2022-09-21 13:22:12,110.0
2022-09-21 13:22:32,104.0
2022-09-21 13:23:04,101.0
2022-09-21 13:23:25,107.0
2022-09-21 13:23:46,105.0
2022-09-21 13:24:06,96.0
2022-09-21 13:24:27,107.0
2022-09-21 13:24:58,94.0
2022-09-21 13:25:19,100.0
2022-09-21 13:25:39,94.0
2022-09-21 13:25:59,91.0
2022-09-21 13:26:20,90.0
2022-09-21 13:26:51,89.0
2022-09-21 13:27:12,91.0
2022-09-21 13:27:32,89.0
2022-09-21 13:27:54,85.0
2022-09-21 13:28:25,89.0
2022-09-21 13:28:45,86.0
2022-09-21 13:29:05,91.0
2022-09-21 13:29:26,86.0
2022-09-21 13:29:47,92.0
2022-09-21 13:30:18,93.0
2022-09-21 13:30:39,91.0
2022-09-21 13:30:59,87.0
2022-09-21 13:31:19,86.0
2022-09-21 13:31:50,88.0
2022-09-21 13:32:10,88.0
2022-09-21 13:32:31,86.0
2022-09-21 13:32:51,92.0
2022-09-21 13:33:11,89.0
2022-09-21 13:33:42,86.0
2022-09-21 13:34:02,86.0
2022-09-21 13:34:22,89.0
2022-09-21 13:34:44,83.0
2022-09-21 13:35:15,84.0
2022-09-21 13:35:38,88.0
2022-09-21 13:35:59,83.0
2022-09-21 13:36:20,84.0
2022-09-21 13:36:41,79.0
2022-09-21 13:37:01,82.0
2022-09-21 13:37:31,87.0
2022-09-21 13:37:51,86.0
2022-09-21 13:38:12,82.0
2022-09-21 13:38:32,82.0
2022-09-21 13:39:02,88.0
2022-09-21 13:39:21,83.0
2022-09-21 13:39:43,81.0
2022-09-21 13:40:06,85.0
2022-09-21 13:40:26,83.0
2022-09-21 13:40:54,81.0
2022-09-21 13:41:14,83.0
2022-09-21 13:41:34,84.0
2022-09-21 13:42:04,78.0
2022-09-21 13:42:24,79.0
2022-09-21 13:42:43,80.0
2022-09-21 13:43:11,81.0
2022-09-21 13:43:31,81.0
2022-09-21 13:43:51,83.0
2022-09-21 13:44:19,85.0
2022-09-21 13:44:37,84.0
2022-09-21 13:45:06,86.0
2022-09-21 13:45:25,85.0
2022-09-21 13:45:54,84.0
2022-09-21 13:46:14,85.0
2022-09-21 13:46:32,83.0
