datetime,value
2022-10-05 08:17:32,79
2022-10-05 08:17:34,79
2022-10-05 08:17:36,79
2022-10-05 08:17:38,79
2022-10-05 08:17:41,79
2022-10-05 08:17:43,82
2022-10-05 08:17:45,83
2022-10-05 08:17:48,84
2022-10-05 08:17:50,84
2022-10-05 08:17:51,84
2022-10-05 08:17:55,85
2022-10-05 08:17:58,84
2022-10-05 08:17:59,81
2022-10-05 08:18:01,79
2022-10-05 08:18:03,79
2022-10-05 08:18:07,79
2022-10-05 08:18:09,80
2022-10-05 08:18:10,78
2022-10-05 08:18:14,78
2022-10-05 08:18:15,79
2022-10-05 08:18:16,77
2022-10-05 08:18:19,77
2022-10-05 08:18:21,78
2022-10-05 08:18:26,78
2022-10-05 08:18:28,79
2022-10-05 08:18:31,78
2022-10-05 08:18:34,79
2022-10-05 08:18:35,79
2022-10-05 08:18:38,80
2022-10-05 08:18:41,78
2022-10-05 08:18:42,83
2022-10-05 08:18:46,83
2022-10-05 08:18:47,84
2022-10-05 08:18:51,84
2022-10-05 08:18:52,84
2022-10-05 08:18:56,83
2022-10-05 08:18:57,82
2022-10-05 08:19:00,83
2022-10-05 08:19:02,85
2022-10-05 08:19:05,85
2022-10-05 08:19:06,87
2022-10-05 08:19:10,88
2022-10-05 08:19:13,88
2022-10-05 08:19:14,89
2022-10-05 08:19:19,91
2022-10-05 08:19:21,91
2022-10-05 08:19:24,92
2022-10-05 08:19:26,94
2022-10-05 08:19:28,93
2022-10-05 08:19:30,94
2022-10-05 08:19:33,94
2022-10-05 08:19:35,96
2022-10-05 08:19:37,97
2022-10-05 08:19:40,94
2022-10-05 08:19:41,97
2022-10-05 08:19:44,97
2022-10-05 08:19:47,97
2022-10-05 08:19:49,97
2022-10-05 08:19:51,99
2022-10-05 08:19:55,98
2022-10-05 08:19:56,99
2022-10-05 08:19:59,99
2022-10-05 08:20:02,99
2022-10-05 08:20:03,99
2022-10-05 08:20:05,100
2022-10-05 08:20:09,99
2022-10-05 08:20:10,98
2022-10-05 08:20:13,101
