datetime,value
2022-10-05 10:14:55,99
2022-10-05 10:14:56,98
2022-10-05 10:14:59,99
2022-10-05 10:15:02,99
2022-10-05 10:15:04,99
2022-10-05 10:15:06,98
2022-10-05 10:15:08,97
2022-10-05 10:15:10,97
2022-10-05 10:15:12,97
2022-10-05 10:15:14,95
2022-10-05 10:15:17,96
2022-10-05 10:15:20,96
2022-10-05 10:15:21,98
2022-10-05 10:15:23,96
2022-10-05 10:15:24,96
2022-10-05 10:15:27,95
2022-10-05 10:15:29,96
2022-10-05 10:15:33,94
2022-10-05 10:15:34,96
2022-10-05 10:15:36,95
2022-10-05 10:15:38,97
2022-10-05 10:15:40,95
2022-10-05 10:15:42,95
2022-10-05 10:15:45,97
2022-10-05 10:15:46,95
2022-10-05 10:15:48,94
2022-10-05 10:15:51,92
2022-10-05 10:15:52,94
2022-10-05 10:15:55,95
2022-10-05 10:15:57,93
2022-10-05 10:15:58,95
2022-10-05 10:16:00,96
2022-10-05 10:16:04,94
2022-10-05 10:16:05,94
2022-10-05 10:16:07,95
2022-10-05 10:16:09,96
2022-10-05 10:16:11,99
2022-10-05 10:16:14,98
2022-10-05 10:16:15,98
2022-10-05 10:16:18,99
2022-10-05 10:16:20,101
2022-10-05 10:16:21,102
2022-10-05 10:16:23,104
2022-10-05 10:16:25,104
2022-10-05 10:16:27,106
2022-10-05 10:16:30,105
2022-10-05 10:16:32,105
2022-10-05 10:16:35,107
2022-10-05 10:16:36,106
2022-10-05 10:16:38,105
2022-10-05 10:16:40,106
2022-10-05 10:16:43,107
2022-10-05 10:16:45,105
2022-10-05 10:16:47,105
2022-10-05 10:16:49,107
2022-10-05 10:16:51,104
2022-10-05 10:16:53,102
2022-10-05 10:16:56,103
2022-10-05 10:16:58,103
2022-10-05 10:17:00,103
2022-10-05 10:17:02,103
2022-10-05 10:17:04,104
2022-10-05 10:17:06,102
2022-10-05 10:17:08,101
2022-10-05 10:17:12,102
2022-10-05 10:17:14,101
2022-10-05 10:17:15,103
2022-10-05 10:17:17,99
2022-10-05 10:17:20,100
2022-10-05 10:17:21,98
2022-10-05 10:17:24,100
2022-10-05 10:17:26,101
2022-10-05 10:17:29,92
2022-10-05 10:17:30,88
2022-10-05 10:17:33,85
2022-10-05 10:17:34,84
2022-10-05 10:17:37,83
2022-10-05 10:17:38,82
2022-10-05 10:17:40,82
2022-10-05 10:17:42,81
2022-10-05 10:17:43,79
2022-10-05 10:17:46,78
2022-10-05 10:17:47,79
2022-10-05 10:17:49,79
2022-10-05 10:17:52,78
2022-10-05 10:17:54,78
2022-10-05 10:17:56,78
2022-10-05 10:17:57,81
2022-10-05 10:18:00,80
2022-10-05 10:18:02,80
2022-10-05 10:18:04,77
2022-10-05 10:18:06,78
2022-10-05 10:18:07,80
2022-10-05 10:18:09,78
2022-10-05 10:18:11,78
2022-10-05 10:18:13,78
2022-10-05 10:18:15,79
2022-10-05 10:18:18,79
2022-10-05 10:18:20,79
2022-10-05 10:18:23,78
2022-10-05 10:18:25,78
2022-10-05 10:18:26,78
2022-10-05 10:18:29,78
2022-10-05 10:18:31,80
2022-10-05 10:18:32,80
2022-10-05 10:18:35,80
2022-10-05 10:18:37,81
2022-10-05 10:18:39,81
2022-10-05 10:18:41,82
2022-10-05 10:18:43,84
2022-10-05 10:18:45,84
2022-10-05 10:18:48,83
2022-10-05 10:18:50,82
2022-10-05 10:18:52,80
2022-10-05 10:18:54,79
2022-10-05 10:18:56,80
2022-10-05 10:18:59,82
2022-10-05 10:19:02,83
2022-10-05 10:19:03,82
2022-10-05 10:19:05,80
2022-10-05 10:19:07,81
2022-10-05 10:19:09,83
2022-10-05 10:19:11,83
2022-10-05 10:19:12,83
2022-10-05 10:19:14,81
2022-10-05 10:19:17,80
2022-10-05 10:19:19,86
2022-10-05 10:19:21,85
2022-10-05 10:19:24,84
2022-10-05 10:19:26,85
2022-10-05 10:19:28,81
2022-10-05 10:19:30,82
2022-10-05 10:19:33,81
2022-10-05 10:19:34,81
2022-10-05 10:19:36,82
2022-10-05 10:19:39,82
2022-10-05 10:19:41,82
2022-10-05 10:19:44,83
2022-10-05 10:19:46,84
2022-10-05 10:19:47,87
2022-10-05 10:19:49,86
2022-10-05 10:19:51,84
2022-10-05 10:19:53,85
2022-10-05 10:19:56,84
2022-10-05 10:19:59,84
2022-10-05 10:20:00,83
2022-10-05 10:20:03,80
2022-10-05 10:20:04,80
2022-10-05 10:20:06,82
2022-10-05 10:20:08,81
2022-10-05 10:20:11,82
2022-10-05 10:20:13,85
2022-10-05 10:20:15,83
2022-10-05 10:20:16,82
2022-10-05 10:20:19,82
2022-10-05 10:20:21,83
2022-10-05 10:20:22,82
2022-10-05 10:20:24,81
2022-10-05 10:20:27,79
2022-10-05 10:20:28,81
2022-10-05 10:20:31,81
2022-10-05 10:20:33,82
2022-10-05 10:20:35,83
2022-10-05 10:20:38,81
2022-10-05 10:20:39,81
2022-10-05 10:20:41,82
2022-10-05 10:20:43,81
2022-10-05 10:20:46,82
2022-10-05 10:20:48,81
2022-10-05 10:20:49,81
2022-10-05 10:20:52,81
2022-10-05 10:20:53,81
2022-10-05 10:20:56,82
2022-10-05 10:20:57,80
2022-10-05 10:20:59,79
2022-10-05 10:21:01,78
2022-10-05 10:21:04,80
2022-10-05 10:21:06,81
2022-10-05 10:21:08,77
2022-10-05 10:21:10,80
2022-10-05 10:21:11,82
2022-10-05 10:21:15,82
2022-10-05 10:21:17,81
2022-10-05 10:21:19,80
2022-10-05 10:21:21,80
2022-10-05 10:21:22,78
2022-10-05 10:21:25,79
2022-10-05 10:21:27,79
2022-10-05 10:21:28,78
2022-10-05 10:21:31,78
2022-10-05 10:21:33,76
2022-10-05 10:21:35,79
2022-10-05 10:21:37,77
2022-10-05 10:21:39,79
2022-10-05 10:21:41,79
2022-10-05 10:21:43,80
2022-10-05 10:21:46,78
2022-10-05 10:21:47,75
2022-10-05 10:21:49,74
2022-10-05 10:21:51,78
2022-10-05 10:21:55,74
2022-10-05 10:21:57,76
2022-10-05 10:22:00,77
2022-10-05 10:22:02,79
2022-10-05 10:22:04,79
2022-10-05 10:22:06,77
2022-10-05 10:22:08,78
2022-10-05 10:22:10,78
2022-10-05 10:22:12,77
2022-10-05 10:22:14,79
2022-10-05 10:22:16,78
2022-10-05 10:22:18,76
2022-10-05 10:22:20,76
2022-10-05 10:22:22,76
2022-10-05 10:22:24,79
2022-10-05 10:22:27,76
2022-10-05 10:22:29,77
2022-10-05 10:22:31,77
2022-10-05 10:22:33,77
2022-10-05 10:22:35,76
2022-10-05 10:22:37,76
2022-10-05 10:22:39,78
2022-10-05 10:22:41,81
2022-10-05 10:22:43,79
2022-10-05 10:22:44,79
2022-10-05 10:22:47,78
2022-10-05 10:22:49,77
2022-10-05 10:22:51,78
2022-10-05 10:22:54,75
2022-10-05 10:22:55,77
2022-10-05 10:22:58,75
2022-10-05 10:23:01,75
2022-10-05 10:23:03,76
2022-10-05 10:23:05,76
2022-10-05 10:23:08,76
2022-10-05 10:23:10,80
2022-10-05 10:23:12,77
2022-10-05 10:23:15,76
2022-10-05 10:23:17,76
2022-10-05 10:23:19,76
2022-10-05 10:23:21,74
2022-10-05 10:23:24,76
2022-10-05 10:23:25,76
2022-10-05 10:23:27,76
2022-10-05 10:23:29,79
2022-10-05 10:23:31,77
2022-10-05 10:23:34,76
2022-10-05 10:23:37,77
2022-10-05 10:23:39,77
2022-10-05 10:23:41,76
2022-10-05 10:23:43,76
2022-10-05 10:23:45,73
2022-10-05 10:23:48,76
2022-10-05 10:23:49,73
2022-10-05 10:23:52,70
2022-10-05 10:23:55,70
2022-10-05 10:23:57,72
2022-10-05 10:24:00,73
2022-10-05 10:24:02,77
2022-10-05 10:24:04,74
2022-10-05 10:24:07,76
2022-10-05 10:24:09,74
2022-10-05 10:24:31,80
2022-10-05 10:24:34,84
2022-10-05 10:24:36,82
2022-10-05 10:24:38,83
2022-10-05 10:24:40,85
2022-10-05 10:24:42,84
2022-10-05 10:24:44,87
2022-10-05 10:24:46,89
2022-10-05 10:24:47,86
2022-10-05 10:24:50,90
2022-10-05 10:24:52,91
2022-10-05 10:24:55,93
2022-10-05 10:24:57,93
2022-10-05 10:24:59,95
2022-10-05 10:25:00,95
2022-10-05 10:25:02,93
2022-10-05 10:25:05,96
2022-10-05 10:25:07,95
2022-10-05 10:25:09,95
2022-10-05 10:25:12,96
2022-10-05 10:25:15,97
2022-10-05 10:25:16,100
2022-10-05 10:25:18,98
2022-10-05 10:25:20,98
2022-10-05 10:25:23,99
2022-10-05 10:25:25,97
2022-10-05 10:25:26,98
2022-10-05 10:25:29,97
2022-10-05 10:25:31,97
2022-10-05 10:25:33,96
2022-10-05 10:25:36,98
2022-10-05 10:25:40,100
2022-10-05 10:25:41,100
2022-10-05 10:25:43,99
