datetime,value
2022/9/21 12:47,-197
2022/9/21 12:48,661
2022/9/21 12:48,-512
2022/9/21 12:48,-490
2022/9/21 12:49,-1011
2022/9/21 12:49,450
2022/9/21 12:50,124
2022/9/21 12:50,-174
2022/9/21 12:50,-351
2022/9/21 12:51,-628
2022/9/21 12:51,-132
2022/9/21 12:51,124
2022/9/21 12:52,942
2022/9/21 12:52,-1015
2022/9/21 12:53,936
2022/9/21 12:53,112
2022/9/21 12:53,49
2022/9/21 12:54,1718
2022/9/21 12:54,995
2022/9/21 12:55,680
2022/9/21 12:55,-162
2022/9/21 12:55,-1093
2022/9/21 12:56,965
2022/9/21 12:56,961
2022/9/21 12:56,977
2022/9/21 12:57,981
2022/9/21 12:57,920
2022/9/21 12:57,507
2022/9/21 12:58,1268
2022/9/21 12:58,818
2022/9/21 12:59,674
2022/9/21 12:59,969
2022/9/21 12:59,918
2022/9/21 13:00,967
2022/9/21 13:00,971
2022/9/21 13:01,979
2022/9/21 13:01,-995
2022/9/21 13:01,720
2022/9/21 13:01,694
2022/9/21 13:02,-1056
2022/9/21 13:02,-867
2022/9/21 13:03,-209
2022/9/21 13:03,-69
2022/9/21 13:04,1054
2022/9/21 13:04,-852
2022/9/21 13:04,537
2022/9/21 13:05,608
2022/9/21 13:05,975
2022/9/21 13:06,777
2022/9/21 13:06,-390
2022/9/21 13:06,865
2022/9/21 13:07,1987
2022/9/21 13:07,2019
2022/9/21 13:07,-56
2022/9/21 13:08,246
2022/9/21 13:08,-303
2022/9/21 13:09,928
2022/9/21 13:09,-421
2022/9/21 13:09,-850
2022/9/21 13:10,-447
2022/9/21 13:10,-812
2022/9/21 13:10,-274
2022/9/21 13:11,-938
2022/9/21 13:11,122
2022/9/21 13:12,-905
2022/9/21 13:12,-476
2022/9/21 13:12,-117
2022/9/21 13:13,-284
2022/9/21 13:13,-111
2022/9/21 13:13,-166
2022/9/21 13:14,-734
2022/9/21 13:14,851
2022/9/21 13:15,952
2022/9/21 13:15,523
2022/9/21 13:15,-977
2022/9/21 13:16,621
2022/9/21 13:16,1628
2022/9/21 13:16,-311
2022/9/21 13:17,948
2022/9/21 13:17,1121
2022/9/21 13:18,952
2022/9/21 13:18,977
2022/9/21 13:18,948
2022/9/21 13:19,409
2022/9/21 13:19,1156
2022/9/21 13:19,767
2022/9/21 13:20,-280
2022/9/21 13:20,963
2022/9/21 13:21,1233
2022/9/21 13:21,790
2022/9/21 13:21,1201
2022/9/21 13:22,940
2022/9/21 13:22,362
2022/9/21 13:23,1494
2022/9/21 13:23,946
2022/9/21 13:23,187
2022/9/21 13:24,152
2022/9/21 13:24,-637
2022/9/21 13:24,-7
2022/9/21 13:25,-18
2022/9/21 13:25,-132
2022/9/21 13:26,-659
2022/9/21 13:26,327
2022/9/21 13:26,-1005
2022/9/21 13:27,-79
2022/9/21 13:27,551
2022/9/21 13:27,556
2022/9/21 13:28,496
2022/9/21 13:28,-952
2022/9/21 13:29,515
2022/9/21 13:29,533
2022/9/21 13:29,-109
2022/9/21 13:30,329
2022/9/21 13:30,954
2022/9/21 13:30,560
2022/9/21 13:31,702
2022/9/21 13:31,617
2022/9/21 13:32,942
2022/9/21 13:32,566
2022/9/21 13:32,596
2022/9/21 13:33,576
2022/9/21 13:33,450
2022/9/21 13:34,-335
2022/9/21 13:34,-455
2022/9/21 13:34,-305
2022/9/21 13:35,-402
2022/9/21 13:35,-272
2022/9/21 13:35,-303
2022/9/21 13:36,-455
2022/9/21 13:36,-569
2022/9/21 13:37,-404
2022/9/21 13:37,-720
2022/9/21 13:37,-744
2022/9/21 13:38,897
2022/9/21 13:38,-771
2022/9/21 13:39,-765
2022/9/21 13:39,-775
2022/9/21 13:39,-408
2022/9/21 13:40,-791
2022/9/21 13:40,-812
2022/9/21 13:40,-805
2022/9/21 13:41,-922
2022/9/21 13:41,-889
2022/9/21 13:42,-922
2022/9/21 13:42,-909
2022/9/21 13:42,-893
2022/9/21 13:43,-897
2022/9/21 13:43,-840
2022/9/21 13:43,-924
2022/9/21 13:44,-920
2022/9/21 13:44,-873
2022/9/21 13:45,-909
2022/9/21 13:45,-879
2022/9/21 13:45,-740
2022/9/21 13:46,-877
2022/9/21 13:46,-913
2022/9/21 13:47,-805
2022/9/21 13:47,-828
2022/9/21 13:47,-828
2022/9/21 13:48,-734
2022/9/21 13:48,-775
2022/9/21 13:48,-773
2022/9/21 13:49,-783
2022/9/21 13:49,-753
2022/9/21 13:50,-753
2022/9/21 13:50,-759
2022/9/21 13:50,-744
2022/9/21 13:51,-742
2022/9/21 13:51,-730
2022/9/21 13:51,-706
2022/9/21 13:52,-702
2022/9/21 13:52,-669
2022/9/21 13:53,-679
2022/9/21 13:53,-677
2022/9/21 13:53,-679
2022/9/21 13:54,-671
2022/9/21 13:54,-669
2022/9/21 13:54,-681
2022/9/21 13:55,-742
2022/9/21 13:55,-716
2022/9/21 13:56,-726
2022/9/21 13:56,-850
2022/9/21 13:56,-844
2022/9/21 13:57,-850
2022/9/21 13:57,-844
2022/9/21 13:58,-822
2022/9/21 13:58,-814
2022/9/21 13:58,-820
2022/9/21 13:59,-46
2022/9/21 13:59,-164
2022/9/21 13:59,-156
2022/9/21 14:16,521
2022/9/21 14:16,1083
2022/9/21 14:17,61
2022/9/21 14:54,0
2022/9/21 14:55,961
2022/9/21 14:55,761
2022/9/21 14:55,378
2022/9/21 14:56,515
2022/9/21 14:56,653
2022/9/21 14:57,376
2022/9/21 14:57,-404
2022/9/21 14:57,-618
2022/9/21 14:58,-246
2022/9/21 14:58,-885
2022/9/21 14:59,-848
2022/9/21 14:59,-791
2022/9/21 14:59,690
2022/9/21 15:00,-11
2022/9/21 15:00,-382
2022/9/21 15:00,-48
2022/9/21 15:01,73
2022/9/21 15:01,-64
2022/9/21 15:02,73
2022/9/21 15:02,-46
2022/9/21 15:07,224
2022/9/21 15:08,484
2022/9/21 15:08,790
2022/9/21 15:08,32
2022/9/21 15:09,-368
2022/9/21 15:09,-172
2022/9/21 15:10,140
2022/9/21 15:10,948
2022/9/21 15:10,-1017
2022/9/21 15:11,65
2022/9/21 15:11,386
2022/9/21 15:12,462
2022/9/21 15:12,-278
2022/9/21 15:12,-99
2022/9/21 15:13,165
2022/9/21 15:13,-594
2022/9/21 15:14,-626
2022/9/21 15:14,-740
2022/9/21 15:14,189
2022/9/21 15:15,-681
2022/9/21 15:15,-592
2022/9/21 15:16,-555
2022/9/21 15:16,-490
2022/9/21 15:16,-89
2022/9/21 15:17,-180
2022/9/21 15:17,-622
2022/9/21 15:18,-584
2022/9/21 15:18,-681
2022/9/21 15:18,83
2022/9/21 15:19,-863
2022/9/21 15:19,-777
2022/9/21 15:19,-502
2022/9/21 15:20,-571
2022/9/21 15:20,-698
2022/9/21 15:21,-645
2022/9/21 15:21,-639
2022/9/21 15:21,-614
2022/9/21 15:22,-567
2022/9/21 15:22,-610
2022/9/21 15:23,-590
2022/9/21 15:23,-569
2022/9/21 15:23,-567
2022/9/21 15:24,-561
2022/9/21 15:24,-673
2022/9/21 15:25,-500
