datetime,value
2022-10-05 10:14:52,-132
2022-10-05 10:14:55,-7
2022-10-05 10:14:57,-26
2022-10-05 10:14:59,-26
2022-10-05 10:15:01,-30
2022-10-05 10:15:04,-38
2022-10-05 10:15:06,-50
2022-10-05 10:15:08,-46
2022-10-05 10:15:09,-36
2022-10-05 10:15:12,-30
2022-10-05 10:15:13,-32
2022-10-05 10:15:16,-1001
2022-10-05 10:15:19,-991
2022-10-05 10:15:20,-999
2022-10-05 10:15:22,-989
2022-10-05 10:15:24,-989
2022-10-05 10:15:26,-989
2022-10-05 10:15:29,-995
2022-10-05 10:15:33,-993
2022-10-05 10:15:34,-995
2022-10-05 10:15:36,-987
2022-10-05 10:15:38,-991
2022-10-05 10:15:40,-991
2022-10-05 10:15:41,-987
2022-10-05 10:15:44,-993
2022-10-05 10:15:46,-989
2022-10-05 10:15:49,-1003
2022-10-05 10:15:50,-185
2022-10-05 10:15:51,-154
2022-10-05 10:15:54,-111
2022-10-05 10:15:57,796
2022-10-05 10:15:58,439
2022-10-05 10:16:00,-351
2022-10-05 10:16:03,-44
2022-10-05 10:16:05,-11
2022-10-05 10:16:07,-58
2022-10-05 10:16:08,-30
2022-10-05 10:16:11,-185
2022-10-05 10:16:13,-484
2022-10-05 10:16:16,-869
2022-10-05 10:16:18,-270
2022-10-05 10:16:19,-1033
2022-10-05 10:16:21,-966
2022-10-05 10:16:24,-950
2022-10-05 10:16:25,-954
2022-10-05 10:16:27,-922
2022-10-05 10:16:30,-919
2022-10-05 10:16:31,-930
2022-10-05 10:16:35,-932
2022-10-05 10:16:37,-942
2022-10-05 10:16:38,-942
2022-10-05 10:16:40,-932
2022-10-05 10:16:43,-944
2022-10-05 10:16:45,-946
2022-10-05 10:16:47,-942
2022-10-05 10:16:49,-930
2022-10-05 10:16:51,-936
2022-10-05 10:16:53,-934
2022-10-05 10:16:55,-930
2022-10-05 10:16:58,-922
2022-10-05 10:17:00,-920
2022-10-05 10:17:03,-932
2022-10-05 10:17:04,-920
2022-10-05 10:17:05,-913
2022-10-05 10:17:08,-917
2022-10-05 10:17:11,-909
2022-10-05 10:17:14,-899
2022-10-05 10:17:16,-909
2022-10-05 10:17:18,-909
2022-10-05 10:17:19,-903
2022-10-05 10:17:21,-901
2022-10-05 10:17:23,-922
2022-10-05 10:17:26,-924
2022-10-05 10:17:28,-920
2022-10-05 10:17:30,-922
2022-10-05 10:17:33,-909
2022-10-05 10:17:34,-917
2022-10-05 10:17:36,-907
2022-10-05 10:17:38,-905
2022-10-05 10:17:40,-909
2022-10-05 10:17:41,-903
2022-10-05 10:17:44,-899
2022-10-05 10:17:47,-905
2022-10-05 10:17:48,-907
2022-10-05 10:17:49,-905
2022-10-05 10:17:52,-901
2022-10-05 10:17:55,-899
2022-10-05 10:17:56,-895
2022-10-05 10:17:58,-901
2022-10-05 10:17:59,-893
2022-10-05 10:18:02,-893
2022-10-05 10:18:04,-889
2022-10-05 10:18:05,-887
2022-10-05 10:18:07,-893
2022-10-05 10:18:09,-879
2022-10-05 10:18:11,-883
2022-10-05 10:18:13,-881
2022-10-05 10:18:15,-873
2022-10-05 10:18:17,-875
2022-10-05 10:18:20,-885
2022-10-05 10:18:23,-871
2022-10-05 10:18:24,-233
2022-10-05 10:18:26,-1009
2022-10-05 10:18:29,-997
2022-10-05 10:18:31,-997
2022-10-05 10:18:33,-999
2022-10-05 10:18:35,-993
2022-10-05 10:18:36,-1001
2022-10-05 10:18:39,-989
2022-10-05 10:18:41,-991
2022-10-05 10:18:43,-989
2022-10-05 10:18:45,-989
2022-10-05 10:18:46,-993
2022-10-05 10:18:51,-987
2022-10-05 10:18:52,-989
2022-10-05 10:18:55,-985
2022-10-05 10:18:57,-981
2022-10-05 10:18:59,-250
2022-10-05 10:19:02,-266
2022-10-05 10:19:03,-172
2022-10-05 10:19:05,-164
2022-10-05 10:19:07,-156
2022-10-05 10:19:09,-156
2022-10-05 10:19:11,-156
2022-10-05 10:19:13,-160
2022-10-05 10:19:15,-156
2022-10-05 10:19:17,-170
2022-10-05 10:19:19,-223
2022-10-05 10:19:22,-183
2022-10-05 10:19:24,-185
2022-10-05 10:19:25,-197
2022-10-05 10:19:28,-189
2022-10-05 10:19:30,-193
2022-10-05 10:19:33,-191
2022-10-05 10:19:35,-193
2022-10-05 10:19:36,-193
2022-10-05 10:19:39,-185
2022-10-05 10:19:41,-185
2022-10-05 10:19:43,-183
2022-10-05 10:19:45,-183
2022-10-05 10:19:48,-183
2022-10-05 10:19:49,-191
2022-10-05 10:19:51,-187
2022-10-05 10:19:53,-197
2022-10-05 10:19:55,-191
2022-10-05 10:19:59,-189
2022-10-05 10:19:59,-178
2022-10-05 10:20:02,-187
2022-10-05 10:20:05,-185
2022-10-05 10:20:06,-185
2022-10-05 10:20:08,-209
2022-10-05 10:20:10,-219
2022-10-05 10:20:12,-205
2022-10-05 10:20:15,-178
2022-10-05 10:20:16,-191
2022-10-05 10:20:18,-217
2022-10-05 10:20:20,-197
2022-10-05 10:20:22,-203
2022-10-05 10:20:24,-201
2022-10-05 10:20:26,-321
2022-10-05 10:20:28,-174
2022-10-05 10:20:31,-197
2022-10-05 10:20:32,-85
2022-10-05 10:20:35,-79
2022-10-05 10:20:37,-144
2022-10-05 10:20:39,-146
2022-10-05 10:20:40,-152
2022-10-05 10:20:43,-162
2022-10-05 10:20:47,-144
2022-10-05 10:20:48,-158
2022-10-05 10:20:50,-162
2022-10-05 10:20:51,-158
2022-10-05 10:20:53,-148
2022-10-05 10:20:55,-160
2022-10-05 10:20:56,-158
2022-10-05 10:20:59,-160
2022-10-05 10:21:01,-156
2022-10-05 10:21:04,-156
2022-10-05 10:21:06,-162
2022-10-05 10:21:08,-160
2022-10-05 10:21:10,-156
2022-10-05 10:21:12,-158
2022-10-05 10:21:14,-160
2022-10-05 10:21:16,-162
2022-10-05 10:21:19,-160
2022-10-05 10:21:21,-156
2022-10-05 10:21:22,-158
2022-10-05 10:21:24,-148
2022-10-05 10:21:26,-154
2022-10-05 10:21:29,-156
2022-10-05 10:21:30,-181
2022-10-05 10:21:33,-164
2022-10-05 10:21:35,-168
2022-10-05 10:21:37,-164
2022-10-05 10:21:38,-178
2022-10-05 10:21:41,-170
2022-10-05 10:21:43,-174
2022-10-05 10:21:45,-164
2022-10-05 10:21:47,-158
2022-10-05 10:21:50,-168
2022-10-05 10:21:52,-160
2022-10-05 10:21:54,-160
2022-10-05 10:21:57,-174
2022-10-05 10:21:59,-164
2022-10-05 10:22:02,-185
2022-10-05 10:22:03,-185
2022-10-05 10:22:05,-181
2022-10-05 10:22:07,-187
2022-10-05 10:22:10,-172
2022-10-05 10:22:12,-176
2022-10-05 10:22:13,-166
2022-10-05 10:22:15,-170
2022-10-05 10:22:18,-183
2022-10-05 10:22:20,-172
2022-10-05 10:22:22,-168
2022-10-05 10:22:24,-172
2022-10-05 10:22:26,-168
2022-10-05 10:22:29,-164
2022-10-05 10:22:30,-166
2022-10-05 10:22:32,-160
2022-10-05 10:22:34,-162
2022-10-05 10:22:37,-172
2022-10-05 10:22:39,-160
2022-10-05 10:22:42,-164
2022-10-05 10:22:42,-185
2022-10-05 10:22:45,-183
2022-10-05 10:22:46,-170
2022-10-05 10:22:49,-166
2022-10-05 10:22:52,-168
2022-10-05 10:22:53,-158
2022-10-05 10:22:56,-170
2022-10-05 10:22:58,-176
2022-10-05 10:23:01,-170
2022-10-05 10:23:03,-170
2022-10-05 10:23:05,-158
2022-10-05 10:23:07,-152
2022-10-05 10:23:09,-152
2022-10-05 10:23:12,-158
2022-10-05 10:23:15,-152
2022-10-05 10:23:16,-146
2022-10-05 10:23:19,-134
2022-10-05 10:23:21,-126
2022-10-05 10:23:24,-130
2022-10-05 10:23:25,-128
2022-10-05 10:23:27,-123
2022-10-05 10:23:29,-117
2022-10-05 10:23:31,-87
2022-10-05 10:23:35,-97
2022-10-05 10:23:36,-89
2022-10-05 10:23:38,-91
2022-10-05 10:23:41,-87
2022-10-05 10:23:42,-89
2022-10-05 10:23:45,-85
2022-10-05 10:23:48,-91
2022-10-05 10:23:49,-83
2022-10-05 10:23:52,-83
2022-10-05 10:23:54,-83
2022-10-05 10:23:57,-77
2022-10-05 10:23:59,28
2022-10-05 10:24:03,-1015
2022-10-05 10:24:05,-1003
2022-10-05 10:24:06,-392
2022-10-05 10:24:09,895
2022-10-05 10:24:29,-793
2022-10-05 10:24:32,-1076
2022-10-05 10:24:33,-557
2022-10-05 10:24:35,-85
2022-10-05 10:24:37,-54
2022-10-05 10:24:40,126
2022-10-05 10:24:42,16
2022-10-05 10:24:44,-376
2022-10-05 10:24:46,-476
2022-10-05 10:24:47,-651
2022-10-05 10:24:50,-529
2022-10-05 10:24:52,-527
2022-10-05 10:24:55,-928
2022-10-05 10:24:56,-213
2022-10-05 10:24:58,-364
2022-10-05 10:25:01,-535
2022-10-05 10:25:02,-476
2022-10-05 10:25:05,494
2022-10-05 10:25:07,-820
2022-10-05 10:25:09,-498
2022-10-05 10:25:12,-235
2022-10-05 10:25:14,-219
2022-10-05 10:25:16,-258
2022-10-05 10:25:18,-824
2022-10-05 10:25:20,-419
2022-10-05 10:25:23,-11
2022-10-05 10:25:25,-148
2022-10-05 10:25:27,-376
2022-10-05 10:25:29,-115
2022-10-05 10:25:31,-502
2022-10-05 10:25:33,-535
2022-10-05 10:25:35,-79
2022-10-05 10:25:39,-997
2022-10-05 10:25:41,-203
2022-10-05 10:25:43,-187
2022-10-05 10:25:46,-191
2022-10-05 10:25:49,-195
2022-10-05 10:25:51,-207
2022-10-05 10:25:53,-191
2022-10-05 10:25:55,-203
2022-10-05 10:25:57,-203
2022-10-05 10:26:00,-189
2022-10-05 10:26:02,-197
2022-10-05 10:26:04,-193
2022-10-05 10:26:05,-191
2022-10-05 10:26:09,-187
2022-10-05 10:26:11,-189
2022-10-05 10:26:13,-181
2022-10-05 10:26:14,-170
2022-10-05 10:26:17,-698
2022-10-05 10:26:19,-423
2022-10-05 10:26:22,42
2022-10-05 10:26:24,-117
2022-10-05 10:26:27,-97
2022-10-05 10:26:29,-101
2022-10-05 10:26:31,-11
2022-10-05 10:26:33,-136
2022-10-05 10:26:35,110
2022-10-05 10:26:37,-138
2022-10-05 10:26:39,-134
2022-10-05 10:26:41,-144
2022-10-05 10:26:44,-105
2022-10-05 10:26:45,468
2022-10-05 10:26:48,726
2022-10-05 10:26:50,735
2022-10-05 10:26:52,727
2022-10-05 10:26:53,731
2022-10-05 10:26:56,724
2022-10-05 10:26:58,735
2022-10-05 10:27:00,729
2022-10-05 10:27:02,710
2022-10-05 10:27:04,706
2022-10-05 10:27:07,708
2022-10-05 10:27:09,704
2022-10-05 10:27:11,712
2022-10-05 10:27:14,710
2022-10-05 10:27:16,708
2022-10-05 10:27:18,708
2022-10-05 10:27:19,712
2022-10-05 10:27:21,704
2022-10-05 10:27:23,708
2022-10-05 10:27:26,710
2022-10-05 10:27:28,790
2022-10-05 10:27:31,753
2022-10-05 10:27:31,448
2022-10-05 10:27:34,362
2022-10-05 10:27:37,79
2022-10-05 10:27:39,158
2022-10-05 10:27:41,179
2022-10-05 10:27:42,-113
2022-10-05 10:27:45,268
2022-10-05 10:27:47,224
2022-10-05 10:27:49,256
2022-10-05 10:27:51,244
2022-10-05 10:27:53,260
2022-10-05 10:27:56,12
2022-10-05 10:27:58,95
2022-10-05 10:27:59,-7
2022-10-05 10:28:02,8
2022-10-05 10:28:04,4
2022-10-05 10:28:06,-89
2022-10-05 10:28:08,-3
2022-10-05 10:28:11,-176
2022-10-05 10:28:13,-93
2022-10-05 10:28:15,-3
2022-10-05 10:28:17,55
2022-10-05 10:28:19,-140
2022-10-05 10:28:23,-160
2022-10-05 10:28:24,134
2022-10-05 10:28:26,150
2022-10-05 10:28:29,158
2022-10-05 10:28:31,91
2022-10-05 10:28:33,134
2022-10-05 10:28:36,185
2022-10-05 10:28:38,-77
2022-10-05 10:28:40,-77
2022-10-05 10:28:42,334
2022-10-05 10:28:45,303
2022-10-05 10:28:46,315
2022-10-05 10:28:49,295
2022-10-05 10:28:51,307
2022-10-05 10:28:52,291
2022-10-05 10:28:54,291
2022-10-05 10:28:57,291
2022-10-05 10:28:58,287
2022-10-05 10:29:01,297
2022-10-05 10:29:03,287
2022-10-05 10:29:05,289
2022-10-05 10:29:07,289
2022-10-05 10:29:09,305
2022-10-05 10:29:12,295
2022-10-05 10:29:15,291
2022-10-05 10:29:17,285
2022-10-05 10:29:20,283
2022-10-05 10:29:22,287
2022-10-05 10:29:23,293
2022-10-05 10:29:24,279
2022-10-05 10:29:27,291
2022-10-05 10:29:29,281
2022-10-05 10:29:30,293
2022-10-05 10:29:33,287
2022-10-05 10:29:35,297
2022-10-05 10:29:37,297
2022-10-05 10:29:38,301
2022-10-05 10:29:41,303
2022-10-05 10:29:43,305
2022-10-05 10:29:45,319
2022-10-05 10:29:47,305
2022-10-05 10:29:50,303
2022-10-05 10:29:52,307
2022-10-05 10:29:53,63
2022-10-05 10:29:55,-5
2022-10-05 10:29:57,171
2022-10-05 10:29:59,181
2022-10-05 10:30:01,205
2022-10-05 10:30:04,191
2022-10-05 10:30:06,193
2022-10-05 10:30:08,195
2022-10-05 10:30:10,193
2022-10-05 10:30:13,185
2022-10-05 10:30:15,193
2022-10-05 10:30:17,185
2022-10-05 10:30:19,185
2022-10-05 10:30:22,177
2022-10-05 10:30:24,181
2022-10-05 10:30:26,193
2022-10-05 10:30:28,146
2022-10-05 10:30:30,708
2022-10-05 10:30:32,670
2022-10-05 10:30:34,311
2022-10-05 10:30:36,716
2022-10-05 10:30:39,700
2022-10-05 10:30:42,700
2022-10-05 10:30:43,708
2022-10-05 10:30:45,698
2022-10-05 10:30:47,704
2022-10-05 10:30:48,700
2022-10-05 10:30:50,700
2022-10-05 10:30:53,441
2022-10-05 10:30:54,179
2022-10-05 10:30:57,315
2022-10-05 10:30:59,44
2022-10-05 10:31:01,-89
2022-10-05 10:31:03,-183
2022-10-05 10:31:06,676
2022-10-05 10:31:07,-691
2022-10-05 10:31:10,-643
2022-10-05 10:31:13,-659
2022-10-05 10:31:15,-586
2022-10-05 10:31:18,-575
2022-10-05 10:31:20,-575
2022-10-05 10:31:23,-600
2022-10-05 10:31:25,-810
2022-10-05 10:31:27,-816
2022-10-05 10:31:29,-810
2022-10-05 10:31:31,-812
2022-10-05 10:31:33,-818
2022-10-05 10:31:36,-832
2022-10-05 10:31:38,-810
2022-10-05 10:31:39,-897
2022-10-05 10:31:41,-1082
2022-10-05 10:31:43,-844
2022-10-05 10:31:45,-514
2022-10-05 10:31:47,-494
2022-10-05 10:31:49,-455
2022-10-05 10:31:51,-539
2022-10-05 10:31:53,130
2022-10-05 10:31:55,733
2022-10-05 10:31:57,-506
2022-10-05 10:32:00,-297
2022-10-05 10:32:01,-413
2022-10-05 10:32:03,-349
2022-10-05 10:32:05,-447
2022-10-05 10:32:07,-636
2022-10-05 10:32:09,-402
2022-10-05 10:32:11,-362
2022-10-05 10:32:14,-352
2022-10-05 10:32:16,-354
2022-10-05 10:32:18,-343
2022-10-05 10:32:21,-356
2022-10-05 10:32:22,-343
2022-10-05 10:32:26,-451
2022-10-05 10:32:29,-400
2022-10-05 10:32:30,-419
2022-10-05 10:32:33,-415
2022-10-05 10:32:36,-343
2022-10-05 10:32:38,-354
2022-10-05 10:32:40,-343
2022-10-05 10:32:43,-323
2022-10-05 10:32:44,-333
2022-10-05 10:32:46,-337
2022-10-05 10:32:48,-382
2022-10-05 10:32:51,-319
2022-10-05 10:32:53,-319
2022-10-05 10:32:55,-317
2022-10-05 10:32:57,-366
2022-10-05 10:32:59,-329
2022-10-05 10:33:01,-327
2022-10-05 10:33:04,-319
2022-10-05 10:33:06,-944
2022-10-05 10:33:08,-482
2022-10-05 10:33:09,-451
2022-10-05 10:33:12,-455
2022-10-05 10:33:15,-463
2022-10-05 10:33:16,-455
2022-10-05 10:33:19,-443
2022-10-05 10:33:20,-443
2022-10-05 10:33:23,-455
2022-10-05 10:33:25,-453
2022-10-05 10:33:27,-449
2022-10-05 10:33:29,-427
2022-10-05 10:33:32,-433
2022-10-05 10:33:33,-451
2022-10-05 10:33:36,-443
2022-10-05 10:33:38,-445
2022-10-05 10:33:40,-370
2022-10-05 10:33:43,-305
2022-10-05 10:33:45,-12
2022-10-05 10:33:47,-1
2022-10-05 10:33:49,2
2022-10-05 10:33:52,-5
2022-10-05 10:33:58,-408
2022-10-05 10:34:00,-22
2022-10-05 10:34:02,-36
2022-10-05 10:34:04,-48
2022-10-05 10:34:05,-48
2022-10-05 10:34:09,-46
2022-10-05 10:34:11,-54
2022-10-05 10:34:12,-52
2022-10-05 10:34:15,-52
2022-10-05 10:34:16,-58
2022-10-05 10:34:19,-54
2022-10-05 10:34:21,-52
2022-10-05 10:34:23,-54
2022-10-05 10:34:24,-463
2022-10-05 10:34:27,0
2022-10-05 10:34:28,-258
2022-10-05 10:34:30,-282
2022-10-05 10:34:32,-297
2022-10-05 10:34:35,-282
2022-10-05 10:34:36,-309
2022-10-05 10:34:38,-309
2022-10-05 10:34:40,-337
2022-10-05 10:34:42,-325
2022-10-05 10:34:44,-309
2022-10-05 10:34:46,-343
2022-10-05 10:34:48,-317
2022-10-05 10:34:50,-329
2022-10-05 10:34:52,-337
2022-10-05 10:34:54,-345
2022-10-05 10:34:57,-345
2022-10-05 10:34:58,-345
2022-10-05 10:35:01,-337
2022-10-05 10:35:03,-343
2022-10-05 10:35:05,-337
2022-10-05 10:35:08,-352
2022-10-05 10:35:10,-337
2022-10-05 10:35:11,-341
2022-10-05 10:35:13,-351
2022-10-05 10:35:14,-347
2022-10-05 10:35:17,-345
2022-10-05 10:35:19,-343
2022-10-05 10:35:21,-329
2022-10-05 10:35:23,-329
2022-10-05 10:35:25,-337
2022-10-05 10:35:27,-278
2022-10-05 10:35:29,-343
2022-10-05 10:35:31,-343
2022-10-05 10:35:33,-360
2022-10-05 10:35:35,-356
2022-10-05 10:35:38,-351
2022-10-05 10:35:39,-352
2022-10-05 10:35:41,-352
2022-10-05 10:35:44,-360
2022-10-05 10:35:45,-360
2022-10-05 10:35:48,-360
