datetime,value
2022-10-27 14:10:12,592
2022-10-27 14:10:14,619
2022-10-27 14:10:14,-62
2022-10-27 14:10:15,258
2022-10-27 14:10:17,6
2022-10-27 14:10:19,-128
2022-10-27 14:10:20,-382
2022-10-27 14:10:21,944
2022-10-27 14:10:22,-421
2022-10-27 14:10:23,-301
2022-10-27 14:10:24,-498
2022-10-27 14:10:25,-478
2022-10-27 14:10:27,-463
2022-10-27 14:10:29,-388
2022-10-27 14:10:30,-274
2022-10-27 14:10:31,-303
2022-10-27 14:10:32,-441
2022-10-27 14:10:34,1150
2022-10-27 14:10:35,853
2022-10-27 14:10:37,-575
2022-10-27 14:10:39,323
2022-10-27 14:10:39,315
2022-10-27 14:10:41,305
2022-10-27 14:10:42,-527
2022-10-27 14:10:44,-295
2022-10-27 14:10:45,-976
2022-10-27 14:10:46,-16
2022-10-27 14:10:48,802
2022-10-27 14:10:49,867
2022-10-27 14:10:50,875
2022-10-27 14:10:51,897
2022-10-27 14:10:52,-966
2022-10-27 14:10:53,995
2022-10-27 14:10:55,806
2022-10-27 14:10:56,957
2022-10-27 14:10:58,580
2022-10-27 14:10:59,531
2022-10-27 14:11:00,-549
2022-10-27 14:11:01,-734
2022-10-27 14:11:03,-514
2022-10-27 14:11:04,-981
2022-10-27 14:11:05,-926
2022-10-27 14:11:06,-730
2022-10-27 14:11:07,-274
2022-10-27 14:11:08,-641
2022-10-27 14:11:09,75
2022-10-27 14:11:10,871
2022-10-27 14:11:11,222
2022-10-27 14:11:11,841
2022-10-27 14:11:14,957
2022-10-27 14:11:15,975
2022-10-27 14:11:16,983
2022-10-27 14:11:17,973
2022-10-27 14:11:18,971
2022-10-27 14:11:19,439
2022-10-27 14:11:20,-777
2022-10-27 14:11:21,-985
2022-10-27 14:11:22,-1029
2022-10-27 14:11:23,-1009
2022-10-27 14:11:25,-1021
2022-10-27 14:11:26,-643
2022-10-27 14:11:27,-427
2022-10-27 14:11:28,-1031
2022-10-27 14:11:29,-1033
2022-10-27 14:11:31,-714
2022-10-27 14:11:33,741
2022-10-27 14:11:34,955
2022-10-27 14:11:35,930
2022-10-27 14:11:36,914
2022-10-27 14:11:37,920
2022-10-27 14:11:38,743
2022-10-27 14:11:39,588
2022-10-27 14:11:40,-671
2022-10-27 14:11:41,898
2022-10-27 14:11:42,305
2022-10-27 14:11:44,735
2022-10-27 14:11:44,661
2022-10-27 14:11:46,612
2022-10-27 14:11:46,372
2022-10-27 14:11:48,399
2022-10-27 14:11:49,374
2022-10-27 14:11:50,-455
2022-10-27 14:11:50,-531
2022-10-27 14:11:52,-805
2022-10-27 14:11:54,-669
2022-10-27 14:11:55,-985
2022-10-27 14:11:56,-1019
2022-10-27 14:11:57,-1027
2022-10-27 14:11:58,665
2022-10-27 14:11:59,499
2022-10-27 14:12:00,-439
2022-10-27 14:12:01,472
2022-10-27 14:12:02,861
2022-10-27 14:12:04,952
2022-10-27 14:12:05,-223
2022-10-27 14:12:06,-785
2022-10-27 14:12:08,900
2022-10-27 14:12:09,826
2022-10-27 14:12:11,562
2022-10-27 14:12:13,399
2022-10-27 14:12:15,407
2022-10-27 14:12:17,498
2022-10-27 14:12:18,409
2022-10-27 14:12:19,747
2022-10-27 14:12:20,912
2022-10-27 14:12:21,523
2022-10-27 14:12:22,983
2022-10-27 14:12:23,639
2022-10-27 14:12:24,118
2022-10-27 14:12:25,-262
2022-10-27 14:12:26,-366
2022-10-27 14:12:27,-537
2022-10-27 14:12:28,-461
2022-10-27 14:12:29,130
2022-10-27 14:12:30,12
2022-10-27 14:12:31,22
2022-10-27 14:12:32,441
2022-10-27 14:12:33,372
2022-10-27 14:13:14,134
2022-10-27 14:13:15,-789
2022-10-27 14:13:16,-667
2022-10-27 14:13:17,-962
2022-10-27 14:13:18,-899
2022-10-27 14:13:19,-600
