datetime,value
2022/9/21 12:47,437
2022/9/21 12:48,511
2022/9/21 12:48,269
2022/9/21 12:48,-345
2022/9/21 12:49,-387
2022/9/21 12:49,-368
2022/9/21 12:50,2
2022/9/21 12:50,132
2022/9/21 12:50,36
2022/9/21 12:51,138
2022/9/21 12:51,-192
2022/9/21 12:51,-9
2022/9/21 12:52,532
2022/9/21 12:52,323
2022/9/21 12:53,144
2022/9/21 12:53,208
2022/9/21 12:53,-126
2022/9/21 12:54,522
2022/9/21 12:54,276
2022/9/21 12:54,342
2022/9/21 12:55,603
2022/9/21 12:55,488
2022/9/21 12:56,477
2022/9/21 12:56,513
2022/9/21 12:56,588
2022/9/21 12:57,484
2022/9/21 12:57,336
2022/9/21 12:58,439
2022/9/21 12:58,499
2022/9/21 12:58,315
2022/9/21 12:59,322
2022/9/21 12:59,369
2022/9/21 12:59,392
2022/9/21 13:00,514
2022/9/21 13:00,470
2022/9/21 13:01,565
2022/9/21 13:01,242
2022/9/21 13:01,190
2022/9/21 13:02,707
2022/9/21 13:02,151
2022/9/21 13:02,450
2022/9/21 13:03,330
2022/9/21 13:03,640
2022/9/21 13:04,505
2022/9/21 13:04,712
2022/9/21 13:04,368
2022/9/21 13:05,-218
2022/9/21 13:05,438
2022/9/21 13:05,524
2022/9/21 13:06,-169
2022/9/21 13:06,512
2022/9/21 13:07,536
2022/9/21 13:07,452
2022/9/21 13:07,346
2022/9/21 13:08,551
2022/9/21 13:08,332
2022/9/21 13:08,-162
2022/9/21 13:09,419
2022/9/21 13:09,-173
2022/9/21 13:10,453
2022/9/21 13:10,166
2022/9/21 13:10,550
2022/9/21 13:11,90
2022/9/21 13:11,688
2022/9/21 13:11,-147
2022/9/21 13:12,257
2022/9/21 13:12,427
2022/9/21 13:13,478
2022/9/21 13:13,257
2022/9/21 13:13,457
2022/9/21 13:14,-57
2022/9/21 13:14,758
2022/9/21 13:15,721
2022/9/21 13:15,632
2022/9/21 13:15,168
2022/9/21 13:16,134
2022/9/21 13:16,428
2022/9/21 13:16,211
2022/9/21 13:17,384
2022/9/21 13:17,410
2022/9/21 13:18,379
2022/9/21 13:18,445
2022/9/21 13:18,411
2022/9/21 13:19,467
2022/9/21 13:19,315
2022/9/21 13:20,492
2022/9/21 13:20,-34
2022/9/21 13:20,532
2022/9/21 13:21,543
2022/9/21 13:21,566
2022/9/21 13:21,573
2022/9/21 13:22,337
2022/9/21 13:22,354
2022/9/21 13:22,601
2022/9/21 13:23,616
2022/9/21 13:23,336
2022/9/21 13:24,204
2022/9/21 13:24,361
2022/9/21 13:24,-14
2022/9/21 13:25,279
2022/9/21 13:25,271
2022/9/21 13:26,190
2022/9/21 13:26,586
2022/9/21 13:26,488
2022/9/21 13:27,531
2022/9/21 13:27,561
2022/9/21 13:27,563
2022/9/21 13:28,589
2022/9/21 13:28,100
2022/9/21 13:29,317
2022/9/21 13:29,332
2022/9/21 13:29,255
2022/9/21 13:30,444
2022/9/21 13:30,435
2022/9/21 13:31,427
2022/9/21 13:31,518
2022/9/21 13:31,329
2022/9/21 13:32,576
2022/9/21 13:32,466
2022/9/21 13:32,388
2022/9/21 13:33,411
2022/9/21 13:33,423
2022/9/21 13:34,332
2022/9/21 13:34,331
2022/9/21 13:34,412
2022/9/21 13:35,424
2022/9/21 13:35,431
2022/9/21 13:36,407
2022/9/21 13:36,320
2022/9/21 13:36,431
2022/9/21 13:37,358
2022/9/21 13:37,147
2022/9/21 13:37,183
2022/9/21 13:38,436
2022/9/21 13:38,159
2022/9/21 13:39,149
2022/9/21 13:39,197
2022/9/21 13:39,357
2022/9/21 13:40,156
2022/9/21 13:40,127
2022/9/21 13:40,121
2022/9/21 13:41,44
2022/9/21 13:41,52
2022/9/21 13:42,61
2022/9/21 13:42,61
2022/9/21 13:42,61
2022/9/21 13:43,56
2022/9/21 13:43,85
2022/9/21 13:43,26
2022/9/21 13:44,47
2022/9/21 13:44,96
2022/9/21 13:45,49
2022/9/21 13:45,77
2022/9/21 13:45,257
2022/9/21 13:46,50
2022/9/21 13:46,47
2022/9/21 13:46,87
2022/9/21 13:47,109
2022/9/21 13:47,104
2022/9/21 13:48,104
2022/9/21 13:48,180
2022/9/21 13:48,171
2022/9/21 13:49,202
2022/9/21 13:49,170
2022/9/21 13:50,168
2022/9/21 13:50,208
2022/9/21 13:50,189
2022/9/21 13:51,202
2022/9/21 13:51,213
2022/9/21 13:51,214
2022/9/21 13:52,211
2022/9/21 13:52,223
2022/9/21 13:53,248
2022/9/21 13:53,250
2022/9/21 13:53,223
2022/9/21 13:54,253
2022/9/21 13:54,236
2022/9/21 13:55,254
2022/9/21 13:55,203
2022/9/21 13:55,222
2022/9/21 13:56,212
2022/9/21 13:56,184
2022/9/21 13:56,115
2022/9/21 13:57,119
2022/9/21 13:57,103
2022/9/21 13:58,160
2022/9/21 13:58,163
2022/9/21 13:58,124
2022/9/21 13:59,94
2022/9/21 13:59,80
2022/9/21 13:59,77
2022/9/21 14:16,111
2022/9/21 14:16,408
2022/9/21 14:17,567
2022/9/21 14:54,440
2022/9/21 14:55,230
2022/9/21 14:55,427
2022/9/21 14:56,34
2022/9/21 14:56,191
2022/9/21 14:56,57
2022/9/21 14:57,239
2022/9/21 14:57,161
2022/9/21 14:57,196
2022/9/21 14:58,-225
2022/9/21 14:58,55
2022/9/21 14:59,-73
2022/9/21 14:59,47
2022/9/21 14:59,681
2022/9/21 15:00,583
2022/9/21 15:00,299
2022/9/21 15:01,315
2022/9/21 15:01,260
2022/9/21 15:01,559
2022/9/21 15:02,572
2022/9/21 15:02,32
2022/9/21 15:07,204
2022/9/21 15:07,28
2022/9/21 15:08,121
2022/9/21 15:08,424
2022/9/21 15:09,-114
2022/9/21 15:09,325
2022/9/21 15:09,616
2022/9/21 15:10,-193
2022/9/21 15:10,-140
2022/9/21 15:10,336
2022/9/21 15:11,455
2022/9/21 15:11,337
2022/9/21 15:12,248
2022/9/21 15:12,262
2022/9/21 15:12,459
