datetime,value
2022-09-26 09:19:23,593
2022-09-26 09:19:24,646
2022-09-26 09:19:25,641
2022-09-26 09:19:26,632
2022-09-26 09:19:27,625
2022-09-26 09:19:29,628
2022-09-26 09:19:30,609
2022-09-26 09:19:31,585
2022-09-26 09:19:32,593
2022-09-26 09:19:34,571
2022-09-26 09:19:35,586
2022-09-26 09:19:36,571
2022-09-26 09:19:37,574
2022-09-26 09:19:38,564
2022-09-26 09:19:39,546
2022-09-26 09:19:40,574
2022-09-26 09:19:42,567
2022-09-26 09:19:43,555
2022-09-26 09:19:44,505
2022-09-26 09:19:45,519
2022-09-26 09:19:46,510
2022-09-26 09:19:48,533
2022-09-26 09:19:49,524
2022-09-26 09:19:50,529
2022-09-26 09:19:52,269
2022-09-26 09:19:53,-302
2022-09-26 09:19:54,553
2022-09-26 09:19:56,512
2022-09-26 09:19:57,634
2022-09-26 09:19:58,756
2022-09-26 09:19:59,799
2022-09-26 09:20:00,792
2022-09-26 09:20:02,773
2022-09-26 09:20:03,752
2022-09-26 09:20:04,768
2022-09-26 09:20:06,814
2022-09-26 09:20:07,636
2022-09-26 09:20:08,767
2022-09-26 09:20:09,440
2022-09-26 09:20:11,83
2022-09-26 09:20:12,237
2022-09-26 09:20:13,-204
2022-09-26 09:20:16,-7
2022-09-26 09:20:17,204
2022-09-26 09:20:18,440
2022-09-26 09:20:20,310
2022-09-26 09:20:21,12
2022-09-26 09:20:22,574
2022-09-26 09:20:23,297
2022-09-26 09:20:24,710
2022-09-26 09:20:26,764
2022-09-26 09:20:27,491
2022-09-26 09:20:28,306
2022-09-26 09:20:29,665
2022-09-26 09:20:31,437
2022-09-26 09:20:33,-58
2022-09-26 09:20:34,408
2022-09-26 09:20:35,602
2022-09-26 09:20:37,558
2022-09-26 09:20:38,21
2022-09-26 09:20:39,32
2022-09-26 09:20:40,66
2022-09-26 09:20:41,64
2022-09-26 09:20:43,62
2022-09-26 09:20:45,75
2022-09-26 09:20:46,65
2022-09-26 09:20:47,60
2022-09-26 09:20:48,52
2022-09-26 09:20:49,70
2022-09-26 09:20:50,54
2022-09-26 09:20:52,88
2022-09-26 09:20:53,338
2022-09-26 09:20:54,700
2022-09-26 09:20:56,716
2022-09-26 09:20:57,746
2022-09-26 09:20:58,535
2022-09-26 09:21:00,553
2022-09-26 09:21:01,242
2022-09-26 09:21:02,644
2022-09-26 09:21:04,672
2022-09-26 09:21:05,631
2022-09-26 09:21:06,742
2022-09-26 09:21:07,336
2022-09-26 09:21:09,681
2022-09-26 09:21:10,595
2022-09-26 09:21:11,711
2022-09-26 09:21:13,721
2022-09-26 09:21:14,740
2022-09-26 09:21:15,766
2022-09-26 09:21:16,770
2022-09-26 09:21:18,736
2022-09-26 09:21:19,747
2022-09-26 09:21:20,258
2022-09-26 09:21:22,276
2022-09-26 09:21:23,768
2022-09-26 09:21:25,566
2022-09-26 09:21:26,496
2022-09-26 09:21:27,111
2022-09-26 09:21:29,-240
2022-09-26 09:21:30,62
2022-09-26 09:21:31,468
2022-09-26 09:21:33,336
2022-09-26 09:21:35,290
2022-09-26 09:21:36,358
2022-09-26 09:21:38,236
2022-09-26 09:21:39,44
2022-09-26 09:21:40,284
2022-09-26 09:21:41,518
2022-09-26 09:21:43,612
2022-09-26 09:21:44,128
2022-09-26 09:21:45,511
2022-09-26 09:21:47,-55
2022-09-26 09:21:48,-85
2022-09-26 09:21:49,-343
2022-09-26 09:21:50,-384
2022-09-26 09:21:51,-335
2022-09-26 09:21:54,-110
2022-09-26 09:21:55,106
2022-09-26 09:21:56,387
2022-09-26 09:21:58,220
2022-09-26 09:21:59,-61
2022-09-26 09:22:00,107
2022-09-26 09:22:01,350
2022-09-26 09:22:02,347
2022-09-26 09:22:04,367
2022-09-26 09:22:05,311
2022-09-26 09:22:07,230
2022-09-26 09:22:08,96
2022-09-26 09:22:09,55
2022-09-26 09:22:10,-81
2022-09-26 09:22:11,553
2022-09-26 09:22:12,-266
2022-09-26 09:22:14,-130
2022-09-26 09:22:15,-189
2022-09-26 09:22:16,72
2022-09-26 09:22:17,155
2022-09-26 09:22:19,483
2022-09-26 09:22:20,590
2022-09-26 09:22:21,366
2022-09-26 09:22:23,512
2022-09-26 09:22:24,697
2022-09-26 09:22:25,678
2022-09-26 09:22:26,707
2022-09-26 09:22:28,675
2022-09-26 09:22:29,649
2022-09-26 09:22:30,667
2022-09-26 09:22:31,457
2022-09-26 09:22:33,420
2022-09-26 09:22:34,288
2022-09-26 09:22:35,368
2022-09-26 09:22:37,301
2022-09-26 09:22:38,340
2022-09-26 09:22:39,342
2022-09-26 09:22:41,257
2022-09-26 09:22:42,175
2022-09-26 09:22:44,209
2022-09-26 09:22:45,291
2022-09-26 09:22:47,300
2022-09-26 09:22:49,305
2022-09-26 09:22:51,149
2022-09-26 09:22:53,70
2022-09-26 09:22:54,225
2022-09-26 09:22:56,249
2022-09-26 09:22:57,123
2022-09-26 09:22:59,39
2022-09-26 09:23:00,-122
2022-09-26 09:23:02,171
2022-09-26 09:23:03,123
2022-09-26 09:23:04,120
2022-09-26 09:23:06,141
2022-09-26 09:23:07,264
2022-09-26 09:23:08,286
2022-09-26 09:23:09,313
2022-09-26 09:23:10,294
2022-09-26 09:23:12,309
2022-09-26 09:23:13,377
2022-09-26 09:23:14,596
2022-09-26 09:23:16,623
2022-09-26 09:23:17,421
2022-09-26 09:23:18,522
2022-09-26 09:23:20,368
2022-09-26 09:23:21,468
2022-09-26 09:23:22,505
2022-09-26 09:23:23,579
2022-09-26 09:23:25,512
2022-09-26 09:23:26,420
2022-09-26 09:23:27,519
2022-09-26 09:23:29,314
2022-09-26 09:23:30,172
2022-09-26 09:23:31,279
2022-09-26 09:23:32,203
2022-09-26 09:23:34,416
2022-09-26 09:23:35,365
2022-09-26 09:23:36,209
2022-09-26 09:23:37,70
2022-09-26 09:23:39,142
2022-09-26 09:23:40,630
2022-09-26 09:23:42,469
2022-09-26 09:23:43,386
2022-09-26 09:23:44,609
2022-09-26 09:23:45,631
2022-09-26 09:23:47,404
2022-09-26 09:23:48,204
2022-09-26 09:23:49,271
2022-09-26 09:23:50,347
2022-09-26 09:23:52,5
2022-09-26 09:23:53,235
2022-09-26 09:23:55,362
2022-09-26 09:23:56,24
2022-09-26 09:23:58,-190
2022-09-26 09:24:00,186
2022-09-26 09:24:02,55
2022-09-26 09:24:04,76
2022-09-26 09:24:05,112
2022-09-26 09:24:06,141
2022-09-26 09:24:08,266
2022-09-26 09:24:09,379
2022-09-26 09:24:10,503
2022-09-26 09:24:12,427
2022-09-26 09:24:13,498
2022-09-26 09:24:15,451
2022-09-26 09:24:16,289
2022-09-26 09:24:18,698
2022-09-26 09:24:43,631
2022-09-26 09:24:45,362
2022-09-26 09:24:46,338
2022-09-26 09:24:48,505
2022-09-26 09:24:49,623
2022-09-26 09:24:50,532
2022-09-26 09:24:51,523
2022-09-26 09:24:53,481
2022-09-26 09:24:54,176
2022-09-26 09:24:55,-6
2022-09-26 09:24:57,-157
2022-09-26 09:24:59,286
2022-09-26 09:25:00,258
2022-09-26 09:25:01,226
2022-09-26 09:25:02,124
2022-09-26 09:25:04,202
2022-09-26 09:25:05,-174
2022-09-26 09:25:06,-134
2022-09-26 09:25:07,417
2022-09-26 09:25:08,426
2022-09-26 09:25:10,62
2022-09-26 09:25:13,-208
2022-09-26 09:25:13,-181
2022-09-26 09:25:15,-189
2022-09-26 09:25:16,-175
2022-09-26 09:25:17,-153
2022-09-26 09:25:18,-113
2022-09-26 09:25:20,-118
2022-09-26 09:25:21,-124
2022-09-26 09:25:22,-89
2022-09-26 09:25:23,-92
2022-09-26 09:25:25,-101
2022-09-26 09:25:26,-116
2022-09-26 09:25:27,-112
2022-09-26 09:25:28,-130
2022-09-26 09:25:29,-117
2022-09-26 09:25:31,-57
2022-09-26 09:25:32,-63
2022-09-26 09:25:33,-207
2022-09-26 09:25:34,-245
2022-09-26 09:25:36,-269
2022-09-26 09:25:37,-284
2022-09-26 09:25:38,-484
2022-09-26 09:25:40,-328
2022-09-26 09:25:41,-287
2022-09-26 09:25:42,-266
2022-09-26 09:25:43,-174
2022-09-26 09:25:44,-85
2022-09-26 09:25:45,-64
2022-09-26 09:25:46,-121
2022-09-26 09:25:48,-168
2022-09-26 09:25:49,-184
2022-09-26 09:25:50,-214
2022-09-26 09:25:51,-205
2022-09-26 09:25:53,-205
2022-09-26 09:25:54,-169
2022-09-26 09:25:55,-149
2022-09-26 09:25:57,-110
2022-09-26 09:25:58,-75
2022-09-26 09:25:59,-77
2022-09-26 09:26:00,-30
2022-09-26 09:26:02,-70
2022-09-26 09:26:03,-121
2022-09-26 09:26:05,-28
2022-09-26 09:26:07,-10
2022-09-26 09:26:08,-77
2022-09-26 09:26:09,-32
2022-09-26 09:26:11,57
2022-09-26 09:26:12,78
2022-09-26 09:26:13,101
2022-09-26 09:26:15,53
2022-09-26 09:26:16,154
2022-09-26 09:26:17,195
2022-09-26 09:37:17,141
2022-09-26 09:37:18,81
2022-09-26 09:37:19,99
2022-09-26 09:37:20,233
2022-09-26 09:37:21,340
2022-09-26 09:37:23,358
2022-09-26 09:37:24,332
2022-09-26 09:37:26,204
2022-09-26 09:37:27,236
2022-09-26 09:37:28,325
2022-09-26 09:37:29,148
2022-09-26 09:37:30,307
2022-09-26 09:37:31,275
2022-09-26 09:37:33,469
2022-09-26 09:37:34,430
2022-09-26 09:37:35,406
2022-09-26 09:37:36,422
2022-09-26 09:37:38,403
2022-09-26 09:37:39,430
2022-09-26 09:37:41,396
2022-09-26 09:37:42,409
2022-09-26 09:37:43,387
2022-09-26 09:37:44,397
2022-09-26 09:37:45,421
2022-09-26 09:37:47,389
2022-09-26 09:37:48,432
2022-09-26 09:37:49,376
2022-09-26 09:37:50,410
2022-09-26 09:37:51,373
2022-09-26 09:37:53,395
2022-09-26 09:37:54,364
2022-09-26 09:37:55,365
2022-09-26 09:37:56,391
2022-09-26 09:37:58,374
2022-09-26 09:37:59,378
2022-09-26 09:38:00,388
2022-09-26 09:38:01,358
2022-09-26 09:38:03,371
2022-09-26 09:38:04,371
2022-09-26 09:38:05,382
2022-09-26 09:38:06,347
2022-09-26 09:38:07,346
2022-09-26 09:38:08,350
2022-09-26 09:38:10,322
2022-09-26 09:38:11,333
2022-09-26 09:38:12,334
2022-09-26 09:38:14,329
2022-09-26 09:38:15,329
2022-09-26 09:38:16,310
2022-09-26 09:38:17,313
2022-09-26 09:38:19,322
2022-09-26 09:38:20,303
2022-09-26 09:38:21,309
2022-09-26 09:38:22,313
2022-09-26 09:38:23,321
2022-09-26 09:38:25,306
2022-09-26 09:38:26,304
2022-09-26 09:38:27,309
2022-09-26 09:38:28,329
2022-09-26 09:38:29,364
2022-09-26 09:38:31,336
2022-09-26 09:38:32,321
2022-09-26 09:38:32,297
2022-09-26 09:38:34,331
2022-09-26 09:38:35,321
2022-09-26 09:38:36,326
2022-09-26 09:38:37,309
2022-09-26 09:38:38,360
2022-09-26 09:38:40,346
2022-09-26 09:38:41,341
2022-09-26 09:38:42,324
2022-09-26 09:38:43,348
2022-09-26 09:38:44,342
2022-09-26 09:38:45,356
2022-09-26 09:38:46,342
2022-09-26 09:38:48,370
2022-09-26 09:38:49,381
2022-09-26 09:38:50,372
2022-09-26 09:38:51,409
2022-09-26 09:38:52,392
2022-09-26 09:38:53,394
2022-09-26 09:38:54,386
2022-09-26 09:38:56,371
2022-09-26 09:38:57,407
2022-09-26 09:38:58,473
2022-09-26 09:38:59,338
2022-09-26 09:39:00,418
2022-09-26 09:39:01,402
2022-09-26 09:39:02,405
2022-09-26 09:39:04,410
2022-09-26 09:39:04,436
2022-09-26 09:39:06,441
2022-09-26 09:39:07,439
2022-09-26 09:39:08,406
2022-09-26 09:39:09,427
2022-09-26 09:39:10,416
2022-09-26 09:39:12,406
2022-09-26 09:39:13,414
2022-09-26 09:39:14,401
2022-09-26 09:39:15,409
2022-09-26 09:39:16,407
2022-09-26 09:39:18,406
2022-09-26 09:39:19,409
2022-09-26 09:39:20,424
2022-09-26 09:39:21,401
2022-09-26 09:39:23,400
2022-09-26 09:39:24,376
2022-09-26 09:39:25,386
2022-09-26 09:39:26,401
2022-09-26 09:39:27,418
2022-09-26 09:39:28,397
2022-09-26 09:39:29,375
2022-09-26 09:39:31,404
2022-09-26 09:39:32,397
2022-09-26 09:39:34,371
2022-09-26 09:39:35,373
2022-09-26 09:39:36,362
2022-09-26 09:39:37,397
2022-09-26 09:39:39,374
2022-09-26 09:39:40,358
2022-09-26 09:39:41,356
2022-09-26 09:39:42,361
2022-09-26 09:39:43,331
2022-09-26 09:39:45,315
2022-09-26 09:39:46,453
2022-09-26 09:39:47,344
2022-09-26 09:39:49,329
2022-09-26 09:39:50,314
2022-09-26 09:39:51,324
2022-09-26 09:39:52,312
2022-09-26 09:39:54,336
2022-09-26 09:39:55,308
2022-09-26 09:39:56,310
2022-09-26 09:39:57,373
2022-09-26 09:39:59,316
2022-09-26 09:40:00,275
2022-09-26 09:40:01,289
2022-09-26 09:40:02,301
2022-09-26 09:40:03,287
2022-09-26 09:40:05,272
2022-09-26 09:40:06,301
2022-09-26 09:40:08,309
2022-09-26 09:40:09,330
2022-09-26 09:40:11,390
2022-09-26 09:40:12,286
2022-09-26 09:40:14,332
2022-09-26 09:40:15,334
2022-09-26 09:40:16,332
2022-09-26 09:40:17,344
2022-09-26 09:40:19,356
2022-09-26 09:40:20,370
2022-09-26 09:40:21,342
2022-09-26 09:40:22,364
2022-09-26 09:40:23,342
2022-09-26 09:40:25,371
2022-09-26 09:40:27,383
2022-09-26 09:40:29,389
2022-09-26 09:40:33,396
2022-09-26 09:40:35,405
2022-09-26 09:40:36,414
2022-09-26 09:40:38,383
2022-09-26 09:40:39,408
2022-09-26 09:40:44,399
2022-09-26 09:40:45,403
2022-09-26 09:40:46,403
2022-09-26 09:40:47,212
2022-09-26 09:40:49,234
2022-09-26 09:40:50,541
2022-09-26 09:40:51,594
2022-09-26 09:40:52,580
2022-09-26 09:40:53,573
2022-09-26 09:40:55,553
2022-09-26 09:40:56,563
2022-09-26 09:40:57,572
2022-09-26 09:40:58,563
2022-09-26 09:40:59,572
2022-09-26 09:41:01,572
2022-09-26 09:41:02,582
2022-09-26 09:41:04,530
2022-09-26 09:41:05,659
2022-09-26 09:41:06,583
2022-09-26 09:41:07,488
2022-09-26 09:41:08,740
2022-09-26 09:41:09,564
2022-09-26 09:41:11,576
2022-09-26 09:41:12,564
2022-09-26 09:41:13,565
2022-09-26 09:41:14,541
2022-09-26 09:41:15,568
2022-09-26 09:41:17,613
2022-09-26 09:41:18,569
2022-09-26 09:41:19,563
2022-09-26 09:41:20,557
2022-09-26 09:41:22,555
2022-09-26 09:41:23,557
2022-09-26 09:41:24,577
2022-09-26 09:41:25,639
2022-09-26 09:41:27,674
2022-09-26 09:41:28,680
2022-09-26 09:41:29,591
2022-09-26 09:41:30,533
2022-09-26 09:41:31,533
2022-09-26 09:41:32,533
2022-09-26 09:41:33,540
2022-09-26 09:41:35,519
2022-09-26 09:41:36,550
2022-09-26 09:41:38,555
2022-09-26 09:41:39,555
2022-09-26 09:41:40,562
2022-09-26 09:41:41,543
2022-09-26 09:41:42,538
2022-09-26 09:41:44,569
2022-09-26 09:41:45,558
2022-09-26 09:41:46,541
2022-09-26 09:41:47,522
2022-09-26 09:41:49,558
2022-09-26 09:41:50,536
2022-09-26 09:41:51,555
2022-09-26 09:41:53,536
2022-09-26 09:41:54,570
2022-09-26 09:41:55,543
2022-09-26 09:41:56,533
2022-09-26 09:41:57,543
2022-09-26 09:41:59,543
2022-09-26 09:42:00,543
2022-09-26 09:42:01,543
2022-09-26 09:42:02,568
2022-09-26 09:42:03,552
2022-09-26 09:42:05,571
2022-09-26 09:42:06,566
2022-09-26 09:42:07,568
2022-09-26 09:42:08,517
2022-09-26 09:42:09,525
2022-09-26 09:42:10,533
2022-09-26 09:42:12,554
2022-09-26 09:42:13,542
2022-09-26 09:42:14,550
2022-09-26 09:42:15,553
2022-09-26 09:42:16,554
2022-09-26 09:42:18,542
2022-09-26 09:42:19,538
2022-09-26 09:42:21,533
2022-09-26 09:42:22,533
2022-09-26 09:42:23,352
2022-09-26 09:42:24,391
2022-09-26 09:42:25,601
2022-09-26 09:42:26,598
2022-09-26 09:42:28,615
2022-09-26 09:42:29,583
2022-09-26 09:42:30,573
2022-09-26 09:42:32,643
2022-09-26 09:42:33,666
2022-09-26 09:42:34,665
2022-09-26 09:42:36,637
2022-09-26 09:42:37,672
2022-09-26 09:42:38,662
2022-09-26 09:42:39,670
2022-09-26 09:42:40,649
2022-09-26 09:42:41,661
2022-09-26 09:42:43,678
2022-09-26 09:42:44,668
2022-09-26 09:42:45,681
2022-09-26 09:42:46,656
2022-09-26 09:42:47,680
2022-09-26 09:42:49,649
2022-09-26 09:42:50,656
2022-09-26 09:42:51,673
2022-09-26 09:42:52,641
2022-09-26 09:42:53,644
2022-09-26 09:42:54,666
2022-09-26 09:42:56,709
2022-09-26 09:42:57,656
2022-09-26 09:42:58,649
2022-09-26 09:42:59,654
2022-09-26 09:43:00,646
2022-09-26 09:43:01,666
2022-09-26 09:43:02,701
2022-09-26 09:43:04,834
2022-09-26 09:43:05,640
2022-09-26 09:43:06,491
2022-09-26 09:43:08,508
2022-09-26 09:43:09,522
2022-09-26 09:43:10,523
2022-09-26 09:43:11,524
2022-09-26 09:43:12,501
2022-09-26 09:43:13,498
2022-09-26 09:43:14,497
2022-09-26 09:43:15,524
2022-09-26 09:43:17,626
2022-09-26 09:43:18,747
2022-09-26 09:43:19,830
2022-09-26 09:43:20,816
2022-09-26 09:43:21,735
2022-09-26 09:43:22,684
2022-09-26 09:43:24,669
2022-09-26 09:43:25,672
2022-09-26 09:43:27,681
2022-09-26 09:43:28,672
2022-09-26 09:43:29,642
2022-09-26 09:43:30,659
2022-09-26 09:43:31,647
2022-09-26 09:43:32,643
2022-09-26 09:43:33,657
2022-09-26 09:43:34,674
2022-09-26 09:43:36,686
2022-09-26 09:43:37,689
