datetime,value
2022-10-05 10:14:54,554
2022-10-05 10:14:56,642
2022-10-05 10:14:58,613
2022-10-05 10:15:00,625
2022-10-05 10:15:02,606
2022-10-05 10:15:05,618
2022-10-05 10:15:06,655
2022-10-05 10:15:08,645
2022-10-05 10:15:10,658
2022-10-05 10:15:13,640
2022-10-05 10:15:15,53
2022-10-05 10:15:17,28
2022-10-05 10:15:19,22
2022-10-05 10:15:21,52
2022-10-05 10:15:23,52
2022-10-05 10:15:25,44
2022-10-05 10:15:27,35
2022-10-05 10:15:29,54
2022-10-05 10:15:33,52
2022-10-05 10:15:35,49
2022-10-05 10:15:37,35
2022-10-05 10:15:39,44
2022-10-05 10:15:40,37
2022-10-05 10:15:42,20
2022-10-05 10:15:45,52
2022-10-05 10:15:47,24
2022-10-05 10:15:49,303
2022-10-05 10:15:52,326
2022-10-05 10:15:53,348
2022-10-05 10:15:55,61
2022-10-05 10:15:58,188
2022-10-05 10:15:59,115
2022-10-05 10:16:01,49
2022-10-05 10:16:04,566
2022-10-05 10:16:06,572
2022-10-05 10:16:08,562
2022-10-05 10:16:09,280
2022-10-05 10:16:12,224
2022-10-05 10:16:15,-308
2022-10-05 10:16:17,-59
2022-10-05 10:16:18,-43
2022-10-05 10:16:20,124
2022-10-05 10:16:23,169
2022-10-05 10:16:24,168
2022-10-05 10:16:26,158
2022-10-05 10:16:28,199
2022-10-05 10:16:31,187
2022-10-05 10:16:33,190
2022-10-05 10:16:35,156
2022-10-05 10:16:38,181
2022-10-05 10:16:39,171
2022-10-05 10:16:42,173
2022-10-05 10:16:44,188
2022-10-05 10:16:46,178
2022-10-05 10:16:48,185
2022-10-05 10:16:50,153
2022-10-05 10:16:53,183
2022-10-05 10:16:54,185
2022-10-05 10:16:57,180
2022-10-05 10:16:59,200
2022-10-05 10:17:00,187
2022-10-05 10:17:03,199
2022-10-05 10:17:04,207
2022-10-05 10:17:07,212
2022-10-05 10:17:09,192
2022-10-05 10:17:13,192
2022-10-05 10:17:14,197
2022-10-05 10:17:17,206
2022-10-05 10:17:19,211
2022-10-05 10:17:21,200
2022-10-05 10:17:23,204
2022-10-05 10:17:24,200
2022-10-05 10:17:26,180
2022-10-05 10:17:29,201
2022-10-05 10:17:32,183
2022-10-05 10:17:33,185
2022-10-05 10:17:35,187
2022-10-05 10:17:37,213
2022-10-05 10:17:39,182
2022-10-05 10:17:41,209
2022-10-05 10:17:42,214
2022-10-05 10:17:45,200
2022-10-05 10:17:47,185
2022-10-05 10:17:49,199
2022-10-05 10:17:51,204
2022-10-05 10:17:53,199
2022-10-05 10:17:55,195
2022-10-05 10:17:56,199
2022-10-05 10:17:58,222
2022-10-05 10:18:00,209
2022-10-05 10:18:02,221
2022-10-05 10:18:04,214
2022-10-05 10:18:06,228
2022-10-05 10:18:08,194
2022-10-05 10:18:10,218
2022-10-05 10:18:12,206
2022-10-05 10:18:14,227
2022-10-05 10:18:16,225
2022-10-05 10:18:18,214
2022-10-05 10:18:21,221
2022-10-05 10:18:23,224
2022-10-05 10:18:26,97
2022-10-05 10:18:28,67
2022-10-05 10:18:30,69
2022-10-05 10:18:31,79
2022-10-05 10:18:34,59
2022-10-05 10:18:36,97
2022-10-05 10:18:37,69
2022-10-05 10:18:40,93
2022-10-05 10:18:42,95
