datetime,value
2022-09-09 13:49:42,992.0
2022-09-09 13:50:00,1023.0
2022-09-09 13:50:24,321.0
2022-09-09 13:50:41,177.0
2022-09-09 13:51:06,-25.0
2022-09-09 13:51:31,-157.0
2022-09-09 13:51:47,470.0
2022-09-09 13:52:12,415.0
2022-09-09 13:52:37,405.0
2022-09-09 13:52:53,502.0
2022-09-09 13:53:18,470.0
2022-09-09 13:53:42,480.0
2022-09-09 13:54:06,496.0
2022-09-09 13:54:25,41.0
2022-09-09 13:54:43,-64.0
2022-09-09 13:55:07,506.0
2022-09-09 13:55:31,-21.0
2022-09-09 13:55:55,61.0
2022-09-09 13:56:11,47.0
2022-09-09 13:56:36,458.0
2022-09-09 13:57:00,301.0
2022-09-09 13:57:24,389.0
2022-09-09 13:57:41,106.0
2022-09-09 13:58:05,344.0
2022-09-09 13:58:22,614.0
2022-09-09 13:58:46,472.0
2022-09-09 13:59:10,504.0
2022-09-09 13:59:35,269.0
2022-09-09 13:59:51,151.0
2022-09-09 14:00:15,102.0
2022-09-09 14:00:39,939.0
2022-09-09 14:01:03,915.0
2022-09-09 14:01:19,403.0
2022-09-09 14:01:42,527.0
2022-09-09 14:02:07,697.0
2022-09-09 14:02:31,-222.0
2022-09-09 14:02:47,-90.0
2022-09-09 14:03:12,484.0
2022-09-09 14:03:37,-153.0
2022-09-09 14:03:53,960.0
2022-09-09 14:04:18,517.0
2022-09-09 14:04:35,549.0
2022-09-09 14:05:01,565.0
2022-09-09 14:05:25,517.0
2022-09-09 14:05:50,-94.0
2022-09-09 14:06:06,-147.0
2022-09-09 14:06:31,651.0
2022-09-09 14:06:54,513.0
2022-09-09 14:07:17,815.0
2022-09-09 14:07:34,513.0
2022-09-09 14:07:58,273.0
2022-09-09 14:08:23,33.0
2022-09-09 14:08:47,177.0
2022-09-09 14:09:03,-192.0
2022-09-09 14:09:26,-310.0
2022-09-09 14:09:49,-462.0
2022-09-09 14:10:12,866.0
2022-09-09 14:10:36,858.0
2022-09-09 14:10:59,907.0
2022-09-09 14:11:21,891.0
2022-09-09 14:11:37,860.0
2022-09-09 14:12:00,897.0
2022-09-09 14:12:24,405.0
2022-09-09 14:12:46,441.0
2022-09-09 14:13:09,366.0
2022-09-09 14:13:33,401.0
2022-09-09 14:13:48,962.0
2022-09-09 14:14:11,954.0
2022-09-09 14:14:34,966.0
2022-09-09 14:14:57,954.0
2022-09-09 14:15:19,521.0
2022-09-09 14:15:42,952.0
2022-09-09 14:16:04,899.0
2022-09-09 14:16:27,974.0
2022-09-09 14:16:49,960.0
2022-09-09 14:17:12,1027.0
2022-09-09 14:17:35,1027.0
2022-09-09 14:17:51,1033.0
2022-09-09 14:18:13,931.0
2022-09-09 14:18:36,931.0
2022-09-09 14:18:59,1055.0
2022-09-09 14:19:22,905.0
2022-09-09 14:19:45,923.0
2022-09-09 14:20:07,519.0
2022-09-09 14:20:30,458.0
2022-09-09 14:20:53,941.0
2022-09-09 14:21:15,921.0
2022-09-09 14:21:31,919.0
2022-09-09 14:21:54,974.0
2022-09-09 14:22:17,992.0
2022-09-09 14:22:40,1008.0
2022-09-09 14:23:03,970.0
2022-09-09 14:23:27,925.0
2022-09-09 14:23:50,933.0
2022-09-09 14:24:05,990.0
2022-09-09 14:24:29,921.0
2022-09-09 14:24:52,976.0
2022-09-09 14:25:15,972.0
2022-09-09 14:25:37,895.0
2022-09-09 14:26:01,947.0
2022-09-09 14:26:18,972.0
2022-09-09 14:26:41,941.0
2022-09-09 14:27:04,539.0
2022-09-09 14:27:28,868.0
2022-09-09 14:27:45,903.0
2022-09-09 14:28:10,419.0
2022-09-09 14:28:34,415.0
2022-09-09 14:28:57,382.0
2022-09-09 14:29:20,417.0
2022-09-09 14:29:36,551.0
2022-09-09 14:30:01,978.0
2022-09-09 14:30:26,510.0
2022-09-09 14:30:43,704.0
2022-09-09 14:31:08,510.0
2022-09-09 14:31:32,689.0
2022-09-09 14:31:56,917.0
2022-09-09 14:32:12,976.0
2022-09-09 14:32:35,891.0
2022-09-09 14:33:00,947.0
2022-09-09 14:33:24,281.0
2022-09-09 14:33:47,405.0
2022-09-09 14:34:02,326.0
2022-09-09 14:34:26,913.0
2022-09-09 14:34:49,943.0
2022-09-09 14:35:11,911.0
2022-09-09 14:35:33,952.0
2022-09-09 14:35:56,994.0
2022-09-09 14:36:20,1004.0
2022-09-09 14:36:43,1013.0
2022-09-09 14:37:05,1035.0
2022-09-09 14:37:21,527.0
2022-09-09 14:37:45,326.0
2022-09-09 14:38:10,988.0
2022-09-09 14:38:26,437.0
2022-09-09 14:38:52,-501.0
2022-09-09 14:39:17,954.0
2022-09-09 14:39:33,663.0
2022-09-09 14:39:58,228.0
2022-09-09 14:40:20,498.0
2022-09-09 14:40:44,903.0
2022-09-09 14:41:09,925.0
2022-09-09 14:41:24,954.0
2022-09-09 14:41:49,502.0
2022-09-09 14:42:14,494.0
2022-09-09 14:42:29,492.0
2022-09-09 14:42:54,931.0
2022-09-09 14:43:18,958.0
2022-09-09 14:43:41,962.0
2022-09-09 14:43:58,960.0
2022-09-09 14:44:22,929.0
2022-09-09 14:44:45,996.0
2022-09-09 14:45:07,1010.0
2022-09-09 14:45:30,992.0
2022-09-09 14:45:54,968.0
2022-09-09 14:46:17,954.0
2022-09-09 14:46:34,962.0
2022-09-09 14:46:57,945.0
2022-09-09 14:47:21,998.0
2022-09-09 14:47:46,958.0
2022-09-09 14:48:02,513.0
2022-09-09 14:48:27,765.0
