datetime,value
2022-10-05 10:14:54,86
2022-10-05 10:14:57,94
2022-10-05 10:14:59,126
2022-10-05 10:15:01,187
2022-10-05 10:15:03,183
2022-10-05 10:15:05,212
2022-10-05 10:15:07,179
2022-10-05 10:15:09,161
2022-10-05 10:15:12,153
2022-10-05 10:15:13,202
2022-10-05 10:15:16,-66
2022-10-05 10:15:19,-117
2022-10-05 10:15:20,-108
2022-10-05 10:15:22,-117
2022-10-05 10:15:24,-131
2022-10-05 10:15:26,-129
2022-10-05 10:15:29,-129
2022-10-05 10:15:32,-123
2022-10-05 10:15:34,-133
2022-10-05 10:15:36,-131
2022-10-05 10:15:38,-119
2022-10-05 10:15:40,-129
2022-10-05 10:15:42,-135
2022-10-05 10:15:44,-135
2022-10-05 10:15:46,-131
2022-10-05 10:15:49,-80
2022-10-05 10:15:51,598
2022-10-05 10:15:52,573
2022-10-05 10:15:55,990
2022-10-05 10:15:56,866
2022-10-05 10:15:58,756
2022-10-05 10:16:00,-334
2022-10-05 10:16:03,996
2022-10-05 10:16:05,1069
2022-10-05 10:16:07,1000
2022-10-05 10:16:08,990
2022-10-05 10:16:12,954
2022-10-05 10:16:13,952
2022-10-05 10:16:16,27
2022-10-05 10:16:17,-194
2022-10-05 10:16:19,-113
2022-10-05 10:16:21,-271
2022-10-05 10:16:24,-312
2022-10-05 10:16:26,-271
2022-10-05 10:16:27,-381
2022-10-05 10:16:29,-360
2022-10-05 10:16:31,-320
2022-10-05 10:16:34,-314
2022-10-05 10:16:36,-318
2022-10-05 10:16:38,-326
2022-10-05 10:16:40,-354
2022-10-05 10:16:43,-326
2022-10-05 10:16:45,-336
2022-10-05 10:16:47,-338
2022-10-05 10:16:49,-367
2022-10-05 10:16:52,-338
2022-10-05 10:16:53,-346
2022-10-05 10:16:56,-336
2022-10-05 10:16:57,-363
2022-10-05 10:17:00,-371
2022-10-05 10:17:01,-409
2022-10-05 10:17:04,-369
2022-10-05 10:17:06,-367
2022-10-05 10:17:09,-373
2022-10-05 10:17:11,-377
2022-10-05 10:17:14,-389
2022-10-05 10:17:15,-385
2022-10-05 10:17:18,-387
2022-10-05 10:17:20,-387
2022-10-05 10:17:22,-389
2022-10-05 10:17:24,-324
2022-10-05 10:17:26,-336
2022-10-05 10:17:28,-344
2022-10-05 10:17:30,-363
2022-10-05 10:17:32,-360
2022-10-05 10:17:34,-356
2022-10-05 10:17:36,-360
2022-10-05 10:17:38,-352
2022-10-05 10:17:40,-348
2022-10-05 10:17:42,-348
2022-10-05 10:17:44,-352
2022-10-05 10:17:46,-379
2022-10-05 10:17:48,-358
2022-10-05 10:17:50,-363
2022-10-05 10:17:52,-360
2022-10-05 10:17:54,-360
2022-10-05 10:17:56,-360
2022-10-05 10:17:58,-360
2022-10-05 10:17:59,-367
2022-10-05 10:18:01,-358
2022-10-05 10:18:03,-395
2022-10-05 10:18:05,-379
2022-10-05 10:18:08,-367
2022-10-05 10:18:09,-373
2022-10-05 10:18:11,-367
2022-10-05 10:18:13,-383
2022-10-05 10:18:15,-377
2022-10-05 10:18:17,-383
2022-10-05 10:18:20,-397
2022-10-05 10:18:22,-375
2022-10-05 10:18:24,-560
2022-10-05 10:18:26,-224
2022-10-05 10:18:29,-257
2022-10-05 10:18:30,-257
2022-10-05 10:18:32,-251
2022-10-05 10:18:34,-273
2022-10-05 10:18:36,-263
2022-10-05 10:18:39,-279
2022-10-05 10:18:41,-275
2022-10-05 10:18:43,-293
2022-10-05 10:18:45,-295
2022-10-05 10:18:47,-300
2022-10-05 10:18:51,-291
2022-10-05 10:18:52,-295
2022-10-05 10:18:55,-291
2022-10-05 10:18:57,-316
2022-10-05 10:18:59,-182
2022-10-05 10:19:02,-117
2022-10-05 10:19:03,-178
2022-10-05 10:19:05,-117
2022-10-05 10:19:07,-190
2022-10-05 10:19:09,-198
2022-10-05 10:19:11,-234
2022-10-05 10:19:13,-214
2022-10-05 10:19:15,-204
2022-10-05 10:19:17,-196
2022-10-05 10:19:19,-208
2022-10-05 10:19:21,-208
2022-10-05 10:19:24,-208
2022-10-05 10:19:26,-236
2022-10-05 10:19:28,-265
2022-10-05 10:19:29,-265
2022-10-05 10:19:32,-271
2022-10-05 10:19:35,-269
2022-10-05 10:19:36,-275
2022-10-05 10:19:39,-281
2022-10-05 10:19:41,-277
2022-10-05 10:19:43,-279
2022-10-05 10:19:45,-267
2022-10-05 10:19:47,-249
2022-10-05 10:19:50,-249
2022-10-05 10:19:51,-245
2022-10-05 10:19:53,-255
2022-10-05 10:19:55,-245
2022-10-05 10:19:58,-243
2022-10-05 10:20:00,-259
2022-10-05 10:20:02,-261
2022-10-05 10:20:04,-279
2022-10-05 10:20:07,-263
2022-10-05 10:20:08,-263
2022-10-05 10:20:11,-226
2022-10-05 10:20:13,-432
2022-10-05 10:20:15,-389
2022-10-05 10:20:16,-356
2022-10-05 10:20:18,-428
2022-10-05 10:20:20,-399
2022-10-05 10:20:22,-399
2022-10-05 10:20:25,-409
2022-10-05 10:20:26,195
2022-10-05 10:20:28,-365
2022-10-05 10:20:30,-98
2022-10-05 10:20:32,-165
2022-10-05 10:20:35,-214
2022-10-05 10:20:37,-64
2022-10-05 10:20:39,-163
2022-10-05 10:20:41,-186
