datetime,value
2022-11-01 15:34:40,789
2022-11-01 15:34:42,769
2022-11-01 15:34:43,813
2022-11-01 15:34:44,785
2022-11-01 15:34:45,809
2022-11-01 15:34:46,813
2022-11-01 15:34:47,813
2022-11-01 15:34:48,777
2022-11-01 15:34:50,826
2022-11-01 15:34:51,834
2022-11-01 15:34:53,840
2022-11-01 15:34:54,854
2022-11-01 15:34:56,832
2022-11-01 15:34:57,844
2022-11-01 15:34:57,834
2022-11-01 15:34:59,868
2022-11-01 15:35:00,860
2022-11-01 15:35:02,874
2022-11-01 15:35:03,813
2022-11-01 15:35:04,821
2022-11-01 15:35:06,828
2022-11-01 15:35:08,823
2022-11-01 15:35:09,848
2022-11-01 15:35:11,842
2022-11-01 15:35:12,864
2022-11-01 15:35:14,878
2022-11-01 15:35:15,870
2022-11-01 15:35:16,854
2022-11-01 15:35:18,864
2022-11-01 15:35:20,860
2022-11-01 15:35:22,860
2022-11-01 15:35:23,899
2022-11-01 15:35:24,854
2022-11-01 15:35:25,852
2022-11-01 15:35:26,886
2022-11-01 15:35:27,895
2022-11-01 15:35:28,895
2022-11-01 15:35:30,868
2022-11-01 15:35:30,868
2022-11-01 15:35:33,878
2022-11-01 15:35:34,874
2022-11-01 15:35:35,886
2022-11-01 15:35:36,876
2022-11-01 15:35:37,872
2022-11-01 15:35:38,870
2022-11-01 15:35:39,868
2022-11-01 15:35:40,785
2022-11-01 15:35:41,-43
2022-11-01 15:35:43,700
2022-11-01 15:35:44,722
2022-11-01 15:35:46,775
2022-11-01 15:35:47,801
2022-11-01 15:35:49,1069
2022-11-01 15:35:50,779
2022-11-01 15:35:51,405
2022-11-01 15:35:53,405
2022-11-01 15:35:54,608
2022-11-01 15:35:56,600
2022-11-01 15:35:59,592
2022-11-01 15:36:00,588
2022-11-01 15:36:02,598
2022-11-01 15:36:02,630
2022-11-01 15:36:03,602
2022-11-01 15:36:06,821
2022-11-01 15:36:07,803
2022-11-01 15:36:08,939
2022-11-01 15:36:09,277
2022-11-01 15:36:10,269
2022-11-01 15:36:11,94
2022-11-01 15:36:14,533
2022-11-01 15:36:15,663
2022-11-01 15:36:16,819
2022-11-01 15:36:17,803
2022-11-01 15:36:19,834
2022-11-01 15:36:20,657
2022-11-01 15:36:21,760
2022-11-01 15:36:22,622
2022-11-01 15:36:24,665
2022-11-01 15:36:25,234
2022-11-01 15:36:27,846
2022-11-01 15:36:29,968
2022-11-01 15:36:29,-72
2022-11-01 15:36:30,504
2022-11-01 15:36:32,297
2022-11-01 15:36:33,248
2022-11-01 15:36:33,248
2022-11-01 15:36:35,545
2022-11-01 15:36:36,537
2022-11-01 15:36:37,543
2022-11-01 15:36:39,539
2022-11-01 15:36:39,535
2022-11-01 15:36:41,523
2022-11-01 15:36:43,519
2022-11-01 15:36:43,557
2022-11-01 15:36:44,661
2022-11-01 15:36:46,870
2022-11-01 15:36:47,868
2022-11-01 15:36:49,826
2022-11-01 15:36:50,856
2022-11-01 15:36:51,791
2022-11-01 15:36:51,836
2022-11-01 15:36:52,836
2022-11-01 15:36:54,836
2022-11-01 15:36:55,844
2022-11-01 15:36:56,836
2022-11-01 15:36:57,834
2022-11-01 15:36:58,836
2022-11-01 15:37:00,840
2022-11-01 15:37:02,897
2022-11-01 15:37:03,860
2022-11-01 15:37:05,972
2022-11-01 15:37:07,972
2022-11-01 15:37:08,986
2022-11-01 15:37:11,994
2022-11-01 15:37:12,974
2022-11-01 15:37:14,945
2022-11-01 15:37:16,939
2022-11-01 15:37:17,929
2022-11-01 15:37:18,933
2022-11-01 15:37:19,925
2022-11-01 15:37:21,929
2022-11-01 15:37:22,921
2022-11-01 15:37:23,996
2022-11-01 15:37:25,984
2022-11-01 15:37:26,980
2022-11-01 15:37:27,988
2022-11-01 15:37:28,996
2022-11-01 15:37:29,984
2022-11-01 15:37:31,976
2022-11-01 15:37:32,992
2022-11-01 15:37:34,984
2022-11-01 15:37:35,984
2022-11-01 15:37:36,990
2022-11-01 15:37:37,980
2022-11-01 15:37:39,984
2022-11-01 15:37:40,988
2022-11-01 15:37:42,974
2022-11-01 15:37:43,984
2022-11-01 15:37:44,994
2022-11-01 15:37:45,980
2022-11-01 15:37:46,984
2022-11-01 15:37:48,982
2022-11-01 15:37:49,988
2022-11-01 15:37:50,982
2022-11-01 15:37:52,978
2022-11-01 15:37:53,982
2022-11-01 15:37:55,980
2022-11-01 15:37:57,992
2022-11-01 15:37:57,980
2022-11-01 15:38:00,982
2022-11-01 15:38:00,978
2022-11-01 15:38:01,982
2022-11-01 15:38:03,984
2022-11-01 15:38:04,988
2022-11-01 15:38:04,990
2022-11-01 15:38:06,982
2022-11-01 15:38:07,986
2022-11-01 15:38:08,980
2022-11-01 15:38:10,984
2022-11-01 15:38:11,1015
2022-11-01 15:38:12,1004
2022-11-01 15:38:14,1006
2022-11-01 15:38:15,984
2022-11-01 15:38:18,980
2022-11-01 15:38:20,978
2022-11-01 15:38:21,612
2022-11-01 15:38:22,610
2022-11-01 15:38:23,736
2022-11-01 15:38:25,742
2022-11-01 15:38:26,748
2022-11-01 15:38:27,742
2022-11-01 15:38:29,742
2022-11-01 15:38:30,750
2022-11-01 15:38:31,744
2022-11-01 15:38:32,742
2022-11-01 15:38:33,752
2022-11-01 15:38:34,738
2022-11-01 15:38:35,754
2022-11-01 15:38:36,754
2022-11-01 15:38:39,754
2022-11-01 15:38:40,758
2022-11-01 15:38:41,763
2022-11-01 15:38:43,752
2022-11-01 15:38:45,756
2022-11-01 15:38:46,750
2022-11-01 15:38:47,754
2022-11-01 15:38:49,783
2022-11-01 15:38:50,765
2022-11-01 15:38:52,758
2022-11-01 15:38:53,750
2022-11-01 15:38:54,765
2022-11-01 15:38:56,765
2022-11-01 15:38:58,767
2022-11-01 15:38:59,754
2022-11-01 15:39:00,311
2022-11-01 15:39:02,458
2022-11-01 15:39:02,-304
2022-11-01 15:39:04,399
2022-11-01 15:39:06,252
2022-11-01 15:39:07,179
2022-11-01 15:39:09,232
2022-11-01 15:39:10,301
2022-11-01 15:39:11,216
2022-11-01 15:39:14,256
2022-11-01 15:39:16,260
2022-11-01 15:39:17,265
2022-11-01 15:39:17,236
2022-11-01 15:39:20,720
2022-11-01 15:39:21,102
2022-11-01 15:39:22,267
2022-11-01 15:39:23,484
2022-11-01 15:39:24,399
2022-11-01 15:39:26,399
2022-11-01 15:39:27,413
2022-11-01 15:39:29,423
2022-11-01 15:39:30,417
2022-11-01 15:39:31,419
2022-11-01 15:39:32,429
2022-11-01 15:39:34,407
2022-11-01 15:39:35,305
2022-11-01 15:39:37,523
2022-11-01 15:39:38,580
2022-11-01 15:39:39,584
2022-11-01 15:39:40,584
2022-11-01 15:39:41,277
2022-11-01 15:39:42,647
2022-11-01 15:39:43,663
2022-11-01 15:39:45,533
2022-11-01 15:39:46,663
2022-11-01 15:39:47,876
2022-11-01 15:39:48,683
2022-11-01 15:39:51,580
2022-11-01 15:39:53,738
2022-11-01 15:39:54,535
2022-11-01 15:39:56,891
2022-11-01 15:39:57,1031
2022-11-01 15:39:57,860
2022-11-01 15:39:59,893
2022-11-01 15:40:01,828
2022-11-01 15:40:02,821
2022-11-01 15:40:04,815
2022-11-01 15:40:06,592
