datetime,value
2022/9/21 12:47,-918
2022/9/21 12:48,-305
2022/9/21 12:48,-418
2022/9/21 12:48,-1090
2022/9/21 12:49,-601
2022/9/21 12:49,-438
2022/9/21 12:50,-349
2022/9/21 12:50,61
2022/9/21 12:50,24
2022/9/21 12:51,-355
2022/9/21 12:51,-148
2022/9/21 12:51,-209
2022/9/21 12:52,-638
2022/9/21 12:52,-151
2022/9/21 12:53,-296
2022/9/21 12:53,-430
2022/9/21 12:53,-308
2022/9/21 12:54,-507
2022/9/21 12:54,-548
2022/9/21 12:54,-937
2022/9/21 12:55,-200
2022/9/21 12:55,-353
2022/9/21 12:56,-276
2022/9/21 12:56,112
2022/9/21 12:56,-845
2022/9/21 12:57,-105
2022/9/21 12:57,100
2022/9/21 12:58,-687
2022/9/21 12:58,-560
2022/9/21 12:58,181
2022/9/21 12:59,-418
2022/9/21 12:59,-143
2022/9/21 12:59,101
2022/9/21 13:00,-584
2022/9/21 13:00,-526
2022/9/21 13:01,-658
2022/9/21 13:01,83
2022/9/21 13:01,122
2022/9/21 13:02,176
2022/9/21 13:02,52
2022/9/21 13:02,-479
2022/9/21 13:03,-34
2022/9/21 13:03,-42
2022/9/21 13:03,-155
2022/9/21 13:04,-920
2022/9/21 13:04,-80
2022/9/21 13:05,90
2022/9/21 13:05,90
2022/9/21 13:05,-643
2022/9/21 13:06,-317
2022/9/21 13:06,-974
2022/9/21 13:07,-647
2022/9/21 13:07,-553
2022/9/21 13:07,-219
2022/9/21 13:08,-649
2022/9/21 13:08,-166
2022/9/21 13:08,-101
2022/9/21 13:09,-264
2022/9/21 13:09,-365
2022/9/21 13:10,60
2022/9/21 13:10,-93
2022/9/21 13:10,-29
2022/9/21 13:11,128
2022/9/21 13:11,-63
2022/9/21 13:11,-274
2022/9/21 13:12,-244
2022/9/21 13:12,-43
2022/9/21 13:13,-112
2022/9/21 13:13,-162
2022/9/21 13:13,60
2022/9/21 13:14,-442
2022/9/21 13:14,-542
2022/9/21 13:15,-645
2022/9/21 13:15,-299
2022/9/21 13:15,-366
2022/9/21 13:16,-635
2022/9/21 13:16,-887
2022/9/21 13:16,-196
2022/9/21 13:17,155
2022/9/21 13:17,133
2022/9/21 13:18,-263
2022/9/21 13:18,-292
2022/9/21 13:18,-241
2022/9/21 13:19,-600
2022/9/21 13:19,143
2022/9/21 13:20,-607
2022/9/21 13:20,66
2022/9/21 13:20,-223
2022/9/21 13:21,-247
2022/9/21 13:21,-399
2022/9/21 13:21,-897
2022/9/21 13:22,-296
2022/9/21 13:22,-535
2022/9/21 13:22,-182
2022/9/21 13:23,-421
2022/9/21 13:23,19
2022/9/21 13:24,-555
2022/9/21 13:24,40
2022/9/21 13:24,-188
2022/9/21 13:25,-40
2022/9/21 13:25,44
2022/9/21 13:26,-38
2022/9/21 13:26,-413
2022/9/21 13:26,-412
2022/9/21 13:27,-134
2022/9/21 13:27,-154
2022/9/21 13:27,-187
2022/9/21 13:28,-210
2022/9/21 13:28,-75
2022/9/21 13:29,-41
2022/9/21 13:29,-402
2022/9/21 13:29,-105
2022/9/21 13:30,-165
2022/9/21 13:30,-320
2022/9/21 13:31,-176
2022/9/21 13:31,-82
2022/9/21 13:31,-364
2022/9/21 13:32,-58
2022/9/21 13:32,-78
2022/9/21 13:32,13
2022/9/21 13:33,-52
2022/9/21 13:33,14
2022/9/21 13:34,-16
2022/9/21 13:34,-130
2022/9/21 13:34,-32
2022/9/21 13:35,-6
2022/9/21 13:35,-34
2022/9/21 13:35,-19
2022/9/21 13:36,-56
2022/9/21 13:36,-137
2022/9/21 13:37,-44
2022/9/21 13:37,39
2022/9/21 13:37,0
2022/9/21 13:38,-563
2022/9/21 13:38,59
2022/9/21 13:38,59
2022/9/21 13:39,20
2022/9/21 13:39,-72
2022/9/21 13:40,48
2022/9/21 13:40,-15
2022/9/21 13:40,-18
2022/9/21 13:41,24
2022/9/21 13:41,36
2022/9/21 13:41,23
2022/9/21 13:42,25
2022/9/21 13:42,20
2022/9/21 13:43,37
2022/9/21 13:43,61
2022/9/21 13:43,31
2022/9/21 13:44,34
2022/9/21 13:44,0
2022/9/21 13:45,33
2022/9/21 13:45,42
2022/9/21 13:45,51
2022/9/21 13:46,44
2022/9/21 13:46,-178
2022/9/21 13:46,47
2022/9/21 13:47,68
2022/9/21 13:47,45
2022/9/21 13:48,45
2022/9/21 13:48,49
2022/9/21 13:48,0
2022/9/21 13:49,20
2022/9/21 13:49,19
2022/9/21 13:50,54
2022/9/21 13:50,29
2022/9/21 13:50,48
2022/9/21 13:51,58
2022/9/21 13:51,49
2022/9/21 13:51,43
2022/9/21 13:52,52
2022/9/21 13:52,59
2022/9/21 13:53,85
2022/9/21 13:53,85
2022/9/21 13:53,71
2022/9/21 13:54,88
2022/9/21 13:54,80
2022/9/21 13:55,79
2022/9/21 13:55,10
2022/9/21 13:55,-122
2022/9/21 13:56,65
2022/9/21 13:56,34
2022/9/21 13:56,55
2022/9/21 13:57,37
