datetime,value
2022-10-05 10:14:54,-625
2022-10-05 10:14:56,-447
2022-10-05 10:14:58,-437
2022-10-05 10:15:01,-441
2022-10-05 10:15:02,-441
2022-10-05 10:15:04,-433
2022-10-05 10:15:06,-396
2022-10-05 10:15:08,-409
2022-10-05 10:15:10,-409
2022-10-05 10:15:12,-387
2022-10-05 10:15:14,-380
2022-10-05 10:15:17,-352
2022-10-05 10:15:19,-340
2022-10-05 10:15:21,-356
2022-10-05 10:15:24,-358
2022-10-05 10:15:25,-350
2022-10-05 10:15:27,-356
2022-10-05 10:15:29,-347
2022-10-05 10:15:33,-353
2022-10-05 10:15:34,-358
2022-10-05 10:15:36,-369
2022-10-05 10:15:39,-349
2022-10-05 10:15:41,-344
2022-10-05 10:15:43,-347
2022-10-05 10:15:45,-357
2022-10-05 10:15:47,-399
2022-10-05 10:15:50,-420
2022-10-05 10:15:52,-414
2022-10-05 10:15:53,-477
2022-10-05 10:15:56,-94
2022-10-05 10:15:57,-516
2022-10-05 10:15:59,-196
2022-10-05 10:16:01,-88
2022-10-05 10:16:04,29
2022-10-05 10:16:05,29
2022-10-05 10:16:08,-21
2022-10-05 10:16:10,-535
2022-10-05 10:16:12,-141
2022-10-05 10:16:15,-472
2022-10-05 10:16:17,-735
2022-10-05 10:16:18,-736
2022-10-05 10:16:20,-673
2022-10-05 10:16:23,-749
2022-10-05 10:16:24,-699
2022-10-05 10:16:27,-734
2022-10-05 10:16:28,-741
2022-10-05 10:16:31,-736
2022-10-05 10:16:33,-734
2022-10-05 10:16:35,-729
2022-10-05 10:16:38,-721
2022-10-05 10:16:40,-733
2022-10-05 10:16:42,-728
2022-10-05 10:16:45,-745
2022-10-05 10:16:46,-735
2022-10-05 10:16:48,-728
2022-10-05 10:16:50,-725
2022-10-05 10:16:53,-738
2022-10-05 10:16:55,-730
2022-10-05 10:16:57,-734
2022-10-05 10:16:59,-740
2022-10-05 10:17:01,-713
2022-10-05 10:17:03,-724
2022-10-05 10:17:05,-727
2022-10-05 10:17:08,-732
2022-10-05 10:17:10,-728
2022-10-05 10:17:12,-732
2022-10-05 10:17:14,-731
2022-10-05 10:17:16,-710
2022-10-05 10:17:19,-730
2022-10-05 10:17:21,-738
2022-10-05 10:17:23,-726
2022-10-05 10:17:25,-733
2022-10-05 10:17:27,-722
2022-10-05 10:17:29,-713
2022-10-05 10:17:31,-735
2022-10-05 10:17:33,-727
2022-10-05 10:17:35,-730
2022-10-05 10:17:37,-724
2022-10-05 10:17:39,-720
2022-10-05 10:17:41,-732
2022-10-05 10:17:43,-734
2022-10-05 10:17:45,-738
2022-10-05 10:17:47,-741
2022-10-05 10:17:49,-724
2022-10-05 10:17:51,-741
2022-10-05 10:17:53,-730
2022-10-05 10:17:55,-731
2022-10-05 10:17:57,-729
2022-10-05 10:17:59,-745
2022-10-05 10:18:01,-733
2022-10-05 10:18:03,-737
2022-10-05 10:18:04,-736
2022-10-05 10:18:07,-729
2022-10-05 10:18:08,-732
2022-10-05 10:18:10,-716
2022-10-05 10:18:12,-730
2022-10-05 10:18:14,-754
2022-10-05 10:18:16,-725
2022-10-05 10:18:19,-726
2022-10-05 10:18:21,-734
2022-10-05 10:18:23,-713
2022-10-05 10:18:25,-745
2022-10-05 10:18:27,-726
2022-10-05 10:18:29,-726
2022-10-05 10:18:31,-748
2022-10-05 10:18:34,-733
2022-10-05 10:18:36,-723
2022-10-05 10:18:38,-731
2022-10-05 10:18:40,-740
2022-10-05 10:18:42,-728
2022-10-05 10:18:44,-733
2022-10-05 10:18:46,-724
2022-10-05 10:18:49,-735
2022-10-05 10:18:52,-732
2022-10-05 10:18:53,-725
2022-10-05 10:18:56,-735
2022-10-05 10:18:58,-709
2022-10-05 10:19:00,-658
2022-10-05 10:19:02,-667
2022-10-05 10:19:05,-650
2022-10-05 10:19:06,-648
2022-10-05 10:19:09,-647
2022-10-05 10:19:10,-657
2022-10-05 10:19:11,-673
2022-10-05 10:19:14,-671
2022-10-05 10:19:16,-646
2022-10-05 10:19:18,-652
2022-10-05 10:19:20,-659
2022-10-05 10:19:23,-648
2022-10-05 10:19:25,-650
2022-10-05 10:19:27,-674
2022-10-05 10:19:29,-667
2022-10-05 10:19:31,-672
2022-10-05 10:19:33,-674
2022-10-05 10:19:36,-684
2022-10-05 10:19:38,-674
2022-10-05 10:19:40,-668
2022-10-05 10:19:42,-683
2022-10-05 10:19:44,-685
2022-10-05 10:19:46,-675
2022-10-05 10:19:49,-666
2022-10-05 10:19:51,-672
2022-10-05 10:19:52,-667
2022-10-05 10:19:54,-667
2022-10-05 10:19:57,-681
2022-10-05 10:19:59,-661
2022-10-05 10:20:01,-683
2022-10-05 10:20:03,-690
2022-10-05 10:20:05,-678
2022-10-05 10:20:07,-672
2022-10-05 10:20:11,-660
2022-10-05 10:20:12,-703
2022-10-05 10:20:14,-661
2022-10-05 10:20:15,-659
2022-10-05 10:20:18,-658
2022-10-05 10:20:20,-658
2022-10-05 10:20:22,-669
2022-10-05 10:20:23,-661
2022-10-05 10:20:26,-658
2022-10-05 10:20:27,-652
2022-10-05 10:20:29,-676
2022-10-05 10:20:31,-274
2022-10-05 10:20:33,-547
2022-10-05 10:20:36,-548
2022-10-05 10:20:38,-592
2022-10-05 10:20:41,-616
2022-10-05 10:20:42,-635
2022-10-05 10:20:44,-640
2022-10-05 10:20:47,-623
2022-10-05 10:20:48,-629
2022-10-05 10:20:51,-637
2022-10-05 10:20:53,-640
2022-10-05 10:20:54,-612
2022-10-05 10:20:57,-628
2022-10-05 10:20:59,-642
2022-10-05 10:21:00,-639
2022-10-05 10:21:02,-639
2022-10-05 10:21:05,-649
2022-10-05 10:21:07,-652
2022-10-05 10:21:09,-657
2022-10-05 10:21:10,-652
2022-10-05 10:21:13,-647
2022-10-05 10:21:15,-646
2022-10-05 10:21:17,-653
2022-10-05 10:21:19,-635
2022-10-05 10:21:21,-650
2022-10-05 10:21:24,-659
2022-10-05 10:21:25,-642
2022-10-05 10:21:28,-649
2022-10-05 10:21:29,-637
2022-10-05 10:21:32,-652
2022-10-05 10:21:34,-661
2022-10-05 10:21:36,-673
2022-10-05 10:21:39,-673
2022-10-05 10:21:40,-657
2022-10-05 10:21:42,-657
2022-10-05 10:21:44,-658
2022-10-05 10:21:46,-662
2022-10-05 10:21:49,-669
2022-10-05 10:21:51,-674
2022-10-05 10:21:53,-666
2022-10-05 10:21:56,-667
2022-10-05 10:21:58,-675
2022-10-05 10:22:00,-658
2022-10-05 10:22:02,-677
2022-10-05 10:22:04,-670
2022-10-05 10:22:07,-667
2022-10-05 10:22:08,-677
2022-10-05 10:22:11,-672
2022-10-05 10:22:12,-668
2022-10-05 10:22:14,-664
2022-10-05 10:22:16,-680
2022-10-05 10:22:19,-671
2022-10-05 10:22:21,-677
2022-10-05 10:22:24,-675
2022-10-05 10:22:25,-679
2022-10-05 10:22:28,-677
2022-10-05 10:22:30,-670
2022-10-05 10:22:32,-665
2022-10-05 10:22:34,-678
2022-10-05 10:22:35,-667
2022-10-05 10:22:37,-668
2022-10-05 10:22:40,-664
2022-10-05 10:22:42,-669
2022-10-05 10:22:44,-668
2022-10-05 10:22:46,-676
2022-10-05 10:22:48,-645
2022-10-05 10:22:50,-678
2022-10-05 10:22:53,-670
2022-10-05 10:22:55,-664
2022-10-05 10:22:57,-653
2022-10-05 10:23:00,-650
2022-10-05 10:23:02,-681
2022-10-05 10:23:04,-676
2022-10-05 10:23:06,-664
2022-10-05 10:23:08,-670
2022-10-05 10:23:11,-661
2022-10-05 10:23:13,-663
2022-10-05 10:23:15,-655
2022-10-05 10:23:18,-654
2022-10-05 10:23:20,-677
2022-10-05 10:23:22,-666
2022-10-05 10:23:25,-666
2022-10-05 10:23:27,-670
2022-10-05 10:23:29,-677
2022-10-05 10:23:30,-660
2022-10-05 10:23:33,-620
2022-10-05 10:23:36,-643
2022-10-05 10:23:38,-640
2022-10-05 10:23:40,-642
2022-10-05 10:23:42,-640
2022-10-05 10:23:44,-635
2022-10-05 10:23:46,-643
2022-10-05 10:23:48,-649
2022-10-05 10:23:51,-652
2022-10-05 10:23:53,-651
2022-10-05 10:23:55,-652
2022-10-05 10:23:58,-644
2022-10-05 10:24:01,-722
2022-10-05 10:24:03,-702
2022-10-05 10:24:05,-644
2022-10-05 10:24:07,-220
2022-10-05 10:24:09,-546
2022-10-05 10:24:30,-517
2022-10-05 10:24:32,-168
2022-10-05 10:24:34,-134
2022-10-05 10:24:37,-325
2022-10-05 10:24:38,-361
2022-10-05 10:24:40,-247
2022-10-05 10:24:43,-383
2022-10-05 10:24:45,149
2022-10-05 10:24:47,130
2022-10-05 10:24:49,34
2022-10-05 10:24:51,101
2022-10-05 10:24:53,73
2022-10-05 10:24:55,-66
2022-10-05 10:24:57,86
2022-10-05 10:25:00,57
2022-10-05 10:25:02,-3
2022-10-05 10:25:04,-102
2022-10-05 10:25:07,165
2022-10-05 10:25:08,-300
2022-10-05 10:25:10,-204
2022-10-05 10:25:13,-226
2022-10-05 10:25:15,-233
2022-10-05 10:25:17,-210
2022-10-05 10:25:19,-747
2022-10-05 10:25:21,-574
2022-10-05 10:25:24,-474
2022-10-05 10:25:25,-513
2022-10-05 10:25:27,-140
2022-10-05 10:25:29,193
2022-10-05 10:25:32,193
2022-10-05 10:25:35,77
2022-10-05 10:25:37,-54
2022-10-05 10:25:40,128
2022-10-05 10:25:42,81
2022-10-05 10:25:44,72
2022-10-05 10:25:48,69
