datetime,value
2022-10-20 11:52:50,-860
2022-10-20 11:52:51,-280
2022-10-20 11:52:53,-76
2022-10-20 11:52:54,-328
2022-10-20 11:52:55,-241
2022-10-20 11:52:57,-120
2022-10-20 11:52:58,37
2022-10-20 11:52:59,195
2022-10-20 11:53:00,161
2022-10-20 11:53:01,165
2022-10-20 11:53:02,148
2022-10-20 11:53:05,140
2022-10-20 11:53:05,143
2022-10-20 11:53:07,207
2022-10-20 11:53:08,130
2022-10-20 11:53:09,239
2022-10-20 11:53:11,-456
2022-10-20 11:53:12,-491
2022-10-20 11:53:14,-394
2022-10-20 11:53:16,-666
2022-10-20 11:53:16,-815
2022-10-20 11:53:17,-69
2022-10-20 11:53:19,-228
2022-10-20 11:53:20,-248
2022-10-20 11:53:21,14
2022-10-20 11:53:22,24
2022-10-20 11:53:23,-592
2022-10-20 11:53:25,-889
2022-10-20 11:53:26,-650
2022-10-20 11:53:27,-718
2022-10-20 11:53:29,-847
2022-10-20 11:53:30,-965
2022-10-20 11:53:31,-603
2022-10-20 11:53:33,-553
2022-10-20 11:53:34,-610
2022-10-20 11:53:35,-681
2022-10-20 11:53:36,82
2022-10-20 11:53:37,10
2022-10-20 11:53:39,-21
2022-10-20 11:53:39,-35
2022-10-20 11:53:41,-262
2022-10-20 11:53:42,-237
2022-10-20 11:53:43,-65
2022-10-20 11:53:44,-226
2022-10-20 11:53:46,-114
2022-10-20 11:53:47,266
2022-10-20 11:53:48,-895
2022-10-20 11:53:50,-189
2022-10-20 11:53:52,-616
2022-10-20 11:53:53,-940
2022-10-20 11:53:55,-645
2022-10-20 11:53:56,-978
2022-10-20 11:53:57,-944
2022-10-20 11:53:59,-615
2022-10-20 11:54:01,-842
2022-10-20 11:54:02,-520
2022-10-20 11:54:03,-538
2022-10-20 11:54:04,-701
2022-10-20 11:54:06,-674
2022-10-20 11:54:06,-708
2022-10-20 11:54:09,-98
2022-10-20 11:54:10,-560
2022-10-20 11:54:11,-209
2022-10-20 11:54:13,190
2022-10-20 11:54:14,-52
2022-10-20 11:54:15,287
2022-10-20 11:54:16,-57
2022-10-20 11:54:17,-370
2022-10-20 11:54:18,101
2022-10-20 11:54:20,-232
2022-10-20 11:54:22,72
2022-10-20 11:54:23,-286
2022-10-20 11:54:25,-116
2022-10-20 11:54:26,57
2022-10-20 11:54:28,-70
2022-10-20 11:54:29,-133
2022-10-20 11:54:30,37
2022-10-20 11:54:32,-67
2022-10-20 11:54:32,-19
2022-10-20 11:54:34,110
2022-10-20 11:54:36,228
2022-10-20 11:54:37,-1017
2022-10-20 11:54:39,-931
2022-10-20 11:54:40,-603
2022-10-20 11:54:41,-468
2022-10-20 11:54:42,220
2022-10-20 11:54:43,-757
2022-10-20 11:54:44,227
2022-10-20 11:54:45,-523
2022-10-20 11:54:47,-771
2022-10-20 11:54:49,-743
2022-10-20 11:54:50,-555
2022-10-20 11:54:51,-844
2022-10-20 11:54:52,-590
2022-10-20 11:54:54,-714
2022-10-20 11:54:55,-831
2022-10-20 11:54:56,-71
2022-10-20 11:54:58,-682
2022-10-20 11:54:59,-553
2022-10-20 11:55:00,-24
2022-10-20 11:55:01,215
2022-10-20 11:55:02,-941
2022-10-20 11:55:05,-817
2022-10-20 11:55:07,-89
2022-10-20 11:55:08,-969
2022-10-20 11:55:11,-1008
2022-10-20 11:55:14,-957
2022-10-20 11:55:16,-866
2022-10-20 11:55:17,-384
2022-10-20 11:55:18,-904
2022-10-20 11:55:19,-949
2022-10-20 11:55:21,-931
2022-10-20 11:55:22,-930
2022-10-20 11:55:23,-920
2022-10-20 11:55:25,-231
2022-10-20 11:55:26,-456
2022-10-20 11:55:27,-214
2022-10-20 11:55:29,-276
2022-10-20 11:55:31,168
2022-10-20 11:55:32,231
2022-10-20 11:55:33,228
2022-10-20 11:55:35,265
2022-10-20 11:55:36,182
2022-10-20 11:55:37,133
2022-10-20 11:55:38,128
2022-10-20 11:55:39,-17
2022-10-20 11:55:41,141
2022-10-20 11:55:42,278
2022-10-20 11:55:43,111
2022-10-20 11:55:44,62
2022-10-20 11:55:46,68
2022-10-20 11:55:47,348
2022-10-20 11:55:48,-6
2022-10-20 11:55:49,-352
2022-10-20 11:55:51,-596
2022-10-20 11:55:52,229
2022-10-20 11:55:54,-58
2022-10-20 11:55:56,-96
2022-10-20 11:55:57,207
2022-10-20 11:55:59,-150
2022-10-20 11:56:00,297
2022-10-20 11:56:02,-13
2022-10-20 11:56:04,-223
2022-10-20 11:56:06,-814
2022-10-20 11:56:07,-391
2022-10-20 11:56:10,126
2022-10-20 11:56:11,-314
2022-10-20 11:56:12,-490
2022-10-20 11:56:14,-459
2022-10-20 11:56:15,-759
2022-10-20 11:56:17,-887
2022-10-20 11:56:18,-397
2022-10-20 11:56:19,-658
2022-10-20 11:56:21,-433
2022-10-20 11:56:22,-257
2022-10-20 11:56:23,-490
2022-10-20 11:56:24,-163
2022-10-20 11:56:26,-54
2022-10-20 11:56:27,-822
2022-10-20 11:56:28,-702
2022-10-20 11:56:30,-564
2022-10-20 11:56:31,-575
2022-10-20 11:56:32,-738
2022-10-20 11:56:33,-678
2022-10-20 11:56:35,-493
2022-10-20 11:56:36,-741
2022-10-20 11:56:37,-306
2022-10-20 11:56:38,-523
2022-10-20 11:56:39,-327
2022-10-20 11:56:39,-479
2022-10-20 11:56:41,-763
2022-10-20 11:56:43,-675
2022-10-20 11:56:44,-937
2022-10-20 11:56:44,-426
2022-10-20 11:56:46,-335
2022-10-20 11:56:49,-264
2022-10-20 11:56:50,-60
2022-10-20 11:56:52,-22
2022-10-20 11:56:54,-468
2022-10-20 11:56:55,-455
2022-10-20 11:56:57,105
2022-10-20 11:56:59,82
2022-10-20 11:57:00,155
2022-10-20 11:57:01,-691
2022-10-20 11:57:03,-837
2022-10-20 11:57:04,-687
2022-10-20 11:57:05,-960
2022-10-20 11:57:06,-889
2022-10-20 11:57:07,-407
2022-10-20 11:57:09,-820
2022-10-20 11:57:09,-479
2022-10-20 11:57:11,-343
2022-10-20 11:57:12,-372
2022-10-20 11:57:13,-922
2022-10-20 11:57:14,-577
2022-10-20 11:57:15,-616
2022-10-20 11:57:16,-51
2022-10-20 11:57:18,194
2022-10-20 11:57:19,-336
2022-10-20 11:57:20,-592
2022-10-20 11:57:21,-674
2022-10-20 11:57:22,61
2022-10-20 11:57:23,311
2022-10-20 11:57:25,107
2022-10-20 11:57:26,191
