datetime,value
2022/9/21 12:47,-610
2022/9/21 12:48,-625
2022/9/21 12:48,-476
2022/9/21 12:48,-519
2022/9/21 12:49,-370
2022/9/21 12:49,121
2022/9/21 12:50,-387
2022/9/21 12:50,143
2022/9/21 12:50,-251
2022/9/21 12:51,431
2022/9/21 12:51,321
2022/9/21 12:51,339
2022/9/21 12:52,-787
2022/9/21 12:52,-689
2022/9/21 12:53,-799
2022/9/21 12:53,-779
2022/9/21 12:53,-522
2022/9/21 12:54,-658
2022/9/21 12:54,-740
2022/9/21 12:54,201
2022/9/21 12:55,289
2022/9/21 12:55,353
2022/9/21 12:56,168
2022/9/21 12:56,94
2022/9/21 12:56,-617
2022/9/21 12:57,96
2022/9/21 12:57,-269
2022/9/21 12:58,123
2022/9/21 12:58,386
2022/9/21 12:58,105
2022/9/21 12:59,221
2022/9/21 12:59,380
2022/9/21 12:59,220
2022/9/21 13:00,403
2022/9/21 13:00,321
2022/9/21 13:00,-743
2022/9/21 13:01,-376
2022/9/21 13:01,29
2022/9/21 13:02,114
2022/9/21 13:02,410
2022/9/21 13:02,207
2022/9/21 13:03,430
2022/9/21 13:03,141
2022/9/21 13:04,-669
2022/9/21 13:04,-697
2022/9/21 13:04,-565
2022/9/21 13:05,368
2022/9/21 13:05,-52
2022/9/21 13:05,425
2022/9/21 13:06,310
2022/9/21 13:06,-226
2022/9/21 13:07,-142
2022/9/21 13:07,21
2022/9/21 13:07,-515
2022/9/21 13:08,-188
2022/9/21 13:08,311
2022/9/21 13:08,-236
2022/9/21 13:09,-411
2022/9/21 13:09,-641
2022/9/21 13:10,124
2022/9/21 13:10,-453
2022/9/21 13:10,145
2022/9/21 13:11,-58
2022/9/21 13:11,-289
2022/9/21 13:11,-546
2022/9/21 13:12,397
2022/9/21 13:12,322
2022/9/21 13:13,364
2022/9/21 13:13,308
2022/9/21 13:13,-86
2022/9/21 13:14,-234
2022/9/21 13:14,-591
2022/9/21 13:14,-581
2022/9/21 13:15,-381
2022/9/21 13:15,-574
2022/9/21 13:16,-761
2022/9/21 13:16,-578
2022/9/21 13:16,-726
2022/9/21 13:17,-91
2022/9/21 13:17,-194
2022/9/21 13:18,-772
2022/9/21 13:18,-678
2022/9/21 13:18,402
2022/9/21 13:19,-982
2022/9/21 13:19,-155
2022/9/21 13:20,-776
2022/9/21 13:20,95
2022/9/21 13:20,144
2022/9/21 13:21,213
2022/9/21 13:21,192
2022/9/21 13:21,-180
2022/9/21 13:22,-658
2022/9/21 13:22,28
2022/9/21 13:22,84
2022/9/21 13:23,184
2022/9/21 13:23,-471
2022/9/21 13:24,280
2022/9/21 13:24,-9
2022/9/21 13:24,-553
2022/9/21 13:25,-460
2022/9/21 13:25,56
2022/9/21 13:26,219
2022/9/21 13:26,311
2022/9/21 13:26,193
2022/9/21 13:27,-61
2022/9/21 13:27,-118
2022/9/21 13:27,-86
2022/9/21 13:28,-89
2022/9/21 13:28,-118
2022/9/21 13:29,-303
2022/9/21 13:29,-649
2022/9/21 13:29,421
2022/9/21 13:30,215
2022/9/21 13:30,-490
2022/9/21 13:31,29
2022/9/21 13:31,-105
2022/9/21 13:31,-656
2022/9/21 13:32,41
2022/9/21 13:32,44
2022/9/21 13:32,-163
2022/9/21 13:33,-331
2022/9/21 13:33,158
2022/9/21 13:34,146
2022/9/21 13:34,133
2022/9/21 13:34,125
2022/9/21 13:35,139
2022/9/21 13:35,115
2022/9/21 13:35,108
2022/9/21 13:36,232
2022/9/21 13:36,204
2022/9/21 13:37,171
2022/9/21 13:37,173
2022/9/21 13:37,153
2022/9/21 13:38,-533
2022/9/21 13:38,-50
2022/9/21 13:38,-30
2022/9/21 13:39,89
2022/9/21 13:39,244
2022/9/21 13:40,25
2022/9/21 13:40,139
2022/9/21 13:40,181
2022/9/21 13:41,-18
2022/9/21 13:41,-62
2022/9/21 13:41,-53
2022/9/21 13:42,25
2022/9/21 13:42,-51
2022/9/21 13:43,-27
2022/9/21 13:43,-37
2022/9/21 13:43,-53
2022/9/21 13:44,-71
2022/9/21 13:44,175
2022/9/21 13:45,-57
2022/9/21 13:45,2
2022/9/21 13:45,20
2022/9/21 13:46,-78
2022/9/21 13:46,-507
2022/9/21 13:46,-41
2022/9/21 13:47,-47
2022/9/21 13:47,-4
2022/9/21 13:48,-53
2022/9/21 13:48,74
2022/9/21 13:48,71
2022/9/21 13:49,76
2022/9/21 13:49,67
2022/9/21 13:50,38
2022/9/21 13:50,123
2022/9/21 13:50,40
2022/9/21 13:51,47
2022/9/21 13:51,36
2022/9/21 13:51,49
2022/9/21 13:52,43
2022/9/21 13:52,47
2022/9/21 13:53,-79
2022/9/21 13:53,-77
2022/9/21 13:53,-70
2022/9/21 13:54,-61
2022/9/21 13:54,-99
2022/9/21 13:55,-24
2022/9/21 13:55,-367
2022/9/21 13:55,-511
2022/9/21 13:56,-106
2022/9/21 13:56,168
2022/9/21 13:56,80
2022/9/21 13:57,32
2022/9/21 13:57,81
2022/9/21 13:58,26
2022/9/21 13:58,57
2022/9/21 13:58,72
2022/9/21 13:59,511
2022/9/21 13:59,443
2022/9/21 13:59,478
2022/9/21 14:16,66
2022/9/21 14:16,-211
2022/9/21 14:17,-131
2022/9/21 14:54,416
2022/9/21 14:55,-753
2022/9/21 14:55,-262
2022/9/21 14:55,-779
2022/9/21 14:56,-713
2022/9/21 14:56,42
2022/9/21 14:57,-494
2022/9/21 14:57,203
2022/9/21 14:57,186
2022/9/21 14:58,-526
2022/9/21 14:58,-49
2022/9/21 14:59,-704
2022/9/21 14:59,-93
2022/9/21 14:59,-39
2022/9/21 15:00,-713
2022/9/21 15:00,-426
2022/9/21 15:01,-563
2022/9/21 15:01,-691
2022/9/21 15:01,-597
2022/9/21 15:02,-519
2022/9/21 15:02,-664
2022/9/21 15:07,436
2022/9/21 15:08,451
2022/9/21 15:08,17
2022/9/21 15:09,198
2022/9/21 15:09,271
2022/9/21 15:09,234
2022/9/21 15:10,-246
2022/9/21 15:10,-363
2022/9/21 15:10,25
2022/9/21 15:11,-594
2022/9/21 15:11,32
2022/9/21 15:12,-428
2022/9/21 15:12,-224
2022/9/21 15:13,-70
2022/9/21 15:13,-416
2022/9/21 15:13,-550
2022/9/21 15:14,-191
2022/9/21 15:14,-68
2022/9/21 15:14,-296
2022/9/21 15:15,-310
2022/9/21 15:15,-430
2022/9/21 15:16,-678
2022/9/21 15:16,-585
2022/9/21 15:16,-247
2022/9/21 15:17,-559
2022/9/21 15:17,-518
2022/9/21 15:18,-595
2022/9/21 15:18,-684
2022/9/21 15:18,-555
2022/9/21 15:19,-618
2022/9/21 15:19,-560
2022/9/21 15:20,-543
2022/9/21 15:20,-587
2022/9/21 15:20,-631
2022/9/21 15:21,-303
2022/9/21 15:21,-509
2022/9/21 15:21,-526
2022/9/21 15:22,-546
2022/9/21 15:22,-516
2022/9/21 15:23,-364
2022/9/21 15:23,-183
2022/9/21 15:23,-188
2022/9/21 15:24,-211
2022/9/21 15:24,-491
2022/9/21 15:25,-587
2022/9/21 15:25,-578
2022/9/21 15:25,-601
2022/9/21 15:26,-563
2022/9/21 15:26,-586
2022/9/21 15:27,-634
2022/9/21 15:27,-669
2022/9/21 15:27,-604
2022/9/21 15:28,-575
2022/9/21 15:28,-460
2022/9/21 15:28,-473
2022/9/21 15:29,-618
2022/9/21 15:29,-577
2022/9/21 15:29,-523
2022/9/21 15:30,-473
2022/9/21 15:30,-642
2022/9/21 15:31,-643
2022/9/21 15:31,-690
2022/9/21 15:32,-613
2022/9/21 15:32,-616
2022/9/21 15:32,-547
2022/9/21 15:33,-522
2022/9/21 15:33,-335
2022/9/21 15:33,-183
2022/9/21 15:34,70
2022/9/21 15:34,278
2022/9/21 15:35,272
2022/9/21 15:35,83
2022/9/21 15:35,-51
2022/9/21 15:36,-143
2022/9/21 15:36,-287
2022/9/21 15:36,-272
2022/9/21 15:37,-266
2022/9/21 15:37,-312
2022/9/21 15:38,-152
2022/9/21 15:38,-147
2022/9/21 15:38,-130
2022/9/21 15:39,-98
2022/9/21 15:39,-209
2022/9/21 15:40,-363
2022/9/21 15:40,-447
2022/9/21 15:40,-160
2022/9/21 15:41,-478
2022/9/21 15:41,-319
2022/9/21 15:42,-753
2022/9/21 15:42,-658
2022/9/21 15:42,250
2022/9/21 15:43,176
2022/9/21 15:43,-343
2022/9/21 15:43,-302
2022/9/21 15:44,4
2022/9/21 15:44,-520
2022/9/21 15:45,-297
2022/9/21 15:45,-711
2022/9/21 15:45,-562
2022/9/21 15:46,-100
2022/9/21 15:46,277
2022/9/21 15:46,392
