datetime,value
2022-10-05 10:14:54,-361
2022-10-05 10:14:56,-392
2022-10-05 10:14:58,-387
2022-10-05 10:15:01,-406
2022-10-05 10:15:02,-431
2022-10-05 10:15:04,-420
2022-10-05 10:15:06,-401
2022-10-05 10:15:09,-400
2022-10-05 10:15:10,-405
2022-10-05 10:15:12,-386
2022-10-05 10:15:14,-693
2022-10-05 10:15:17,-698
2022-10-05 10:15:19,-683
2022-10-05 10:15:21,-702
2022-10-05 10:15:24,-713
2022-10-05 10:15:26,-698
2022-10-05 10:15:28,-696
2022-10-05 10:15:30,-678
2022-10-05 10:15:33,-705
2022-10-05 10:15:35,-691
2022-10-05 10:15:37,-693
2022-10-05 10:15:39,-689
2022-10-05 10:15:41,-692
2022-10-05 10:15:43,-698
2022-10-05 10:15:46,-696
2022-10-05 10:15:48,-675
2022-10-05 10:15:50,-630
2022-10-05 10:15:52,-588
2022-10-05 10:15:54,-599
2022-10-05 10:15:56,-633
2022-10-05 10:15:58,-591
2022-10-05 10:15:59,-643
2022-10-05 10:16:02,-583
2022-10-05 10:16:03,-237
2022-10-05 10:16:06,-294
2022-10-05 10:16:08,-330
2022-10-05 10:16:10,-563
2022-10-05 10:16:12,-621
2022-10-05 10:16:15,-194
2022-10-05 10:16:17,-146
2022-10-05 10:16:18,-274
2022-10-05 10:16:20,-460
2022-10-05 10:16:23,-377
2022-10-05 10:16:24,-412
2022-10-05 10:16:27,-329
2022-10-05 10:16:28,-333
2022-10-05 10:16:31,-349
2022-10-05 10:16:33,-371
2022-10-05 10:16:35,-365
2022-10-05 10:16:38,-416
2022-10-05 10:16:40,-369
2022-10-05 10:16:42,-360
2022-10-05 10:16:45,-342
2022-10-05 10:16:47,-362
2022-10-05 10:16:48,-356
2022-10-05 10:16:50,-356
2022-10-05 10:16:53,-373
2022-10-05 10:16:55,-345
2022-10-05 10:16:56,-369
2022-10-05 10:16:59,-364
2022-10-05 10:17:01,-363
2022-10-05 10:17:03,-371
2022-10-05 10:17:05,-382
2022-10-05 10:17:08,-373
2022-10-05 10:17:10,-351
2022-10-05 10:17:12,-353
2022-10-05 10:17:15,-355
2022-10-05 10:17:16,-349
2022-10-05 10:17:19,-360
2022-10-05 10:17:21,-366
2022-10-05 10:17:23,-344
2022-10-05 10:17:25,-366
2022-10-05 10:17:28,-378
2022-10-05 10:17:29,-358
2022-10-05 10:17:31,-375
2022-10-05 10:17:33,-367
2022-10-05 10:17:35,-364
2022-10-05 10:17:37,-356
2022-10-05 10:17:39,-343
2022-10-05 10:17:41,-351
2022-10-05 10:17:43,-351
2022-10-05 10:17:45,-362
2022-10-05 10:17:47,-369
2022-10-05 10:17:49,-367
2022-10-05 10:17:51,-357
2022-10-05 10:17:53,-369
2022-10-05 10:17:55,-371
2022-10-05 10:17:57,-364
2022-10-05 10:17:59,-383
2022-10-05 10:18:01,-364
2022-10-05 10:18:03,-351
2022-10-05 10:18:04,-360
2022-10-05 10:18:07,-340
2022-10-05 10:18:09,-347
2022-10-05 10:18:10,-342
2022-10-05 10:18:12,-351
2022-10-05 10:18:14,-361
2022-10-05 10:18:16,-349
2022-10-05 10:18:19,-367
2022-10-05 10:18:21,-355
2022-10-05 10:18:23,-424
2022-10-05 10:18:25,-243
2022-10-05 10:18:29,-317
2022-10-05 10:18:29,-291
2022-10-05 10:18:32,-281
2022-10-05 10:18:34,-284
2022-10-05 10:18:35,-282
2022-10-05 10:18:38,-293
2022-10-05 10:18:41,-281
2022-10-05 10:18:43,-266
2022-10-05 10:18:44,-295
2022-10-05 10:18:46,-282
2022-10-05 10:18:48,-284
2022-10-05 10:18:52,-290
2022-10-05 10:18:54,-284
2022-10-05 10:18:56,-275
2022-10-05 10:18:58,-34
2022-10-05 10:19:01,9
2022-10-05 10:19:02,53
2022-10-05 10:19:05,79
2022-10-05 10:19:06,59
2022-10-05 10:19:09,50
2022-10-05 10:19:10,62
2022-10-05 10:19:11,65
2022-10-05 10:19:14,47
2022-10-05 10:19:16,73
2022-10-05 10:19:18,88
2022-10-05 10:19:20,75
2022-10-05 10:19:23,73
2022-10-05 10:19:25,66
2022-10-05 10:19:27,36
2022-10-05 10:19:30,33
2022-10-05 10:19:31,40
2022-10-05 10:19:33,38
2022-10-05 10:19:36,36
2022-10-05 10:19:38,20
2022-10-05 10:19:40,40
2022-10-05 10:19:42,56
2022-10-05 10:19:44,43
2022-10-05 10:19:46,53
2022-10-05 10:19:49,53
2022-10-05 10:19:51,56
2022-10-05 10:19:52,73
2022-10-05 10:19:54,75
2022-10-05 10:19:57,60
2022-10-05 10:19:59,71
2022-10-05 10:20:01,31
2022-10-05 10:20:03,54
2022-10-05 10:20:05,45
2022-10-05 10:20:08,44
2022-10-05 10:20:11,77
2022-10-05 10:20:12,-26
2022-10-05 10:20:14,18
2022-10-05 10:20:15,29
2022-10-05 10:20:18,18
2022-10-05 10:20:20,12
2022-10-05 10:20:22,10
2022-10-05 10:20:23,25
2022-10-05 10:20:25,-14
2022-10-05 10:20:27,62
2022-10-05 10:20:29,-9
2022-10-05 10:20:31,340
2022-10-05 10:20:34,113
2022-10-05 10:20:36,191
2022-10-05 10:20:38,144
2022-10-05 10:20:40,89
2022-10-05 10:20:42,101
2022-10-05 10:20:45,68
2022-10-05 10:20:47,112
2022-10-05 10:20:49,101
2022-10-05 10:20:51,104
2022-10-05 10:20:53,93
2022-10-05 10:20:55,78
2022-10-05 10:20:57,92
2022-10-05 10:20:59,108
2022-10-05 10:21:01,97
2022-10-05 10:21:03,86
2022-10-05 10:21:06,82
2022-10-05 10:21:07,66
2022-10-05 10:21:08,49
2022-10-05 10:21:10,73
2022-10-05 10:21:13,84
2022-10-05 10:21:15,77
2022-10-05 10:21:17,73
2022-10-05 10:21:19,66
2022-10-05 10:21:22,57
2022-10-05 10:21:24,40
2022-10-05 10:21:25,66
2022-10-05 10:21:28,59
2022-10-05 10:21:29,99
2022-10-05 10:21:32,77
2022-10-05 10:21:34,79
