datetime,value
2022-11-11 13:39:32,-263
2022-11-11 13:39:33,-267
2022-11-11 13:39:34,-265
2022-11-11 13:39:35,-272
2022-11-11 13:39:36,-192
2022-11-11 13:39:37,-313
2022-11-11 13:39:37,-189
2022-11-11 13:39:38,-178
2022-11-11 13:39:39,-171
2022-11-11 13:39:40,-178
2022-11-11 13:39:40,-139
2022-11-11 13:39:42,-110
2022-11-11 13:39:42,-120
2022-11-11 13:39:43,-115
2022-11-11 13:39:44,-106
2022-11-11 13:39:45,-87
2022-11-11 13:39:45,-96
2022-11-11 13:39:47,-128
2022-11-11 13:39:48,-246
2022-11-11 13:39:48,-233
2022-11-11 13:39:49,-229
2022-11-11 13:39:50,-217
2022-11-11 13:39:51,-235
2022-11-11 13:39:52,-219
2022-11-11 13:39:53,-221
2022-11-11 13:39:53,-237
2022-11-11 13:39:54,-211
2022-11-11 13:39:56,-213
2022-11-11 13:39:57,-279
2022-11-11 13:39:58,-291
2022-11-11 13:39:58,-285
2022-11-11 13:40:00,-314
2022-11-11 13:40:00,-307
2022-11-11 13:40:01,-436
2022-11-11 13:40:02,-344
2022-11-11 13:40:03,-316
2022-11-11 13:40:04,-357
2022-11-11 13:40:04,-355
2022-11-11 13:40:06,-357
2022-11-11 13:40:07,-331
2022-11-11 13:40:07,-394
2022-11-11 13:40:09,-247
2022-11-11 13:40:10,-286
2022-11-11 13:40:11,-315
2022-11-11 13:40:12,-267
2022-11-11 13:40:13,-426
2022-11-11 13:40:14,-588
2022-11-11 13:40:15,-562
2022-11-11 13:40:16,-527
2022-11-11 13:40:16,-364
2022-11-11 13:40:18,-52
2022-11-11 13:40:19,344
2022-11-11 13:40:20,420
2022-11-11 13:40:22,152
2022-11-11 13:40:22,-240
2022-11-11 13:40:23,-283
2022-11-11 13:40:24,-284
2022-11-11 13:40:25,-294
2022-11-11 13:40:25,413
2022-11-11 13:40:26,-142
2022-11-11 13:40:27,-390
2022-11-11 13:40:28,361
2022-11-11 13:40:30,-262
2022-11-11 14:57:15,-229
2022-11-11 14:57:15,-236
2022-11-11 14:57:17,-241
2022-11-11 14:57:19,-128
2022-11-11 14:57:20,-387
2022-11-11 14:57:21,-353
2022-11-11 14:57:23,416
2022-11-11 14:57:24,88
2022-11-11 14:57:26,436
2022-11-11 14:57:27,179
2022-11-11 14:57:28,30
2022-11-11 14:57:29,-469
2022-11-11 14:57:30,-619
2022-11-11 14:57:30,-308
2022-11-11 14:57:31,-398
2022-11-11 14:57:33,-337
2022-11-11 14:57:34,-396
2022-11-11 14:57:35,-454
2022-11-11 14:57:36,-413
2022-11-11 14:57:38,-397
2022-11-11 14:57:39,-404
2022-11-11 14:57:40,-242
2022-11-11 14:57:41,-139
2022-11-11 14:57:43,-556
2022-11-11 14:57:44,-69
2022-11-11 14:57:45,89
2022-11-11 14:57:46,39
2022-11-11 14:57:48,87
2022-11-11 14:57:48,-519
2022-11-11 14:57:49,-41
2022-11-11 14:57:51,239
2022-11-11 14:57:52,287
2022-11-11 14:57:53,276
2022-11-11 14:57:54,317
2022-11-11 14:57:55,192
2022-11-11 14:57:56,134
2022-11-11 14:57:56,-282
2022-11-11 14:57:58,-522
2022-11-11 14:57:58,-593
2022-11-11 14:57:59,-597
2022-11-11 14:58:00,-622
2022-11-11 14:58:02,-627
2022-11-11 14:58:03,-634
2022-11-11 14:58:04,-625
2022-11-11 14:58:04,-633
2022-11-11 14:58:05,-645
2022-11-11 14:58:07,-621
2022-11-11 14:58:08,-627
2022-11-11 14:58:10,-643
2022-11-11 14:58:10,19
2022-11-11 14:58:39,259
2022-11-11 14:58:40,299
2022-11-11 14:58:41,418
2022-11-11 14:58:42,406
2022-11-11 14:58:43,420
2022-11-11 14:58:44,414
2022-11-11 14:58:45,444
2022-11-11 14:58:47,395
2022-11-11 14:58:48,390
2022-11-11 14:58:48,307
2022-11-11 14:58:49,266
2022-11-11 14:58:50,261
2022-11-11 14:58:52,264
2022-11-11 14:58:52,271
2022-11-11 14:58:53,262
2022-11-11 14:58:54,271
2022-11-11 14:58:55,235
2022-11-11 14:58:57,254
2022-11-11 14:58:58,139
2022-11-11 14:58:58,-248
2022-11-11 14:59:00,-428
2022-11-11 14:59:01,-461
2022-11-11 14:59:02,-464
2022-11-11 14:59:03,-365
2022-11-11 14:59:04,-287
2022-11-11 14:59:06,-261
2022-11-11 14:59:07,-231
2022-11-11 14:59:08,-228
2022-11-11 14:59:09,-302
2022-11-11 14:59:10,-400
2022-11-11 14:59:11,-367
2022-11-11 14:59:12,-387
2022-11-11 14:59:13,-389
2022-11-11 14:59:14,-378
2022-11-11 14:59:16,-367
2022-11-11 14:59:17,-369
2022-11-11 14:59:18,-380
2022-11-11 14:59:18,-237
2022-11-11 14:59:20,-207
2022-11-11 14:59:20,263
2022-11-11 14:59:21,229
2022-11-11 14:59:22,218
2022-11-11 14:59:23,-609
2022-11-11 14:59:24,142
2022-11-11 14:59:25,30
2022-11-11 14:59:26,72
2022-11-11 14:59:27,66
2022-11-11 14:59:28,77
2022-11-11 14:59:29,57
2022-11-11 14:59:30,75
2022-11-11 14:59:30,77
2022-11-11 14:59:31,64
2022-11-11 14:59:32,50
2022-11-11 14:59:33,44
2022-11-11 14:59:34,90
2022-11-11 14:59:35,77
2022-11-11 14:59:36,50
2022-11-11 14:59:37,77
2022-11-11 14:59:37,119
2022-11-11 14:59:38,62
2022-11-11 14:59:39,77
2022-11-11 14:59:40,155
2022-11-11 14:59:41,88
2022-11-11 14:59:42,46
2022-11-11 14:59:43,84
2022-11-11 14:59:44,28
2022-11-11 14:59:45,117
2022-11-11 14:59:46,108
2022-11-11 14:59:47,164
2022-11-11 14:59:48,90
2022-11-11 14:59:49,94
2022-11-11 14:59:50,21
2022-11-11 14:59:51,13
2022-11-11 14:59:53,51
2022-11-11 14:59:54,108
2022-11-11 14:59:54,102
2022-11-11 14:59:56,35
2022-11-11 14:59:56,6
2022-11-11 14:59:57,59
2022-11-11 14:59:58,41
2022-11-11 15:00:00,75
2022-11-11 15:00:01,122
2022-11-11 15:00:02,80
2022-11-11 15:00:03,64
2022-11-11 15:00:03,59
2022-11-11 15:00:04,80
2022-11-11 15:00:05,105
2022-11-11 15:00:07,46
2022-11-11 15:00:08,28
2022-11-11 15:00:08,51
2022-11-11 15:00:09,51
2022-11-11 15:00:10,28
2022-11-11 15:00:11,51
2022-11-11 15:00:13,35
2022-11-11 15:00:13,88
2022-11-11 15:00:15,68
2022-11-11 15:00:15,79
2022-11-11 15:00:17,75
2022-11-11 15:00:17,79
2022-11-11 15:00:18,32
2022-11-11 15:00:19,77
2022-11-11 15:00:20,51
2022-11-11 15:00:21,140
2022-11-11 15:00:22,66
2022-11-11 15:00:22,124
2022-11-11 15:00:23,88
2022-11-11 15:00:24,88
2022-11-11 15:00:25,51
2022-11-11 15:00:26,77
2022-11-11 15:00:27,77
2022-11-11 15:00:27,17
2022-11-11 15:00:29,74
2022-11-11 15:00:30,83
2022-11-11 15:00:31,86
