datetime,value
2022-08-24 20:39:18,0.0
2022-08-24 20:39:34,0.0
2022-08-24 20:39:40,0.0
2022-08-24 20:41:23,69.0
2022-08-24 20:41:45,73.0
2022-08-24 20:42:07,71.0
2022-08-24 20:42:29,74.0
2022-08-24 20:42:51,73.0
2022-08-24 20:43:13,72.0
2022-08-24 20:43:29,72.0
2022-08-24 20:43:52,71.0
2022-08-24 20:44:14,74.0
2022-08-24 20:51:23,78.0
2022-08-24 20:51:45,76.0
2022-08-24 20:52:07,73.0
2022-08-24 20:52:29,75.0
2022-08-24 20:52:52,75.0
2022-08-24 20:53:15,78.0
2022-08-24 20:53:37,70.0
2022-08-24 20:53:53,73.0
2022-08-24 20:54:15,74.0
2022-08-24 20:54:36,78.0
2022-08-24 20:54:58,75.0
2022-08-24 20:55:21,74.0
2022-08-24 20:55:40,68.0
2022-08-24 20:56:03,71.0
2022-08-24 20:56:28,72.0
2022-08-24 20:56:46,74.0
2022-08-24 20:57:05,72.0
2022-08-24 20:57:29,73.0
2022-08-24 20:57:53,76.0
2022-08-24 20:58:11,75.0
2022-08-24 20:58:30,74.0
2022-08-24 20:58:55,79.0
2022-08-24 20:59:19,74.0
2022-08-24 20:59:37,74.0
2022-08-24 21:00:02,74.0
2022-08-24 21:00:20,77.0
2022-08-24 21:00:44,72.0
2022-08-24 21:01:03,72.0
2022-08-24 21:01:28,74.0
2022-08-24 21:01:46,76.0
2022-08-24 21:02:10,77.0
2022-08-24 21:02:29,75.0
2022-08-24 21:02:54,76.0
2022-08-24 21:03:11,78.0
2022-08-24 21:03:31,78.0
2022-08-24 21:03:56,82.0
2022-08-24 21:04:14,79.0
2022-08-24 21:04:38,74.0
2022-08-24 21:05:02,79.0
2022-08-24 21:05:21,79.0
2022-08-24 21:05:40,78.0
2022-08-24 21:06:05,75.0
2022-08-24 21:06:23,76.0
2022-08-24 21:06:47,78.0
2022-08-24 21:07:11,80.0
2022-08-24 21:07:29,78.0
2022-08-24 21:07:53,78.0
2022-08-24 21:08:10,79.0
2022-08-24 21:08:35,78.0
2022-08-24 21:08:53,79.0
2022-08-24 21:09:17,76.0
2022-08-24 21:09:40,78.0
2022-08-24 21:09:58,78.0
2022-08-24 21:10:22,77.0
2022-08-24 21:10:40,78.0
2022-08-24 21:11:05,79.0
2022-08-24 21:11:23,79.0
2022-08-24 21:11:47,80.0
2022-08-24 21:12:11,79.0
2022-08-24 21:12:30,78.0
